Book,Chapter,Verse,Text
1TH,1,1,"ऐह पत्री पौलुस लिखु करदा। सो सिलवानुस अतै तीमुथियुस री तरफा थऊँ थिस्सलुनीकियों शहर री कलीसिया रै विस्वासी जो जंयारै नां पिता प्रमात्मैं अतै प्रभु यीशु मसीह मन्ज हिन बलदा हा, अनुग्रह अतै शान्ती तुसिओ मुळदी रेय्आ। "
1TH,1,2,अहै अपणी प्रार्थना मन्ज तुसिओ हमेशा याद करदै हिन अतै लगातार तुसु सबी रै बारै मन्ज प्रमात्मैं रा धन्यवाद करदै हिन। 
1TH,1,3,अतै अपणै पिता प्रमात्मैं रै सामणै तुन्दै विस्‍वासा रै कम अतै प्यारा री मेहनत अतै इन्दै प्रभु यीशु मसीह मन्ज उम्मीद रै धीरजा जो हमेशा याद करदै हिन। 
1TH,1,4,"अतै हे विस्वासी भाईओ, प्रमात्मैं रै प्यारे मणुओ अहै जाणदै हिन कि तुसै चुणुरै हिन। "
1TH,1,5,"क्ओकि यीशु मसीह रा सुसमाचार तुसु बलै ना सिर्फ शब्दा रै द्धारा पर पवित्र आत्मा रै सामर्थ अतै प्रमाण सोगी पुज्‍जु हा, जिआं कि तुसै जाणदै कि अहै तुन्दै मन्जै अहै तुन्दी भलाई तांयै इन्दा व्यवहार किना थू। "
1TH,1,6,अतै तुहै बड़ै क्‍लेशा मन्ज पवित्र आत्मा रै द्धारा दितुरी खुशी सोगी वचना जो मनी करी इन्दी अतै प्रभु री चाली सांईं चलना लगै। 
1TH,1,7,ऐठी तिकर कि मकिदुनिया अतै अखया परदेस रै सब विस्वासी तांई तुसै आदर्श बणै। 
1TH,1,8,"क्ओकि तुसु थऊँ ना सिर्फ मकिदुनिया अतै अखया परदेस मन्ज प्रभु रा वचन हुणाआ गो पर तुन्दै विस्‍वासा री जैडा कि प्रमात्मैं पुर हा, हर जगहा इन्‍नी चर्चा फैली गई हा कि असु जो बलणै री जरूरत ही निआं। "
1TH,1,9,"क्ओकि सो मणु इन्दै बारै मन्ज ऐह बलदै हिन कि जैहणै अहै तुसु बल्लै आये ता तुहै कियां इन्दा स्वागत करु, अतै तुसै किआं मूर्तिपूजा थऊँ प्रमात्मैं री कनारी फिरै ताकि जिन्दै अतै सचै प्रमात्मैं री सेवा करी सकन। "
1TH,1,10,"अतै प्रमात्मैं रै पुत्रा री स्वर्गा थऊँ फिरी ईणै री भाळ करदै रेय्आ जैसिओ प्रमात्मैं मरूरै थऊँ जिन्दा करू, मतलब कि यीशु री जैडा कि असु जो ईणैबाळै क्रोध अतै न्याय थऊँ बचान्‍दा। "
1TH,2,1,"हे विस्वासी भाईओ, तुसै जाणदै हिन कि इन्दा तुसु बल्लै ईणा लाभदायक भुआ। "
1TH,2,2,बल्‍की तुसै अप्पु ही जाणदै हिन कि पैहलै फिलिप्पी शहर मन्ज दुख झेलनै अतै सताव सैहणै पुर भी इन्दै प्रमात्मैं असु जो इन्‍नी हिम्मत दिती। फिरी अहै थिस्सलुनीकियों शहर मन्ज भी प्रमात्मैं रा सुसमाचार भारी वरोध भूणै रै बावजूद भी तुसु जो हुणाई सकै। 
1TH,2,3,क्ओकि इन्दा उपदेश कोई चलाकी अतै बुरै इरादै सितै ना हा अतै ना ही छल सितै हा। 
1TH,2,4,पर जिन्‍ना प्रमात्मैं असु जो काबल समझी करी असु बल्लै सुसमाचार सौंपुआ। अहै भी तियां ही तठेरा बखान करदै हिन अतै ऐत मन्ज मणु जो ना पर प्रमात्मैं जो जैडा इन्दै मनां जो जाणदा खुश करदै हिन। 
1TH,2,5,"क्ओकि तुसै जाणदै हिन कि अहै ना ता कदी चापलूसी री गल्ला करदै थियै अतै ना ता लाळचा तांई बहाना करदै थियै, इन्या गल्ला रा प्रमात्मां गवाह हा। "
1TH,2,6,"अहै मणु थऊँ आदर ना चाहन्दै थियै, अतै ना तुसु थऊँ ना हि कसी होरी थऊँ, हालांकि असिओ मसीह यीशु रै प्रेरित भूणै रै नातै तुसु थऊँ मदद लैणै रा अधिकार हा। "
