Book,Chapter,Verse,Text
JAS,1,1,"ऐह पत्री याकूब री तरफा थऊँ हा जैड़ा कि प्रमात्मैं रा अतै प्रभु यीशु मसीह रा दास हा। अऊँ ऐह पत्री यहूदी विस्वासी रै बारह गोत्रा लिखु करदा, जैड़ै कि पुरै संसार मन्ज तितर-बितर भूच्ची करी रैहन्दै हिन तियां जो मेरा नमस्ते। "
JAS,1,2,"हे मेरै विस्वासी भाईओ, जैहणै तुसै कईआ किस्‍मां री परीक्षा मन्ज पैन "
JAS,1,3,"ता ऐत जो पूरी आनन्द री गप्‍प समंझा, ऐह जाणी करी कि तुन्दै विस्‍वासा जो परखणै थऊँ धीरज पैदा भुन्दा। "
JAS,1,4,पर तुसिओ सब कुछ सैहणै तांयें सिखणा चहिन्दा कि तुसै आत्मिक रूप सितै सिद्व भूच्ची गाहन अतै तुसु मन्ज कसी भी खरी गल्ला री कोई कमी ना रेय्आ। 
JAS,1,5,पर तुसु मन्ज अगर कसी जो अक्ल री घटी भोआ ता प्रमात्मैं थऊँ मगां ता सो बिना कोई फटकार सभी जो खुशी सितै दिन्दा अतै तैसिओ दी गाणिआ। 
JAS,1,6,पर विस्‍वासा सितै मंगा अतै कुछ शक मत करा क्ओकि शक करनै बाळा समुंद्र री लैहरा सांईं हा जैड़ी हवा सांईं चलदी अतै उछाळ लैन्दी हिन। 
JAS,1,7,इन्‍ना मणु जैड़ा शक करदा तैसिओ प्रभु थऊँ कुछ ना मुळना। 
JAS,1,8,"ऐसा मणु फैसला ना करी पान्दा की प्रमात्मैं पिचो चलना कि ना चलना, ऐसै मणु बलदै ता हिन पर करदै ना हिन। "
JAS,1,9,विस्वासी जैड़ै गरीब हिन तियां जो ऐहा गल्ला पुर घमण्ड़ करना चहिन्दा कि प्रमात्मैं तियां जो किमती समझू हा। 
JAS,1,10,"अतै विस्वासी जैड़ै अमीर हिन सो अपणै आपा पुर नम्रता री वजह थऊँ घमण्ड़ करन, क्ओकि अविस्वासी अमीर मणु रा धन घा रै फुल्ला सांईं मुरझाई गाणा। "
JAS,1,11,जियां सुरजा निकळदै ही जोरा री धुप पैन्दी हा अतै घा जो हुकाई दिन्दीआ अतै तसेरा फूल झड़ी गान्दा अतै तसेरी शोभा चली गान्दीआ। इन्‍नी साहभे ही अमीर भी पैसै कमान्दै-कमान्दै मरी गाणा। 
JAS,1,12,धन्य हा सो मणु जैडा परीक्षा मन्ज टिक्की रैहन्दा क्ओकि तैस खरै निकळी करी सदा री जिन्दगी रा मुकुट पाणा जठेरा वायदा प्रमात्मैं अपणै प्‍यार करनै बाळै सोगी करूरा हा। 
