Book,Chapter,Verse,Text
1PE,1,1,"ऐह पत्री पतरस री तरफ थऊँ हा जैड़ै यीशु मसीह रा प्रेरित हा। अऊँ ऐह पत्री प्रमात्मैं द्धारा चुणुरै तिन्या मणु तांये लिखु करदा जैड़ै परदेसी सांईयै पुन्तुस, गलातिया, कप्पदुकिया, आसिया अतै बिथुनिया रै परदेसा मन्ज तितर-बितर भूच्ची करी रैहन्दै हिन। "
1PE,1,2,पिता प्रमात्मैं पैहलै थऊँ ही तुसिओ जाणी अतै चुणी लैऊरा अतै तसेरी आत्मै तुसिओ पवित्र करूरा। तुहै यीशु मसीह री आज्ञा रा पालन करीके तसेरै खूना रै द्धारा धुली गच्छुरै हिन। अऊँ प्रार्थना करदा कि प्रमात्मां तुसिओ होर भी अनुग्रह अतै शान्ती दिन्दा रेय्आ। 
1PE,1,3,"इन्दै प्रभु यीशु मसीह रै पिता अतै प्रमात्मैं रा धन्यवाद भोआ। प्रमात्मैं असु पुर बड़ी दया करीके असिओ नोई जिन्दगी दिती क्ओकि प्रमात्मैं यीशु मसीह जो मरूरै थऊँ दोवारा जीयाऊ, तिनी असिओ भरोसै सोगी जिणै री सामर्थ दितुरी हा, अतै अहै उम्मीद रखी सकदै हिन कि असिओ सो सब कुछ मुळणा जैड़ा तिनी असिओ दिणै रा वायदा करूरा हा। "
1PE,1,4,"अहै तैस टैमां री भाळ करू करदै हिन कि अहै तैहा धन्य आशीष जो पाई सकन जैड़ी प्रमात्मैं अपणै मणु तांये स्वर्गा मन्ज रखुरी हा जैड़ी कोई सड़ाहट निय्आ, कुछ खराब ना भूच्ची सकदा, अतै फिका ना भूच्ची सकदा। "
1PE,1,5,प्रमात्मां अपणी सामर्थ रै द्धारा तुन्दी रक्षा करदा हा क्ओकि तुहै यीशु मसीह पुर विस्वास करदै हिन। यीशु मसीह रै दोवारा इणै तक तैस तुन्दी रक्षा करदै रैहणा फिरी तुसु जाणी पाणा कि प्रमात्मैं तुन्दा पुरै तरीकै पाप अतै मौत थऊँ उद्धार करू हा। 
1PE,1,6,ऐसा वजह थऊँ तुहै खुश हिन अतै इणै बाळै टैमां मन्ज भी तुसिओ होर खुशी मुळणी हा; भलै ही तुसिओ हालि कुछ टैमां तांयें कई तरह दुखा मन्ज रैहणा पैई सकदा हा। 
1PE,1,7,"इन्या परीक्षा रा मकसद ऐह जाणना हा कि तुहै प्रमात्मैं पुर विस्वास करदै हिन कि ना। तुन्दा विस्वास यीशु मसीह ऐसा हा जिन्या अगी मन्ज तपाऊरै सोनै री कीमत भून्दी हा। तिन्या ही अगर तुहै इन्या दुखा जो सैहणै थऊँ बाद विस्वास मन्ज मजबुत रैह ता तुसु यीशु मसीह रै दोवारा इणै पुर प्रशंसा, महिमा अतै आदर रा कारण भूणा। "
1PE,1,8,"तुहै यीशु मसीह जो कदी ना हेरूरा फिरी भी तैस सोगी प्रेम करदै हिन, तैस पुर तुहै बिना हेरै विस्वास करदै हिन ठेरैतांये तुहै खुश अतै मगन हिन जैडा वर्णन थऊँ बाहर हा। "
1PE,1,9,तैस पुर विस्वास करनै रा इनाम तुन्दै प्राणा रा उद्धार हा। 
1PE,1,10,ऐस ही उद्धार रै वारै मन्ज तियां भविष्‍यवक्तै बड़ी खोजबीन अतै जाँच-पड़ताल करी अतै भविष्‍यवाणी भी करी प्रमात्मैं रै तैस अनुग्रह रै बारै मन्ज जैडा तुसु पुर भूणै बाळा थू। 
