Book,Chapter,Verse,Text
2TI,1,1,हांऊँ पौलुस ऐ चिट्ठी लिखदा लागा सा। परमेश्वरै हांऊँ यीशु मसीह रा प्रेरित होंणै री तैंईंयैं चुनु सा ताकि हांऊँ ऐई सन्देशा रा प्रचार केरी सकनू कि परमेश्वरै यीशु मसीह न बशाह रै ज़रियै हमेशा री ज़िन्दगी देणै रा वायदा केरू सा। 
2TI,1,2,"हांऊँ ऐ चिट्ठी तीमुथियुस तौभै लिखदा लागा सा। आपणै बेटै सांही हांऊँ झ़ुरी केरा सा। हांऊँ प्रार्थना केरा सा कि पिता परमेश्वर होर आसरै प्रभु यीशु मसीह री तरफा न तुसाबै अनुग्रह, दया होर शान्ति मिलदी लोड़ी रौही । "
2TI,1,3,"ज़ुणी परमेश्वरै री सेवा हांऊँ आपणै बुज़ुर्गा सांही शोभलै विचारा सैंघै केरा सा, तेइरा धन्यवाद हो कि आपणी प्रार्थना न तौभै रात-ध्याड़ लगातार याद केरा सा, "
2TI,1,4,होर तेरै औछू बै याद केरिया तौ सैंघै मिलणै री लालसा रखा सा कि खुशियै भौरिनू। 
2TI,1,5,"मुँभै तेरै यीशु मसीह न तेई निष्कपट बशाह री याद एज़ा सा, ज़ो पैहलै तेरी नानी लोइस होर तेरी आमा यूनीका न ती, होर हांऊँ जाँणा सा कि तौ न भी सा। "
2TI,1,6,"एसा बजहा न हांऊँ तौभै याद दिला सा कि तू परमेश्वरै रै तेई वरदाना बै, ज़ो मेरै हौथ रखणै रै द्वारा तौभै मिलू सा, तेइरा सही इस्तेमाल केर। "
2TI,1,7,"किबैकि परमेश्वरै आसाबै डौरै री नी बल्कि, शक्ति, झ़ुरी होर सँयमा री आत्मा धिनी सा। "
2TI,1,8,"तैबै आसरै प्रभु यीशु मसीह रै बारै न गुआही देणै न होर मूँ न ज़ो तेइरा कैदी सा, शर्मिन्दा मत होंदा पर परमेश्वरै री तेसा शक्ति रै मुताबक खुशी रै समादै री तैंईंयैं मूँ सैंघै दु:ख सौह। "
2TI,1,9,"ज़ुणियै आसरा उद्धार केरू होर एक पवित्र ज़िन्दगी री तैंईंयैं आसाबै शाधु होर ऐ आसरै कोमै रै मुताबक नी, पर आपणी मनसा होर तेई अनुग्रह रै मुताबक हुआ सा। परमेश्वरै दुनिया बनाणै न पैहलै ही मसीह यीशु बै भेज़िआ आपणा अनुग्रह रिहाणै री योजना बणाई। "
2TI,1,10,"पर ऐबै आसरै उद्धारकर्ता मसीह यीशु रै प्रगट होंणै रै द्वारा प्रकाशित हुआ, ज़ुणियै मौऊती रा नाश केरू होर अमरता री ज़िन्दगी बै तेई खुशी रै समादै रै द्वारा प्रकाशमान केरी। "
