Book,Chapter,Verse,Text
2JN,1,1,"हांऊँ यूहन्ना मण्डली रा अगुवा ऐ चिट्ठी परमेश्वरा री चुनीदी बैहण होर तेसरै शोहरू बै लिखदा लागा सा, ज़ुणी सैंघै हांऊँ सच़ी झ़ुरी डाह सा, होर हांऊँ केल्हा नैंई पर ते सैभे भी झ़ुरी डाह सी ज़ुणा सच़ाई बै जाँणा सी। "
2JN,1,2,"आसै तुसाबै तेसा सच़ाई री बजहा न झ़ुरी डाह सी ज़ो आसा आँध्रै रोहा सा, होर हमेशा री तैंईंयैं आसा सैंघै रौहणा। "
2JN,1,3,"परमेश्वर पिता, होर तेइरै रै बेटै यीशु मसीह री तरफा न अनुग्रह होर दया होर शान्ति आसा सैंघै सच़ाई होर झ़ुरी सैंघै रौहणा। "
2JN,1,4,हांऊँ बोहू खुश हुआ ज़ैबै मैं तुसरै किछ़ शोहरू रै बारै न शुणु कि ते परमेश्वरा री सच़ी बौता न च़लदै लागै सी। ते सौऐ केरदै लागै सी ज़ो आसरै पिता परमेश्वरै आसाबै दसू ती कि आसाबै केरना चेहिऐ। 
2JN,1,5,"ऐबै हे बैहण हांऊँ तौ सैंघै अर्ज़ केरा सा कि आसाबै एकी होरी सैंघै झ़ुरी रखणी चेहिऐ। ऐ एक नोंऊँआं हुक्म नी, पर सौऐ एक हुक्म सा ज़ुणिबै आसै तेई बौगता न जाँणा सी ज़ैबै न फेटे आसै मसीह बै मनणा शुरू केरू। "
2JN,1,6,होर सच़ी झ़ुरी ऐ सा कि आसै तेइरै हुक्म पैंधै च़लै; ऐ सौऐ हुक्म सा ज़ो तुसै तेई बौगत शुणी ज़ैबै न फेटे तुसै मसीह बै मनणा शुरु केरू होर तुसाबै ऊँई पैंधै च़लणा भी चेहिऐ। 
2JN,1,7,"हांऊँ ऐ बोला सा किबैकि कई लोका ज़ो गलत शिक्षा देइया होरी बै धोखा देआ सी, ते ऐबै दुनिया न आऐ सी। ते बोला सी कि यीशु मसीह एक मांहणु रै रूपा न दुनिया न नी आऊ, अगर कोई मांहणु ऐ बोला सा ता सौऐ मसीह बरोधी सा, ज़ो लोका बै हमेशा धोखा देआ सा। "
2JN,1,8,"आपणै बारै न साबधान रौहा, कि ज़ो मेहनत आसै सैभियै केरीदी सा सौ हेरित खत्म केरदै, पर तुसा सैभ आशीष पाणी ज़ो परमेश्वरै तुसा न वायदा केरू सा। "
2JN,1,9,"ज़ो कोई प्रभु यीशु मसीह री शिक्षा न आगै बढ़ा सा होर तेथा न बणीया नैंई रौंहदा, तेई हागै परमेश्वर नैंई, ज़ो कोई प्रभु यीशु री शिक्षा न मजबूत रौहा सा, तेई हागै पिता भी सा होर बेटा भी। "
2JN,1,10,"अगर कोई तुसा हागै आऐ होर प्रभु यीशु मसीह री शिक्षा न दै, तिन्हां बै न ता आपणै घौरा ऐणै देणा होर न नमस्कार केरनी। "
2JN,1,11,"किबैकि ज़ो कोई ऐण्ढै लोका बै नमस्कार केरा सा, सौ तिन्हरै बूरै कोमा न सैंघी होआ सा। "
2JN,1,12,"मूँ तुसाबै बोहू गैला लिखणी सा, पर कागज होर स्याही न लिखणा नी च़ाँहदा, पर आशा सा कि तुसा हागै ऐनु होर आमनै-सामनै बैशिया तुसा सैंघै गैला ढूणनु, ज़ुणी सैंघै आसरा मन खुश हो। "
2JN,1,13,तुसरी चुनीदी बैहणी रै शोहरू तुसाबै नमस्कार केरा सी। 
