Book,Chapter,Verse,Text
PHP,1,1,अह च़िठी आसा पल़सी और तिमुतुसा बाखा ज़ुंण मसीहा ईशूए टैहलू आसा। हुंह लिखा एता फिलिप्पी नगरी रहणैं आल़ै सोभी पबित्र लोग और मंडल़ीए सोभी सैणैं और टैहलू लै। 
PHP,1,2,म्हारै बाप्पू परमेशर और प्रभू ईशू मसीहा का आसा मेरी एही अरज़ कि तम्हां सोभी लोल़ी झींण और शांती सदा हुई। 
PHP,1,3,"ज़ेभै-ज़ेभै मुंह थारी आद एछा, तेभै-तेभै करा हुंह तम्हां लै परमेशरो शूकर। "
PHP,1,4,"ज़ेभै बी तम्हां लै हुंह प्राथणां करा, ता हुंह करा हर बगत नंद और खुशी संघै एही अरज़ "
PHP,1,5,कि तम्हैं आसा पैहलै ओर्ही आझ़ तैणीं ईशू मसीहे बारै खुशीए समादा हर ज़ैगा खोज़णा लै मुंह संघै मेरै साझ़ू। 
PHP,1,6,"मुंह आसा एसा गल्लो भरोस्सअ कि ज़ुंणी परमेशरै तम्हां दी बधिया काम करनअ शुरू किअ, तेऊ ई करनअ सह ईशू मसीहे फिरी एछणें धैल़ी तैणीं पूरअ। "
PHP,1,7,"मेरअ तम्हां लै इहअ सोठणअ आसा ठीक, किल्हैकि तम्हैं आसा मेरै मनैं बस्सै दै और मेरी कैद खानै दी और खुशीए समादा लै ज़बाब और सबूत दैणा लै मुंह संघै जशा दी साझ़ू। "
PHP,1,8,"एसा गल्ला ज़ाणा परमेशर ई कि मुंह तम्हां सेटा एछणें किहअ च़ाअ लागा और मुंह तम्हां सोभिए केतरी झ़ूरी लागा, ठीक तेही ई ज़ेही मसीहा ईशू हाम्हां संघै झ़ूरी की। "
PHP,1,9,"हुंह करा एही प्राथणां कि तम्हैं एकी दुजै लै झ़ूरी, ज्ञैन और सोभी रंगे सोर-समझ़ा दी होर बी बझ़दै लागे। "
PHP,1,10,हुंह करा एसा गल्ला लै बी प्राथणां कि परमेशर तम्हां का एसा गल्ला रहैऊए कि तम्हैं भली का भली गल्ला परखी करै झ़ूरी करे और ज़ेभै मसीहा स्वर्गा का फिरी एछणअ तेभै तैणीं रहे तम्हैं मानदार और नर्दोश बणीं। 
PHP,1,11,एसा गल्ला लै बी करा हुंह प्राथणां कि तम्हैं सदा तिन्नां भली गल्ला करदै रहे ज़ेता लै तम्हैं परमेशरे आछी दी मसीहा ईशू करै धर्मीं आसा बणांऐं दै। तै शुझणअ होरी लोगा का बी कि तम्हैं परमेशरो किहअ अदर करा। ( ) 
PHP,1,12,"ओ भाईओ, हुंह च़ाहा इहअ कि तम्हां का लोल़ी थोघ लागअ कि मुल्है ज़ुंण बित्तअ, तेता करै हुई खुशीए समादे ई बढोतरी। ( ) "
PHP,1,13,इधी तैणीं कि माहा राज़ैओ सारअ फौज़ी दल और बाकी सोभी लोगा दी गअ अह प्रगट हई कि हुंह आसा मसीहो टैहलू और तेता पिछ़ू आसा हुंह कैद किअ द। 
PHP,1,14,"प्रभू दी ज़ुंण भाई आसा, तिन्नां मांझ़ै करा बडै भारी मेरै कैद हणें पिछ़ू, हिम्मत बान्हीं करै नधड़क हई परमेशरे बैणा खोज़णें हिम्मत। "
PHP,1,15,कई लोग करा ज़ल़ण और झ़गल़े बज़्हा मसीहे खुशीए समादो प्रच़ार पर कई करा भलै मनैं। ( ) 
PHP,1,16,"भलै मनें करा इहअ समझ़ी करै कि तिंयां आसा खुशीए समादा लै ज़बाबा दैणा लै डाहै दै, तिंयां करा बडी झ़ूरी संघै प्रच़ार। "
PHP,1,17,"ज़ुंण सिधै मनैं निं आथी पर, तिंयां खोज़ा मुंह संघै ज़ीद डाही मसीहे कथैया, इहअ सोठी करै कि मेरी कैद खानै दी तिंयां मुल्है सांगट पैईदा करे। "
PHP,1,18,"तै किज़ै हुअ? सिधअ इहअ कि हर रंगे, च़ाहे सह किज़ू भान्नै दी होए, च़ाहे सत्ता दी, मसीहे कथैया आसा खोज़दै लागै दै, और हुंह हआ एता करै खुश और मुंह खुश रहणअ बी। "
