Book,Chapter,Verse,Text
1JN,1,1,हाम्हैं खोज़ा तेऊए बारै ज़ुंण सोभी का पैहलै त और ज़सरै बारै हाम्हैं शूणअ और ज़ुंण हाम्हैं भाल़अ। हाम्हैं भाल़अ सह आपणीं आछी और आपणैं हाथा करै छ़ुंअ बी। सह आसा ज़िन्दगी दैणैं आल़अ बैण। 
1JN,1,2,"अह बैण ज़ुंण आप्पू ई ज़िन्दगी आसा अह हुअ हाम्हां लै प्रगट और हाम्हैं भाल़अ आपणीं आछी। ऐबै आसा हाम्हैं तेते गवाह और हाम्हैं खोज़ा तेऊ ई सदा रहणैं आल़ी ज़िन्दगीओ समाद तम्हां का, ज़ुंण बाप्पू परमेशरा संघै त और हाम्हां लै हुअ प्रगट। "
1JN,1,3,ज़ुंण बी हाम्हैं शूणअ और भाल़अ द आसा हाम्हैं खोज़ा तेतो समाद तम्हां का बी ताकि तम्हैं बी हाम्हां संघै साझ़ू हई सके। म्हारी साझ़ आसा बाप्पू परमेशरा संघै और तेऊए शोहरू मसीहा ईशू संघै। 
1JN,1,4,इना गल्ला लिखा हाम्हैं तम्हां लै एते तैणीं कि म्हारी खुशी लोल़ी पूरी हुई। 
1JN,1,5,"अह समाद आसा हाम्हैं ईशू का शूणअ द और ऐबै खोज़ा हाम्हैं एऊ तम्हां का: अह आसा इहअ कि परमेशर आसा प्रैशै ज़िहअ शुचअ, और तेथ निं किछ़ बी न्हैरै ज़ेही किछ़ै बूरी गल्ल आथी। "
1JN,1,6,ज़ै हाम्हैं इहअ बोले कि प्रभू संघै आसा म्हारी साझ़ और तेखअ बी हांढे हाम्हैं न्हैरै दी! तै आसा हाम्हैं झ़ुठै और तै निं हाम्हैं सत्ता दी रहणैं आल़ै आथी। 
1JN,1,7,"पर ज़िहअ परमेशर प्रैशअ आसा, ज़ै तिहै ई हाम्हैं बी प्रैशै दी हांढे, तै हआ म्हारी एकी दुजै संघै साझ़ और तेऊए शोहरू मसीहा ईशूओ लोहू करा हाम्हां सोभी पापा का शुचै। ( ) "
1JN,1,8,"ज़ै हाम्हैं इहअ बोले कि हाम्हां दी निं किछ़ै पाप आथी, तै दैआ हाम्हैं आप्पू लै धोखअ और तै निं हाम्हां दी किछ़ै सत्त आथी। "
1JN,1,9,"ज़ै हाम्हैं परमेशरा सेटा आपणैं पाप मनें, तै आसा परमेशर म्हारै पाप माफ करनै और हाम्हां म्हारै सारै पापा का शुचै करना लै विश्वास करनै जोगी और धर्मीं। ( ) "
1JN,1,10,"पर ज़ै हाम्हैं इहअ बोले कि हाम्हैं निं किछ़ै पाप किअ, तै बणांआ हाम्हैं तेऊ परमेशरा झ़ुठअ और तै निं अज़ी तेऊओ बैण हाम्हां दी आथी। "
1JN,2,1,"हे मेरै लान्हैंओ, मंऐं लिखी तम्हां लै तै ईंयां गल्ला एते तैणीं कि तम्हैं पाप नां करे। पर ज़ै कोई पाप करे, ता तेता लै आसा बाप्पू परमेशरा का आसा हाम्हां बाखा एक गल्ला करनै आल़अ, मतलब प्रभू ईशू मसीहा ज़ुंण धर्मीं आसा। "
1JN,2,2,"सह ई आसा म्हारै पापो प्राशत-बल़ीदान, सिधअ म्हारै ई निं पर सारै संसारे पाप माफ करना लै बी आसा सह ई। "
1JN,2,3,"ज़ै हाम्हैं तेऊओ हुकम मनें, तै जाणअ हाम्हां का थोघ लागी कि हाम्हैं हेरअ सह बछ़ैणीं। "
1JN,2,4,"ज़ुंण बी इहअ बोला कि हाम्हैं हेरअ परमेशर बछ़ैणीं, और ज़िहअ सह च़ाहा तिहअ निं करदअ आथी, सह आसा झ़ुठअ और तेऊ दी निं परमेशरो सत्त आथी। "
1JN,2,5,"पर ज़ुंण बी तेऊए बैणे साबै ज़िन्दगी ज़िऊए, तेऊ दी हुई सच्च़ी परमेशरे झ़ूरी पाक्की; एता करै लागा हाम्हां का थोघ कि हाम्हैं आसा तेऊ दी। "
1JN,2,6,"ज़ै कुंण इहअ बोला कि हुंह रहा परमेशरा दी, तेऊ लोल़ी इहअ कि सह आप्पू बी तिहअ ई करे, ज़िहअ प्रभू आप्पू त। "
1JN,2,7,"मेरै पैरै भाईओ, हुंह निं तम्हां लै किछ़ै नऊंअ हुकम लिखदअ, पर ईंयां आसा तिंयां ई पराणैं हुकम ज़ुंण तम्हां सेटा शुरू का आसा भेटै दै, ईंयां पराणैं हुकम आसा तिंयां ई बैण ज़ुंण तम्हैं तधू आसा शूणैं दै ज़धू तम्हैं मसीहा दी विश्वास किअ। "
1JN,2,8,तेखअ लिखा हुंह तम्हां लै एक नऊंअ हुकम; अह आसा सह सत्त ज़ेथ मसीहा त और तम्हैं बी आसा। किल्हैकि न्हैरै ज़ेही बूरी गल्ला लागी दूर हंदी और सत्तो प्रैशअ लागअ च़मकदअ। 
1JN,2,9,"ज़ुंण इहअ बोला कि हुंह आसा प्रैशै दी; और आपणैं साथी भाई संघै करा ज़ीद, सह आसा अज़ी बी न्हैरै दी। "
