Book,Chapter,Verse,Text
JAS,1,1,"हांऊँ याकूब, परमेसरा होर प्रभु यीसू मसीह रा सेऊआदार आ। हांऊँ ये चिठ्ठी तिन्हा यहूदी विस्वासिया रे बारा गोत्रा जो संसारा मन्झ तितर-बितर हुई किन्हें रैंहयां ऐें लिख्दा लगिरा। तुस्सा सभी जो मेरा नमस्कार। "
JAS,1,2,"हे भाईयो होर बैहणो, जेबे तुस्से कई किस्मा री परीक्सा मन्झ पई जाओ, "
JAS,1,3,"ता एता जो तुस्से खुसी री गल समझा, क्यूंकि तुस्से ये जाणाये कि तुस्सा रे विस्वासा रे परखे जाणे ले धीरज ज्यादा बड़ा आ। "
JAS,1,4,"हर गल्ला मन्झ धीरज रखणा सिखा कि, तुस्से आत्मिक रूपा ले सिद्ध हुई जाओ होर तुस्सा मन्झ केसी गल्ला री कमी नी रहे। "
JAS,1,5,"पर अगर तुस्सा मन्झा ले केसी जो बुद्धि री कमी हो, ता परमेसरा ले मांगी ले, जो बगैर सुआल कितिरे सभी जो उदारता ले देहां; होर परमेसरा तुस्सा जो देणा। "
JAS,1,6,"पर पुरे विस्वासा ले मांगे, होर कुछ बैह्म नी करहे; क्यूंकि बैह्म करणे वाल्आ आदमी समुद्रा री लैहरा साहीं टिकदा नी आं, जो बागरा किन्हें बैहन्दी होर उछ्ल्दी रैंहयां। "
JAS,1,7,"एह्ड़ा बैह्मी आदमी ये नी समझे कि, तेस जो प्रभु ले कुछ मिलणा, "
JAS,1,8,"क्यूंकि से आदमी दोगला आ, होर आपणी कोसी गल्ला मन्झ टिकदा नी आ। "
JAS,1,9,"जो विस्वासी भाई बैहण गरीब ऐें, तिन्हा जो खुस हूंणां चहिए कि परमेसर तिन्हारी इज्जत करहा। "
JAS,1,10,"होर जो अमीर ऐें, तिन्हा जो भी खुस हूंणां चहिए कि तिन्हें प्रभु यीसू पर विस्वास करणे री वजहा आपणे आपा जो नम्र दीन बणाई दितेया; क्यूंकि तिन्हा होर तिन्हारी अमीरी घाह रे फूला साहीं सुक्की जाणी। "
JAS,1,11,"सूरज निकल्दे ई धूपा लग्हा होर घाहा जो सुकाई देहां, होर तेसरे फूल झड़ी जाहें, होर तेसरी सान चली जाहीं, तिहां ई अमीर भाई भी जो आपणे कामा जो करदे-करदे माटे मन्झ मिली जाणा। "
JAS,1,12,"धन्य आ से आदमी, जो परखणी मन्झ मजबूत रैंहयां; क्यूंकि तेस तेस्सा परखणी जो पार करी किन्हें अनंत जिन्दगी रा से मुकट पाणा, जेसरा देणे रा वादा परमेसरे तिन्हा कठे कितिरा, जेह्ड़े परमेसरा किन्हें प्यार करहे। "
JAS,1,13,"जेबे केसी री परखणी हो, ता से ये नी बोले कि, “परमेसर मेरी परखणी करदा लगिरा,” क्यूंकि परमेसर कोई बुरी गल्ला करणे री परखणी मन्झ नी पउन्दा, होर ना से आपु केसी री परखणी करहा। "
JAS,1,14,पर हरेक आदमी आपणी बुरी इच्छा मन्झ पई किन्हें होर फसी किन्हें परखणी मन्झ पहूंआं। 
JAS,1,15,"फेरी जेबे ये बुरी इच्छा बढ़ी जाहीं ता तेता ले पाप हूँआ, होर जेबे से पाप बौह्त बढ़ी जाहाँ, ता आदमी हमेसा रे कठे मरी जाहाँ। "
JAS,1,16,"हे भाईयो होर बैहणो, धोखा मन्झ मत रैहन्दे। "
JAS,1,17,"क्यूंकि हर एक खरा वरदान होर हर एक खरा दान बापू परमेसरा री तरफा ले आ, जिन्हें हर प्रकारा री आसमाना री ज्योतिया बणाई। होर परमेसर इन्हा ज्योतिया रे बदल्दी छाऊँआ साहीं कधी नी बदल्दा आ। "
JAS,1,18,"परमेसरे आपणी ई इच्छा ले सच्चाई रे बचना रे ज्रीए आस्से आपणे बच्चे बणाईरे, ताकि आस्से तेसरी रचीरी सारी चीजा मन्झा ले खास हो, जिहां जे नाजा रे पैहले फला खास हूँआ ऐें। "
JAS,1,19,"हे भाईयो होर बैहणो, ये गल तुस्से जाणी लेया; तुस्से सुणने रे कठे हमेसा तैयार होर बोलणे मन्झ सब्र रखणे वाले होर गुस्सा करणे मन्झ जल्दबाजी नी करणे वाले हो। "
JAS,1,20,"क्यूंकि माह्णुं जेबे गुस्सा करहा ता से परमेसरा रे धर्मा रे कामा जो पूरा नी करी सकदा, जेहड़ा परमेसर तेस ले कुराणा चांहा। "
JAS,1,21,"इधी कठे सारी गंदगी होर सब बुराई जो दूर करी किन्हें, परमेसरा रे तेस बचना जो बडी नम्रता किन्हें मनी लो, जो तुस्सा रे दिला मन्झ बोया गया होर जो तुस्सा रा उद्धार करी सक्हा। "
JAS,1,22,"पर परमेसरा रे बचना जो मनणे वाले बणा, होर ना की सिर्फ सुणने वाले, क्यूंकि सिर्फ सुणने वाल्आ आपणे आपा जो धोखा देहां ऐें। "
JAS,1,23,"क्यूंकि जो कोई परमेसरा रे बचन सुणा पर तेस जो मनदा नी आ, ता से तेस माह्णुं साहीं आ जो आपणा मुंह सीसे मन्झ देख्हा। "
JAS,1,24,"होर आपणे मुंह सीसे मन्झ देखी किन्हें चली जाहाँ, होर जल्दी ई भूली जाहाँ कि से केह्ड़ा सुझ्हा करेया था। "
JAS,1,25,"जो माह्णुं सिद्ध व्यवस्था पर ध्यान देंदा रैहया, जो हर माह्णुं जो पापा ले अजाद करहा ई; से माह्णुं व्यवस्था री गल्ला जो सुणी किन्हें भुल्दा नी आ पर आपणे व्यवहारा मन्झ लागू करदा रैंहयां, इधी कठे परमेसरा तेस जो तेसरे सारे कामा मन्झ आसीस देणी। "
JAS,1,26,"अगर कोई आपणे आपा जो भक्त समझे, होर आपणी जीभा ले बोलणे वाली बुरी गल्ला पर लगाम नी रखदा, से आपणे आपा जो धोखा देहां, ता तेसरी भक्ति बेकार ई। "
JAS,1,27,"आस्सा रे बापू परमेसरा रे साम्हणें सच्ची होर सुद्ध भक्ति ये ई कि, अनाथा होर विधवा रे दुःखा मन्झ तिन्हारा ख्याल रखे, होर संसारा मन्झ हूंणे वाले बुरे कामा ले आपणे आपा जो दूर रखा। "
JAS,2,1,"हे भाईयो होर बैहणो, तुस्से आस्सा रे महिमामय प्रभु यीसू मसीह रे चेले, इधी कठे भेदभाव री भावना ले दूर रेहा। "
JAS,2,2,उदाहरणा कठे अगर एक आदमी सोने री गुठी होर मैहंगे कपड़े पैन्ही किन्हें तुस्सा री मंडली मन्झ आये होर एक गरीब भी मैले कुचैले कपड़े पैन्ही किन्हें तुस्सा री मंडली मन्झ आये। 
JAS,2,3,"होर तुस्से तेस मैहंगे कपड़े वाले जो ज्यादा इज्जत देई किन्हें बोलो कि, “तुस्से तेथी खरी जगहा मन्झ बैठा,” होर तेस गरीबा किन्हें बोले कि, “तू जाई किन्हें तेथी खह्ड़ी रह,” या “मेरे पैरा वाले थाले बैठी जा।” "
JAS,2,4,ता क्या तुस्से आपु मन्झ भेदभाव नी कितेया होर बुरे सोचा किन्हें न्याय करणे वाले नी बणे? 
JAS,2,5,"हे लाडले भाईयो होर बैहणो, सुणा; परमेसरे एस संसारा रे गरीबा जो नी चुणीरा कि विस्वासा मन्झ अमीर होर तेस राज्या रे वारस हो, जेसरा देणे रा वादा परमेसरे तिन्हा कठे कितिरा, जेह्ड़े परमेसरा किन्हें प्यार करहे। "
JAS,2,6,"पर तुस्से तेस गरीबा री बेज्जती किती। तुस्से जाणांहे की अमीर लोक ही तुस्सा पर अत्याचार करहे, होर स्यों ही तुस्सा जो कच्हरी मन्झ घसीटी किन्हें लई जाहें। "
JAS,2,7,"होर स्यों अमीर लोक प्रभु यीसू रे बांके नांऊँआं री जो तुस्सा जो दितिरा, तेस नांऊँआं री निंदा करहा ऐें। "
JAS,2,8,"तेबे भी अगर तुस्से पवित्र सास्त्रा रे बचना रे मुताबक, “आपणे पड़ोसी किन्हें आपु साहीं प्यार रख्हा ऐें,” ता सच्चे तुस्से मूसा रे व्यवस्था रा खास हुक्म जो पूरी करहा ऐें, होर तुस्से खरा करहा ऐें। "
JAS,2,9,"पर अगर तुस्से भेदभाव करहा ऐें, ता पाप करहा; होर मूसा री व्यवस्था तुस्सा जो दोसी बणाहीं। "
JAS,2,10,"क्यूंकि जो कोई पूरी मूसा री व्यवस्था रा पालन करहा, पर एक भी हुकमा जो टाल्ली देआ ऐ, ता से सभ गल्ला मन्झ दोसी बणी जां। "
JAS,2,11,"इधी कठे कि जिन्हें ये बोल्या कि, “तू व्यभिचार नी करणा” तिन्हें ई ये भी बोल्या कि, “तू हत्या नी करणा,” इधी कठे कि तैं अगर व्यभिचार नी कितेया, पर हत्या किती तेबे भी तू मूसा री व्यवस्था रा टालणे वाल्आ बणेया। "
JAS,2,12,"तुस्से तिन्हा लोका साहीं दया किन्हें बोला होर काम भी करा, जिन्हारा न्याय तेस व्यवस्था रे मताबक हूंणा जिन्हें आस्से जो अजाद कितिरा। "
JAS,2,13,"क्यूंकि जिन्हें दया नी किती, तेसरा न्याय बगैर दया किन्हें हूंणां। अगर तुस्से दूजेया पर दया करघे ता परमेसरा भी न्याया रे ध्याड़े तुस्सा पर दया करणी। "
JAS,2,14,"हे भाईयो होर बैहणो, अगर कोई बोल्हा कि हांऊँ प्रभु यीसू पर विस्वास करहा पर दूजेया रे कठे कोई भला काम नी करदा हो, ता एह्ड़े विस्वासा रा क्या फायदा? क्या एह्ड़ा विस्वास कधी केसी रा उद्धार करी सक्हा? "
JAS,2,15,"अगर केसी भाई या बैहणा वाले कपड़े नी हो, होर तिन्हा जो हर ध्याड़े खाणे पीणे री कमी हो, "
JAS,2,16,"होर तुस्सा मन्झा ले कोई तिन्हा किन्हें बोले, “सुख-सांति किन्हें जाऊआ, तुस्से गर्म-गर्म कपड़े पैहना होर पेट भरी किन्हें खाऊआ पिऊआ,” पर जो चीजा सरीरा रे कठे जरूरी ई से तुस्से तिन्हा जो नी दे, ता क्या फायदा? "
JAS,2,17,तिहां ईं अगर विस्वासा करणे वाल्आ भला काम नी करहे ता तेसरा विस्वास मरीरा। 
