Book,Chapter,Verse,Text
TIT,1,1,"हाऊं पौलुस ज़ुण परमेश्‍वरा रौ सेवक और यीशु मसीहा रौ प्रेरित ऊ, तुमुलै इऐं चिट्ठी लिखाऊ। हाऊं परमेश्‍वरा रै चुनै औन्दै लोगु रौ विश्वास मज़बूत कौरना लै ऊ चुनौ औन्दौ, और तिउंरी मज़द कौरना लै ताकी सै सौच़्च़ी शिक्षा ज़ाणियौ इणी ज़िन्दगी ज़िवा ज़ेथकु परमेश्‍वर खुश औआ आ। "
TIT,1,2,"तिऐं सौदा री ज़िन्दगी री आशी माथै, ज़ासरौ वायदौ परमेश्‍वरै ज़ो झ़ूठ नाईं बोली सौकदौ भौरी पैहला ओउलै की आ। "
TIT,1,3,"और आबै ठीक बौगता माथै परमेश्‍वरै आमु माथै खुश-खौबरी पौगड़ी की आ, और आमुऐ सारेऊ कै एथरौ परचार कियौ आ। आमारै छ़ुटकारै दैणै वाल़ै परमेश्‍वरै मुकै इऐ ज़िम्मेबारी सांबी आ, और एस काम कौरना लै हुकम दैऔ आ। "
TIT,1,4,"तितुसा रै नावां दी ज़ुण विश्वासा दी मैरौ सौच़्च़ौ मांऊ आ, परमेश्‍वर और आमारै छ़ुटकारै दैणै वाल़ै यीशु मसीह री बौड़ी दया और शान्ति तुमुलै मिलदै थाका लागी। "
TIT,1,5,"हाऊं एथीलै ताऊं क्रेतै टापु दी छ़ाड़ियौ आशो थौ, ताकी तू तिऐं आमारौ काम पुरौ कौरी सौका और क्रेतै टापु रै हर शैहरा दी मुख्येऊ चुना, ज़िणौ मुंइऐ ताउंकै कौरणै रौ हुकम दैऔ थौ। "
TIT,1,6,"मुख्यै बेकसूर और एक ई छ़ेउड़ी रौ बोउटौ औलौ, और ज़ासरै छ़ोटी-छ़ोहरु विश्वासी औलौ, और ज़ासदी मौनमौरज़ी रौ आरोप नाईं औलौ लागौ औन्दौ। "
TIT,1,7,"कैलैकि मुख्यौ परमेश्‍वरा रौ खज़ान्च़ी औणै री वज़ाह कु बेकसूर हुणौ च़ांई, ना ज़िद कौरणै वाल़ौ, ना रोश गाड़नै वाल़ौ, और ना सुरी पिणै वाल़ौ, ना झ़ौगड़ै कौरणै वाल़ौ, और ना नीच कौमाई रौ लोभी हुणौ च़ांई। "
TIT,1,8,"पर पाउणै री इज़्ज़त-मान कौरणै वाल़ौ, दुजेऊ आइलै भौलाई कौरणै वाल़ौ, हर हालती दी आपु माथै काबु कौरणै वाल़ौ, सौच़्च़ौ फैसलै कौरणै वाल़ौ, पवित्र, और आपणी इच़्छ़ा माथै काबु कौरणै वाल़ौ औणौ च़ांई। "
TIT,1,9,"तिणीऐ यीशु मसीह रै भरोसै वाल़ै वचना माथै मज़बुती कौरीऐ विश्वास कौरणौ च़ांई, ज़ो आमुऐ शिखाऔ थौ। ताकी सेऊ दुजेऊ कै ठीक शिक्षा मानणा लै हिम्मत देई सौका, और दुजेऊ री गलती ठीक कौरी सौका। "
TIT,1,10,"हाऊं इणौ बोलाऊ कैलैकि भौरी लोग ठीक शिक्षा रौ विरोध कौरा ई, ज़ो बकबास कौरणौ और दुजेऊ कै धोखौ दैणौ शिखावा ई। खास कौरीयौ सै यहुदी ज़ुण विश्वासी बौणै ई। "
TIT,1,11,"इणै लोगु कै शिक्षा दैणै री ज़ाज़त नाईं दैऔ, कैलैकि ज़ैबै सै इणी शिक्षा दियाई ज़ो ठीक नाईं सी ता इऐ सारै टौबरु रौ विश्वास नाष कौरा ई। सै इणौ कौमाई लै कौरा ई। "
TIT,1,12,"क्रेतै टापु रौ एक आदमी ज़ास सै बुद्धिमान सौमझ़ा ई, सेऊ बोला आ, कि क्रेतै रै लोग झ़ूठै, दुष्ट-गूँड, आल़सी, और सिरफ पेटा भौरणै वाल़ै ई। "
TIT,1,13,"इऊं लोगु रै बारै दी इऐ गवाही सौच़्च़ी आ, एथीलै तिऊं काठा कौरीऐ खौबरदार थाक कौरदै लागी, कि सै यीशु मसीह री सौच़्च़ी शिक्षा माथै विश्वास कौरा। "
TIT,1,14,"तुमै यहुदिऊ री बणाउटी काअणिऊ और लोगु रै हुकमा माथै ज़िऊ ना लाइणी, ज़ो सौच़्च़ाई कु पोरु भौटकी गौऐ ई। "
TIT,1,15,"तिऊं लोगु लै सारी च़िज़ै शुद्ध ई, ज़ासरै ज़िवा दी पाप वाल़ै बिच़ार नाईं ई। पर तिऊं लोगु लै ज़ुण बुरै ई और विश्वास नाईं कौरदै, कुछ़ भी शुद्ध नाईं आसतौ, ज़ो सै कौरा ई। "
TIT,1,16,"सै झ़ुठी शिक्षा दैणै वाल़ै बोलाई कि, आमै परमेश्‍वर ज़ाणी ई, पर आपणै कामा कौरी तेसरौ इनकार कौरा ई। कैलैकि सै जौगरै और हुकम ना मानणै वाल़ै ई, और केज़ै भी आच़्छ़ै कामा रै लायक नाईं आसतै। "
TIT,2,1,"पर तू तितुस विश्वासिऊ कै सिरफ सेज़ी बुशै शिखाऊ, ज़ो सौच़्च़ी शिक्षा सा। "
TIT,2,2,"स्याणै लोगु सौबर छ़ाड़णी, इज़्ज़तदार बौणनौ और बुद्धीमानी कौरीऐ ज़िउणौ शिखाऔ। तिउंरौ विश्वास मज़बूत और तिऊं प्यार और सौबरा कौरी भौरु औन्दौ औणौ च़ांई। "
