Book,Chapter,Verse,Text
1JN,1,1,"हाऊं, यहुन्ना तुमुलै एकी आदमी रै बारै दी लिखाऊ, ज़ो ज़िन्दगी रौ वचन आ। सेऊ पैहला ओउलै थौ, सेऊ आमुऐ शुणौ, आपणी आखी कौरी देखौ और हाथा कौरी छ़ुऔं आ। "
1JN,1,2,"सेऊ ज़ुण ज़िन्दगी दिया, धौतरी माथै पौगड़ौ हुऔ और आमुऐ सेऊ देखौ, और तेथरी गवाही देई ई, और तुमुलै सौदा री ज़िन्दगी री खौबर देई ई ज़ो बाबा आइलै थौ और आमु माथै पौगड़ौ हुऔ आ "
1JN,1,3,"ज़ो कुछ़ आमुऐ देखौ और शुणौ आ तेसरी खौबर तुमुकै भी बोली ई, ताकी तुमै भी आमु आइलै शामिल हुआई। और आमारौ एऊ साथ बाबा आइलै और तेसरै छ़ोहरु प्रभु यीशु मसीह आइलै आ। "
1JN,1,4,और इऐ बुशै आमै एथीलै लिखी ताकी आमारी खुशी पुरी औआ। 
1JN,1,5,"ज़ो खौबर आमुऐ यीशु कु शुणी आ और तुमुकै शुणाई, सै इऐ आ कि परमेश्‍वर प्याशौ आ, और तेथदी कोई भी न्यारौ नाईं आ। "
1JN,1,6,"अगर आमै बोलु लै कि आमै तेसरै साथा दी ई और आपु हाण्डा लै न्यारै दी, ता आमै झ़ुठे ई और सौच़्च़ाई माथै नाईं च़ालदै। "
1JN,1,7,"पर ज़िणौ परमेश्‍वर प्याशै दी आ तिणी ई आमै भी प्याशै दी ज़िऊ लै, ता एकी दुजै आइलै साथ दी ई, और परमेश्‍वरा रै छ़ोहरु प्रभु यीशु रौ लोऊ आमु सारै पापा कु शुद्ध कौरा आ। "
1JN,1,8,"अगर आमै बोलु लै कि आमुदी कोई भी पाप नाईं आ, ता आपुलै धोखौ देई, और आमुदी सौच़्च़ाई नाईं आ। "
1JN,1,9,"अगर आमै आपणै पाप मानु लै, ता सेऊ आमारै पाप माफ कौरना लै और आमु सारी बुराई कु शुद्ध कौरना लै विश्वास वाल़ौ और धौर्मी आ। "
1JN,1,10,अगर आमै बोलु लै कि आमुऐ पाप नाईं कियौ ता परमेश्‍वर झ़ुठौ चाणी और इबी झ़ाऊं आमुऐ परमेश्‍वरा रै वचन नाईं अपणाऐ। 
1JN,2,1,"ओ मैरै लोल़डेउओ, हाऊं इऊं बुशै तुमुलै एथीलै लिखाऊ कि तुमै पाप नाईं कौरा। और अगर कुण पाप कौरालौ, ता परमेश्‍वर बाबा काऐ आमारौ मज़दगार आ, ज़ुण आमारै पापा री माफी री ताइंऐ परमेश्‍वरा कु प्राथना कौरा आ मतलब धौर्मी यीशु मसीह। "
1JN,2,2,"और सेऊ आमारै पापा री माफी लै बौल़ी हुऔ, सिरफ आमारै नाईं बल्कि सारी धौतरी रै लोगु रै पापा लै भी। "
1JN,2,3,"अगर आमै तेसरै हुकम मानु लै, ता एथ कौरी आमुकै पौतौ लागा की आमुऐ सेऊ ज़ाणी गौ आ। "
1JN,2,4,"ज़ुण-कुण इणौ बोला आ, कि “हाऊं तेस ज़ाणाऊ,” और तेसरै हुकम नाईं मानदौ, सेऊ झ़ुठौ आ और परमेश्‍वरा री सौच़्च़ाई ज़िणै नाईं ज़िउंदौ। "
1JN,2,5,"पर ज़ुण परमेश्‍वरा रै वचन माना आ, तेसदी सौच़्च़ी परमेश्‍वरा रौ प्यार पौगड़ौ हुऔ आ। एथीई कौरी आमै ज़ाणी की आमै तेसदी ई। "
1JN,2,6,"और ज़ुण-कुण इणौ बोला आ कि हाऊं तेसदी पाकौ ऊ, तिणीऐ तिणौ च़ांई ज़िउणौ ज़िणौ यीशु ज़िऔ आ। "
1JN,2,7,"ओ मैरै प्यारै साथी विश्वासिउओ, हाऊं तुमुलै कोई नौंवौ हुकम नाईं लिखदौ, पर सेई पुराणै हुकम ज़ो पैहला ओउलै तुमुलै मिलै ई। इऐ पुराणै हुकम सै वचन ई ज़ो तुमुऐ शुणेई ज़ेबी तुमुऐ यीशु मसीह माथै विश्वास कियौ। "
1JN,2,8,"तैबै हाऊं तुमुलै नौऐं हुकम लिखाऊ, और एथरी सौच़्च़ाई मसीहा दी और तुमु दी भी दिशा आ। कैलैकि न्यारौ आबै खातम थाका औन्दै लागी और सौच़्च़ाई रौ प्याशौ लागा च़मकदै। "
1JN,2,9,"ज़ुण-कुण इणौ बोला कि हाऊं प्याशै दी ज़िआऊ, पर आपणै विश्वासी भाई आइलै छ़ाड़ा दुश्मनी, ता सेऊ इबी झ़ांऊ भी न्यारै दी ज़िआ आ। "
1JN,2,10,"ज़ुण छ़ाड़ा आपणै भाई आइलै प्यार, सेऊ रौआ प्याशै दी और तेसदी ठोकर नाईं लागदी। "
1JN,2,11,"पर ज़ुण आपणै भाई आइलै दुश्मनी छ़ाड़ा आ, सेऊ न्यारै दी आ और न्यारै दी ज़िआ आ, और नाईं ज़ाणदौ कि किऐ डिया, कैलैकि न्यारै तेसरी आखी शेड़ी कौरी गोई। "
1JN,2,12,"ओ लोल़डेउओ, हाऊं तुमुलै एथीलै लिखाऊ, कि यीशु मसीह रै नावां कौरी तुमारै पाप माफ हुऐ ई। "
1JN,2,13,"ओ स्याणेउओ, हाऊं तुमुलै एथीलै लिखाऊ, ज़ो पैहला ओउलै तुमै तेस ज़ाणाई। ओ ज़वानो, हाऊं तुमुलै एथीलै लिखाऊ कि तुमै तेस दुष्टा (शैताना) कु ज़िते ई। ओ लोल़डेउओ, मुंइऐ तुमुलै एथीलै लिखौ आ कि तुमुऐ परमेश्‍वर बाब रवाई गौ आ। "
1JN,2,14,"ओ स्याणेउओ, मुंइऐ तुमुलै एथीलै लिखौ आ कि ज़ो शुरु ऊ कु आ, तुमुऐ सेऊ रवाई गौ आ। ओ ज़वानो, मुंइऐ तुमुलै एथीलै लिखौ आ कि तुमै तागत वाल़ेई और परमेश्‍वरा रौ वचन तुमु दी रौआ सा, और तुमै तेस बुरै शैताना कु ज़िते ई। "
1JN,2,15,"तुमुऐ ना ता दुनिया कु और ना दुनिया री च़िज़ा कु प्यार कौरौ। अगर कुण दुनिया कु प्यार छ़ाड़ा आ, ता तेसदी परमेश्‍वर बाबा रौ प्यार नाईं आ। "
1JN,2,16,"कैलैकि ज़ो एस धौतरी दी आ मतलब शरीरा री इच़्छ़ा और आखी रौ लाल़च़ और कौमाई रौ घमण्ड, एऊ परमेश्‍वर बाबा री तौरफा कु नाईं पर दुनिया री तौरफा कु आ। "
1JN,2,17,"सण्सार और तेसरी इच़्छ़ा दुइया खातम हुआई, पर ज़ुण परमेश्‍वरा री इच़्छ़ा माथै हाण्डा सेऊ सौदा ज़िउंदौ रौआ। "
