Book,Chapter,Verse,Text
REV,1,1,"यीशु मसीह रौ प्रकाशित वाक्य, ज़ो तेसकै परमेश्‍वरै एज़ी ताईं दैऔ, ताकी सेऊ आपणै सेवा कौरणै वाल़ेउ कै सेज़ी बुशै देखाल़ा, ज़ेथरौ शिगरी औणौ परमेश्‍वरै तय आ कियौ औन्दौ। और यीशुऐ आपणौ सौरगदूत भेज़णै रै ज़ौरिऐ आपणै सेवक यहुन्ना लै बोलौ, "
REV,1,2,"ज़ुणिऐ परमेश्‍वरा रौ वचन और यीशु मसीह री गवाही, मतलब ज़ो कुछ़ तिणिऐ देखौ थौ तेसरी गवाही देई। "
REV,1,3,"आशीष वाल़ौ आ सेऊ ज़ुण इऊं भविष्यवाणी रै वचन पौड़ा आ, और सै ज़ुण शुणाई और एथदी लिखी औन्दी बुशै माना ई, कैलैकि इयौ सब कुछ़ शिगरी औणै वाल़ौ आ। "
REV,1,4,"हाऊं यहुन्ना आसिया परदेशा री सातिआ कलिसिया लै ऊ लिखदै लागौ औन्दौ: तेस परमेश्‍वरा री तौरफा ज़ो आसा, ज़ुण थौ, और ज़ुण आशणै वाल़ौ आ, और तिऊं सात आत्मा री तौरफा कु ज़ुण तेसरी राज़गादी रै सामनै ई, "
REV,1,5,"और यीशु मसीह री तौरफा कु आ ज़ो बफादार गवाह और मौरै औन्दै मांझ़िआ कु ज़िउंदै हुणै वाल़ौ सौभी कु पैहलौ आ और धौतरी रै राज़ेऊ रौ आफसर आ, तुमुलै बौड़ी दया और शान्ति मिलदै रौआ। सेऊ आमु आइलै प्यार कौरा आ, और तिणीऐ आपणै लोऊ कौरीऐ आमै पापा कु छ़ुड़ाऐ ई। "
REV,1,6,एथीई री वज़ाह कु आमै याजकु रै वंश बौणी गौऐ ई ज़ुण तेसरै बाबा परमेश्‍वरा री सेवा कौरा ई। एथीलै यीशु मसीह री बौड़ाई और राज़ जुगै-जुगै औआ! आमीन। 
REV,1,7,"देखौ, मसीह बादल़ा आइलै आशणे वाल़ौ आ, और हर एक आखी तेस देखा ई, इदरा झ़ाऊं कि ज़ुणिऐ सेऊ छोपो थौ सै भी तेस देखा ई, और धौतरी रै सारै लोग तेसरी वज़ाह कु हिकड़ौ पिटीयौ लेराई। ओ इयौ औणौ आ! आमीन। "
REV,1,8,"प्रभु परमेश्‍वर, ज़ुण आसती आ और ज़ुण थौ और ज़ुण आशणै वाल़ौ आ, ज़ो सौभी कु शक्ति वाल़ौ आ, सेऊ बोला आ, “हाऊं ई अलफा और ओमेगा ऊ।” (मतलब शुरुवात और आखरी) "
REV,1,9,"हाऊं यहुन्ना, तुमारौ साथी विश्वासी और यीशु रै दु:ख और राज़्य और सौबरा दी तुमु आइलै ऊ। हाऊं परमेश्‍वरा रै वचन और यीशु री गवाही री वज़ाह कु पतमुस नावां रै टापु दी कैद थौ। "
REV,1,10,"हाऊं आरामा रै दिनै आत्मै आपणै वशा दी कौरी गौ, और आपु पीछ़ु शैहनाईं ज़िणी बौड़ी बाच़ीयै इणौ बोलदै शुणौ, "
