Book, Chapter, Verse, Text
"LUK","1","1","बऊत जणेया सेयो गल्ला, जो आसा बीचे ओईया, इतियास लिखणे रे आसा री मताद कित्ती,"
"LUK","1","2","जेड़ा कि पईले ई तिने जो इना गल्ला खे देखणे वाल़े और वचनो खे मानणे वाल़े सेवक थे, आसा गे पऊँछाईया।"
"LUK","1","3","तेबेई तो, ओ श्रीमान् थियुफिलुस! माखे बी ये ठीक लगेया कि तिना सबी गल्ला रा सारा आल शुरूओ तेई ठीक-ठीक पता लगाई की तिना ताखे एक-एक करी की लिखूँ।"
"LUK","1","4","ताकि तूँ ये जाणी लो कि यो गल्ला, जिना री तैं शिक्षा पाई राखी, केड़िया अटल ए।"
"LUK","1","5","यहूदिया प्रदेशो रे राजा हेरोदेसो रे बखते अबिय्याहो रे दलो रे जकरयाह नाओं रा एक पुरोईत था और तेसरी लाड़िया रा नाओं इलीशिबा था। ये दोनो लाड़ा-लाड़ी हारूणो रे कुलो रे थे।"
"LUK","1","6","सेयो दोनो परमेशरो सामणे तर्मी थे और परमेशरो री सारी आज्ञा और बिधिया पाँदे निर्दोष चलो थे।"
"LUK","1","7","तिना रे कोई ल्वाद नि थी, कऊँकि इलीशिबा बांझ थी और सेयो दोनो स्याणे ऊईगे थे।"
"LUK","1","8","एक दिन जेबे जकरयाह आपणे दलो री बारिया पाँदे परमेशरो सामणे पुरोईतो रा काम करो था।"
"LUK","1","9","तेबे पुरोईता री रवाजा रे मुताबिक, तेसरे नाओं री चिट्ठी निकल़ी, कि परमेशरो रे मन्दरो रे जाई की तूप बाल़।"
"LUK","1","10","और तूप बाल़ने रे बखते, लोका री सारी मण्डल़ी बारे मन्दरो रे आँगणो रे प्रार्थना करने लगी री थी।"
"LUK","1","11","तेबे जकरयाहो खे प्रभुए रा स्वर्गदूत तूपो री वेदिया रे दाँणे कनारे खड़ेया रा दिशेया।"
"LUK","1","12","जकरयाह तेसखे देखी की कबराईगा और बऊत डरीगा।"
"LUK","1","13","पर स्वर्गदूते तेसखे बोलेया, “ओ जकरयाह! डर नि, कऊँकि परमेशरे तेरी प्रार्थना सुणी ली री और जो तेरी लाड़ी इलीशिबा ए, तेसा रे ताखे एक पाऊ जमणा और तैं तेसरा नाओं यूहन्ना राखणा।"
"LUK","1","14","ताखे आनन्द और खुशी ऊणी और बऊत सारे लोक तेसरे जमणे ते खुश ऊणे।"
"LUK","1","15","कऊँकि से परमेशरो सामणे महान् ऊणा, तेस अँगूरा रा रस और शराब कदी नि पीणा और से आपणी माया रे गर्भो तेई पवित्र आत्मा ते परेया रा ऊणा।"
"LUK","1","16","तेस इस्राएलो बीचा ते कई जणे, तिना रे प्रभु परमेशरो री तरफा खे फेरने।"
"LUK","1","17","से एलिय्याह री आत्मा और सामर्था रे ऊई की तेसरे आगे-आगे चलणा ताकि पितरा रा मन बाल-बच्चेया री तरफा खे फेरो। आज्ञा नि मानणे वाल़ेया खे तर्मिया री समजा रे ल्याओ और प्रभुए खे एक लायक प्रजा त्यार करो।”"
"LUK","1","18","जकरयाहे स्वर्गदूतो ते पूछेया, “ये आऊँ किंयाँ जाणूं कि एड़ा ई मां साथे ऊणा? कऊँकि आऊँ और मेरी लाड़ी तो स्याणे ऊईगे रे।”"
"LUK","1","19","स्वर्गदूते तेसखे बोलेया, “आऊँ जिब्राईल ए, जो परमेशरो सामणे खड़ा रओआ। आऊँ तां साथे गल्ला करने और ये सुसमाचार सुनाणे रिया तंईं पेजी राखेया"
"LUK","1","20","और देख जदुओ तक यो गल्ला पूरिया नि ऊई जाओगिया, तदुओ तक तूँ चुप रणा और बोली नि सकदा। कऊँकि तैं मेरिया गल्ला पाँदे कि सेयो आपणे बखते पूरिया ऊणिया, विश्वास नि कित्तेया।”"
"LUK","1","21","लोक जकरयाहो खे न्याल़दे रए और हैरान ऊईगे कि तेसखे मन्दरो रे इतणी देर किंयाँ ऊईगी?"
"LUK","1","22","जेबे से बारे आया, तेबे से तिना साथे गलाई नि सकेया, तेबे तिना खे पता लगी गा कि तिने मन्दरो रे कोई दर्शन पाई राखेया, से तिना साथे साअरे रे गल्ला करदा रया और गूँगा ऊईगा।"
"LUK","1","23","जेबे मन्दरो रे तेसरे पुरोईतो रे कामो री सेवा करने रे दिन पूरे ऊईगे, तेबे से यरूशलेमो नगरो खे छाडी की आपणे कअरो खे चली गा।"
"LUK","1","24","तेबे तेसरी लाड़ी इलीशिबा गर्भवती ऊईगी और पाँज मीन्ने तक आपू खे कअरे ये बोली की लकोए रे राखेया,"
"LUK","1","25","“मांणूए जो मेरी बेज्जती करी राखी, तिजी खे दूर करने खे, परमेशरे मां पाँदे कृपा करने खे एड़ा करी राखेया।”"
"LUK","1","26","इलीशिबा रे गर्भावस्था रे छटुए मीन्ने परमेशरो री तरफा ते जिब्राईल स्वर्गदूत गलील प्रदेशो रे नासरत नाओं नगरो रे,"
"LUK","1","27","एक कुआँरिया गे पेजेया। तेसारी मंगणी यूसुफ नाओं रे दाऊदो रे कराने रे एक माठे साथे ऊई थी। तेसा कुआँरिया रा नाओं मरियम था।"
"LUK","1","28","स्वर्गदूते तेसा गे पीतरे आयी की बोलेया, “खुशी और जय तेरी ओ, जेस पाँदे परमेशरो री कृपा ऊई री, प्रभु तां साथे ए।”"
"LUK","1","29","से तेस वचनो ते बऊत कबराई गी और सोचणे लगी कि ये केड़ी गल्ल ए?"
"LUK","1","30","स्वर्गदूते तेसा खे बोलेया, “ओ मरियम! डर नि कऊँकि परमेशरो री कृपा तां पाँदे ऊई री।"
"LUK","1","31","देख, तूँ गर्भवती ऊणी, तेरे एक पाऊ जमणा और तैं तेसरा नाओं यीशु राखणा।"
"LUK","1","32","से महान् ऊणा, और परमप्रदानो रा पुत्र ऊणा और प्रभु परमेशरे तेसरे पुरखा दाऊदो रा सिंहासन तेसखे देणा।"
"LUK","1","33","और तेस याकूबो रे कराने रे सदा राज्य करना और तेसरे राज्य रा अंत कदी नि ऊणा।”"
"LUK","1","34","मरियमे स्वर्गदूतो खे बोलेया, “ये किंयाँ ऊणा? आऊँ तो मर्दो खे जाणदी ई नि, कऊँकि आऊँ तो एबु कुँवारी ए”"
