Book, Chapter, Verse, Text
"TIT","1","1","ये चिट्ठी मां पौलुसो री तरफा ते ए। आँऊ परमेशरो रा दास और यीशु मसीह रा प्रेरित ए। आँऊ परमेशरो रे तिना चूणे रे लोका रा विश्वास मजबूत करने खे पेजी राखेया और तिना खे सिखाणे खे कि सेयो सच्चो खे जाणो ताकि सेयो ईश्वरीय जिन्दगी जी सको।"
"TIT","1","2","नतीजन तिना परमेशरो साथे सदा री जिन्दगी जिऊणे री उम्मीद करनी। कऊँकि परमेशर कदी बी चूठ नि बोलदा, तिने दुनिया बनाणे ते पईले ये वादा कित्तेया था कि तेसरे लोका सदा कालो री जिन्दगी जिऊणी।"
"TIT","1","3","और एबे एकदम ठीक बखतो पाँदे परमेशरे ए सुसमाचार आसा पाँदे प्रकट करी राखेया और आसे इजी खे सबी लोका खे प्रचार करूँए। परमेशर जो म्हारा उद्धारकर्ता ए तिने माखे ये जिम्मेवारी दित्ती कि आँऊ तिना खे ये काम करूँ।"
"TIT","1","4","आँऊ ये चिट्ठी तीतुसो खे लिखणे लगी रा जो विश्वासो रे मेरे सच्चे पाऊए जेड़ा ए। आँऊ प्रार्थना करूँआ कि परमेशर पिता और म्हारे उद्धारकर्ता यीशु मसीह री तरफा ते ताखे कृपा और शान्ति मिलदी रओ।"
"TIT","1","5","आऊँ ताखे क्रेते टापूए रे इजी खे छाडी आया था कि तूँ बाकि बची रिया गल्ला खे सुदारे और जेड़ा मैं बोली राखेया तिजी रे मुताबिक नगर-नगरो रे बुजुर्गा खे ठराई दे।"
"TIT","1","6","ये जरूरी ए कि बुजुर्ग निर्दोष और एक ई लाड़िया रा लाड़ा ओ। तिना रे बच्चे विश्वासी ओ और तिना पाँदे लुचपण और आज्ञा ना मानणे रा दोष नि ओ।"
"TIT","1","7","कऊँकि एक अध्यक्ष परमेशरो रे कराने रा पण्डारी ओआ, इजी खे तेसखे पक्का ई निर्दोष जिन्दगी जिऊणी चाईयो। बुजुर्गो खे ना टीठ, ना रोष करने वाल़ा, ना पियक्कड़, ना मार-पीट करने वाल़ा और ना ई नीच कमाईया रा लोबी ऊणा चाईयो।"
"TIT","1","8","बल्कि से पराऊणचारी करने वाल़ा, ओरी री पलाई चाणे वाल़ा, सब्र राखणे वाल़ा, न्यायी, पवित्र और आपू पाँदे काबू राखणे वाल़ा ऊणा चाइयो।"
"TIT","1","9","से जरूर मसीह रे तेस संदेशो रा विश्वासो साथे पालण करो। जो तर्मो रे उपदेशो रे मुताबिक ए और जो आसे सिखाई राखेया। ताकि से ओरी खे खरी शिक्षा ते उपदेश देई सको और बरोद करने वाल़ेया रा मूँ बी बंद करी सको।"
"TIT","1","10","आँऊ ये इजी खे बोलणे लगी रा कऊँकि बऊत सारे लोक खास करी की जो यहूदिया बीचा ते विश्वासो रे आयी रे सेयो सई शिक्षा रा बरोद करोए और से मूर्खता री गल्ला सिखाओए और ओरी खे तोखा देओए।"
