Book, Chapter, Verse, Text
"2JN","1","1","ये चिट्ठी मां बुजुर्गो री तरफा ते ए। आँऊ ये चिट्ठी तेसा खास जवाणसा खे और तेसा रे बाल-बच्चेया खे लिखणे लगी रा जिना खे परमेशरे आपणे लोक करी की चूणी राखेया। आऊँ तुसा सबी ते सच्चा प्यार करूँआ, बस आऊँ ई नि, बल्कि सेयो सब बी प्यार राखोए, जो सच्चाईया खे जाणोए।"
"2JN","1","2","आसे सब लोक तांते प्यार करुँए कऊँकि से सच्चाई जो आसा रे टीकी री रओई, और सदा आसा साथे अटल रणी।"
"2JN","1","3","पिता परमेशर और पिते रे पाऊ प्रभु यीशु मसीह री तरफा ते कृपा, दया और शान्ति आसा साथे सच और प्यारो रे बणी रणी।"
"2JN","1","4","आऊँ बऊत खुश ऊआ कि मैं तेरे कुछ बाल-बच्चे, तेसा आज्ञा रे मुताबिक, जो आसा खे पिते री तरफा ते मिली थी, सच्चाईया पाँदे चलदे ऊए पाए।"
"2JN","1","5","एबे ओ जवाणसे! आऊँ ताखे कोई नयी आज्ञा नि, पर सेई जो शुरूओ तेई आसा गे ए, लिखूँआ। और तांते बिनती करूँआ कि आसे एकी-दूजे साथे प्यार राखिए"
"2JN","1","6","और प्यार ये कि आसे तेसरी आज्ञा रे मुताबिक चलिए। ये सेई आज्ञा ए, जो तुसे शुरूओ ते सुणी राखी और तुसा खे इजी पाँदे चलणा बी चाईयो।"
"2JN","1","7","कऊँकि बऊत सारे एड़े भरमाणे वाल़े दुनिया रे निकल़ी की आयी रे, जो ये नि मानदे कि प्रभु यीशु मसीह शरीरो रे ऊई की आए। भरमाणे वाल़ा और मसीह रा बिरोदी येई ए।"
"2JN","1","8","आपणे बारे रे चौकस रओ। जो मईणत आसे सब करी राखी, तिजी खे तुसे खोई नि देओ, बल्कि अनन्त जीवनो रा पूरा फल पाओ।"
"2JN","1","9","जो कोई मसीह री शिक्षा ते पटकी जाओआ और मसीह री शिक्षा रे बणेया रा नि रंदा, तेसगे परमेशर निए। पर कोई तेसरी शिक्षा रे टीके रा रओआ, तेसगे पिता बीए और पुत्र बी।"
"2JN","1","10","जे कोई तुसा गे आओ और मसीह री सच्ची शिक्षा नि देओ, तेसखे ना तो कअरे आऊणे देओ और ना ई तेसरी आदर-खातर करो।"
"2JN","1","11","कऊँकि जो कोई एड़े जणे री आदर-खातर करोआ, से तेसरे बुरे कामो रे साजा ओआ।"
"2JN","1","12","माखे तुसा खे बऊत सारिया गल्ला लिखणिया ए, पर कागज और स्याईया ते लिखणा नि चांदा, पर उम्मीद ए कि आऊँ तुसा गे आऊणा और आमणे-सामणे गल्ला करूँगा, जेते की आसा री खुशी पूरी ओ।"
"2JN","1","13","परमेशरो रे जरिए चूणी री तेरी बईणा रे बाल-बच्चे जो एती आसा साथे ताखे नमस्कार बोलोए।"
