Book, Chapter, Verse, Text
"REV","1","1","ये प्रकाशितवाक्य यीशु मसीह री तरफा ते ए, जो परमेशरे तिना पाँदे इजी खे प्रकट कित्तेया कि से आपणे दासा खे तिना गल्ला, जिना रा चट ऊणा जरूरी ए, दखाओ। मसीहे आपणा स्वर्गदूत पेजी की तेसरे जरिए ये प्रकाशन आपणे दास यूहन्ने खे बताया।"
"REV","1","2","यूहन्ने सेयो सब गल्ला लिखिया जो तिने देखिया थिया मतलब परमेशरो री तरफा ते दित्तेया रा संदेश और से सब कुछ जो यीशु मसीहे बोलेया था।"
"REV","1","3","धन्य ए से, जो एसा भविष्यबाणिया रे वचना खे पढ़ोआ और सेयो बी जो इना वचना खे सुणोए और इदे लिखी रिया गल्ला खे मानोए, कऊँकि बखत नेड़े आयी रा।"
"REV","1","4","ये चिट्ठी मां यूहन्ने री तरफा ते ए। आँऊ ये चिट्ठी आसिया प्रदेशो री सातो मण्डल़िया खे लिखणे लगी रा। आँऊ प्रार्थना करूँआ कि तुसा सबी लोका खे परमेशरो री तरफा ते जो आए और जो था और जो आऊणे वाल़ा ए कृपा और शान्ति मिलदी रओ। तिना सातो आत्मा री तरफा ते, जो परमेशरो रे सिंहासनो रे सामणे ए, तुसा खे कृपा और शान्ति मिलदी रओ।"
"REV","1","5","यीशु मसीह री तरफा ते बी तुसा सबी लोका खे जो विश्वासो जोगे गवा ए, कृपा और शान्ति मिलदी रओ। यीशु मसीह मरे रेया बीचा ते जिऊँदे ऊणे वाल़ेया रे जेठा ए और से तरतिया रे राजेया रा हाकिम ए। से आसा साथे प्यार राखोआ और तिने आपणे खूनो रे जरिए आसे पापो ते छुड़ाए।"
"REV","1","6","यीशुए ई आसे आपणे पिता परमेशरो खे पुरोईता रा राजवंश बणाईते। तेसरी महिमा और पराक्रम जुगो-जुगो तक रओ। आमीन्।"
"REV","1","7","देखो, से बादल़ो साथे आऊणे वाल़ा ए और हर एकी आखी से देखणा, बल्कि जिने से ऊजेया था, तिना बी से देखणा और तरतिया रे सारे कुल़ा तेसरी बजअ ते जोरे-जोरे की रोणा। आ, ये ऊणा। आमीन्।"
"REV","1","8","प्रभु परमेशर ये बोलोआ, “आऊँ ई पईला और आखरी ए, मतलब से जो आए और जो था और जो आऊणे वाल़ा ए और जो सर्वशक्तिमान् ए।”"
"REV","1","9","आऊँ यूहन्ना जो तुसा रा साथी विश्वासी पाई और यीशुए खे क्ल़ेश सईणे और परमेशरो रे राज्य रे और सब्रो रे तुसा रा साथी ए। आँऊ परमेशरो रे वचन और यीशुए री गवाईया री बजअ ते रोमी अगुवो रे जरिए कैदिया रे रूपो रे पतमुस नाओं रे टापूओ रे पेजी ता था।"
"REV","1","10","प्रभुए रे दिने मतलब जेस दिने विश्वासी लोक आराधना करने खे कट्ठे ओए आँऊ तेस दिने पवित्र आत्मा ते परी गा और अचाणक मैं आपणे पीछे तुरहिया जेड़ी जोरो री आवाज सुणी।"
"REV","1","11","तिने बोलेया, “जो कुछ तूँ देखेया तिजी खे कताबा रे लिखी की सातो नगरो री मण्डल़िया गे पेजी दे; मतलब इफिसुस, स्मुरणा, पिरगमुन, थुआतीरा, सरदीस, फिलदिलफिया और लौदीकिया खे पेजी दे।”"
"REV","1","12","तेबे मैं तेसखे जो मां साथे बोलणे लगी रा था देखणे खे आपणा मूँ फेरेया और पीछे कूमी की मैं सात दीऊए देखे।"
"REV","1","13","तिना दीऊएया बीचे मनुष्य रे पुत्रो जेड़ा एक मर्द देखेया। से पैरा तक टाले पइने रे था और तिने छातिया पाँदे सुईने रा पटका बानेया रा था।"
"REV","1","14","तेसरा सिर और बाल़ चिट्टिया ऊना जेड़े थे, बल्कि पाल़े जेड़े चमकणे लगी रे थे और तेसरिया आखी आगी री लुपिया जेड़िया थिया।"
"REV","1","15","तेसरे पैर खरे पीतल़ो जेड़े थे मानो आगी री पट्ठिया रे तपाई राखे और तेसरी आवाज मुखते पाणिए री छेड़ा जेड़ी थी।"
"REV","1","16","तिने आपणे दाँणे आथो रे सात तारे लयी राखे थे और तेसरे मुंओ ते पईनी दोरी तलवार निकल़ने लगी री थी। तेसरा मूँ एड़ा चमकणे लगी रा था जेड़ा सूरज कड़क तूपा पाँदे चमकोआ।"
"REV","1","17","जेबे मैं से देखेया तो आऊँ तेसरे पईरा पाँदे मरेया रा जा पड़ी गा। तेबे तिने मां पाँदे आपणा दाँणा आथ राखी की ये बोलेया, “डर नि, आऊँ पईला और आखरी ए।"
"REV","1","18","आऊँ सेईए जो जिन्दगी देओआ। आँऊ मरी गा था और एबे देख, आऊँ जुगो-जुगो तक जिऊँदा ए। मांगे ई मौत और नरको रिया कुँजियाँ ए।"
"REV","1","19","“इजी खे जो गल्ला तैं देखिया और जो गल्ला उणे लगी रिया और जो इजी ते बाद उणे वाल़िया ए, तिना सबी लिखी लो।"
"REV","1","20","तिना सातो तारेया रा पेत जो तैं मेरे दाँणे आथो रे देखे थे और तिना सात सुईने रे दीऊएया रा पेत ये ए: सेयो सात तारे, सातो मण्डल़िया रे स्वर्गदूत ए और सेयो सात दीऊए सात मण्डल़िया ए।”"
"REV","2","1","तिने माखे ये बी बोलेया, “इफिसुस नगरो री मण्डल़िया रे स्वर्गदूतो खे ये संदेश लिख: आँऊ सेईए जिने सातो तारे आपणे दाँणे आथो रे लयी राखे और सुईने रे साता दीऊएया बीचे चलो फिरोआ। आँऊ ताखे जो बोलूँआ से सुण:"
"REV","2","2","आऊँ तेरे काम, परिश्रम और तेरा सब्र जाणूंआ। आँऊ ए बी जाणूंआ कि तूँ बुरे लोका खे देखी नि सकदा। तैं सेयो लोक परखी की चूठे पाए जो आपणे आपू खे प्रेरित ऊणे रा दखावा करोए।"
"REV","2","3","तूँ सब्र करोआ और मेरे नाओं री तंईं दु:ख सईंदे-सईंदे थकदा नि।"
"REV","2","4","पर मां तेरे खलाफ ये बोलणा कि तैं आपणा पईलका जेड़ा प्यार छाडीता रा।"
"REV","2","5","याद करो कि तुसे केथा ते केथी आई की रुड़ी रे। इजी खे मन फेर और पईले जेड़े काम कर। जे तूँ आपणा मन नि बदलेगा तो मां तांगे आयी की तेरे दीऊए तेते जगा ते टाई देणे।"
"REV","2","6","पर आहो, तांदे ये अच्छी गल्ल तो आयी की तूँ नीकुलइयों रे कामा ते कृणा करेया, जिना ते आऊँ बी कृणा करूँआ।"
"REV","2","7","जो समजी सकोआ से तिजी खे त्यानो साथे सुणो और मानी बी लओ कि परमेशरो रा आत्मा मण्डल़िया खे क्या बोलणे लगी रा। जो जीती जाणे, मां तेसखे तेस जीवनो रे डाल़ो बीचा ते जो परमेशरो रे स्वर्गलोको रे ए, फल खाणे खे देणे।"
"REV","2","8","“स्मुरणा नगरो री मण्डल़िया रे स्वर्गदूतो खे ये संदेश लिख: आँऊ सेईए जो पईला और आखरी ए और जो मरी गा था पर एबे जिऊँदा ए। आँऊ ताखे जो बोलूँआ से सुण:"
"REV","2","9","आऊँ तेरे क्ल़ेश और गरीबी जाणूंआ पर तूँ अमीर ए और जो लोक आपणे आपू खे यहूदी बोलोए और आए नि, पर शैतानो री सभा ए, तिना री निन्दा खे बी जाणूंआ।"
"REV","2","10","जो दु:ख ताखे सईन करने पड़ने, तिना ते नि डर। कऊँकि देखो, शैतान तुसा बीचा ते कईया खे जेला रे पाणा चाओआ, ताकि तुसे परखे जाओ और तुसा खे दसा दिना तक क्ल़ेश सईन करना पड़ो। प्राण देणे तक विश्वासी रओ, तो मां ताखे जीवनो रा मुकट देणा।"
"REV","2","11","जो समजी सकोआ से तिजी खे त्यानो साथे सुणो और मानी बी लओ कि परमेशरो रा आत्मा मण्डल़िया खे क्या बोलणे लगी रा। जो जीती जाणे, सेयो दूजी बार कदी नि मरने।"
"REV","2","12","“पिरगमुन नगरो री मण्डल़िया रे स्वर्गदूतो खे ये संदेश लिख: आँऊ सेईए जेसगे दोरी और पैनी तलवार ए। आँऊ ताखे जो बोलूँआ से सुण:"
