Book, Chapter, Verse, Text
"MRK","1","1","ए कताब मसीह यीशु रे शुभ संदेश रे बारे बिच है, से परमेश्‍वर रे पुत्तर हिन।"
"MRK","1","2","ते इसेरी शुरुआत इय्यां हुंदी कि जिय्यां परमेश्‍वर ने अपणे पुत्तर यीशु मसीह जो यशायाह भविष्यद्वक्ता री कताब बिच बोल्ले रा है, “दिख्ख मै अपणे दूत जो तेरे अग्गे भेज्जेया करदा है, जिनिये तेरे आणे तांइ लोक्कां जो तयार करणा।”"
"MRK","1","3","“बियाबान बिच इक्क हक्क मारणे वाले री अवाज सुणुदी, ‘प्रभु रे आणे तांइ अप्पु जो तयार करो, ते तिन्हेरा रस्ता सिद्दा करो।’”"
"MRK","1","4","युहन्ना ही से दूत थिया जे आया, जे बियाबान बिच थिया ते लोक्कां बिच ए प्रचार कित्तेया कि बपतिस्मा लेयो ताकी ए गवाई होई सके कि तुसी तौबा करी लित्ते री है ते पाप्पां री माफी तांइ परमेश्‍वर पास्से मुड़ी आए रे हिन।"
"MRK","1","5","यहुदियां जिले ते यरूशलेम शहर का मते सारे निकली करी तिसेरे नेड़े गे, ते अपणे पाप्पां जो मन्नी करी यरदन नदी बिच तिसका बपतिस्मा लित्तेया।"
"MRK","1","6","युहन्ना ऊँट रे बालां रे बणे रे कपड़े पाइ करी ते कमर बिच चमड़े रा कमरबंद बन्नि करी रखदा थिया ते टिड्डियां कने जगंली शहद खादां थिया,"
"MRK","1","7","ते ए प्रचार करदा थिया, “मेरे बाद से आणे वाला है जे मेरे का भी शक्तिसाली है, मै इस जोग्गे भी नी कि इक्क गुलाम रे तौर पर भी निठ्ठे होई करी तिन्हेरे जुत्ते री डोरी खोल्ली सकां।"
"MRK","1","8","मै तां तुसी जो पाणी कने बपतिस्मा दित्तेया पर उन्ने तुसी जो पवित्रात्मा कने बपतिस्मा दैणा।”"
"MRK","1","9","तिन्हा दिना बिच यीशु ने गलील प्रदेश रे नासरत कस्बे का आई करी यरदन नदी बिच युहन्ना का बपतिस्मा लित्तेया।"
"MRK","1","10","ते जां यीशु पानी का निकली करी उप्पर आए, तां तिस्सी बेल्ले तिनिये स्वर्ग जो खुलदे ते पवित्रात्मा जो कबूतर सांइ अपणे उप्पर उतरदे दिख्खेया।"
"MRK","1","11","ते ए स्वर्ग बिच का ए अवाज आई, “तू मेरा प्रिय पुत्तर है, तेरे का मै खुश है।”"
"MRK","1","12","तां पवित्रात्मा ने तिस्सी बेल्ले तिस जो बियाबान जो भेज्जेया,"
"MRK","1","13","बियाबान बिच चाली रोज तिकर शैतान ने तिस जो परखेया, ते से बियाबान रे जानवरां कने रेया, ते स्वर्गदूत उसेरी सेवा-टहल करदे रेय।"
