Book, Chapter, Verse, Text
"GAL","1","1","आऊँ पौलुस, जेड़ा नां मनुक्खें दी मर्जी कन्नें, ते नां मनुक्ख थमां, बरन यीशु मसीह ते पिता परमेसर थमां, जेस ने यीशु मसीह गी मरें दे बिचा ज़िंदा कित्ता, प्रेरित ऐं।"
"GAL","1","2","ते सारे विश्वासी पैन,प्राऐं थमां जेडे मेरे कन्नें, गलातिया लाकें दी कलीसिया दे नां;"
"GAL","1","3","ए मेरी प्रार्थना ऐ, के परमेसर पिता ते साडे प्रभु यीशु मसीह थमां तुसेंगी क्रपा ते शान्ति मिलदी रवै।"
"GAL","1","4","साडे परमेसर ते पिता दी मर्जी दे मताबक मसीह यीशु ने अपने आप गी साडे पापें दै कारन बली करी दित्ता तां जे अस अज दी दुनिया दे लोकें दे बुरे परबहा बचे रौचै।"
"GAL","1","5","मेरी ए प्रार्थना ऐ, के लोक परमेसर दी स्तुति ते बड़ाई अर एक योग च मेशा करदे रौंन। अमीन।"
"GAL","1","6","मीकी ए सुनिऐ रांनगी ओंदी ऐ, के जेस ने तुसेंगी मसीह दी क्रपा च चलने आसतै बलाया ओस कोला तोस इन्नी जल्दी फिरियै बखरी चाली दी श्खिया उपर विश्वास करन लगे।"
"GAL","1","7","एक गै सच्चा शोभ समाचार ऐ; लेकन गल्ल ए ऐ, के किन्नें लोक ऐसे न जेडे मसीह दे शोभ समाचार गी बगाडीयै तुसेंगी तोखा देना चांदे न।"
"GAL","1","8","लेकन जेकर अस, जां सोर्ग थमां कोई सोर्गदूत बी उतरीयै ओस शोभ समाचार गी छुड़ीयै जेड़ा असें तुसेंगी सनाया ऐ, कोई दुई शिखया तुसेंगी दै, तां ओ स्रापित उवै।"
"GAL","1","9","जियां अस पैलें अखी चुके दे न, उयां गै आऊँ पी आखना, के ओस शोभ समाचार गी छुड़ीयै जिसी अस्सें तुसेंगी सनाया ऐ, जेकर कोई दुई शिखया दै, ओ स्रापित उवै।"
"GAL","1","10","ऊन आऊँ के मनुक्खें गी खोश करना ऐं, जां परमेसर गी? के आऊँ मनुक्खें गी खोश करना चानां ऐं? जेकर आऊँ ऊन तकर मनुक्खें गी गै खोश करदा रौना, तां मसीह दा दास नेई ओंदा।"
"GAL","1","11","ए विश्वासी प्राओ, आऊँ तुसेंगी सनाई दीना ऐं, के जेड़ा शोभ समाचार मै सनाया ऐ, ओ मनुक्ख थमां नेई।"
"GAL","1","12","किके ओ मीकी मनुक्ख दी तरफा नेई पुजया, ते नां मीकी कुसै सखाया, लेकन यीशु मसीह थमां मेरे उपर परकट कित्ता गिया।"
"GAL","1","13","प्राओ तोस सुनी चुके दे ओ; के यहूदी मत च जेड़ा पैलें मेरा चाल चलन हा, के आऊँ परमेसर दी कलीसिया दे वश्वासियें गी मता सतांदा हा ते नाश करदा हा।"
"GAL","1","14","ते आऊँ यहूदी तर्म च अपने बेलै दे मते सारे मेरी गै उम्र दे साथी पराऐं कोला मता अगें बदा करदा हा, ते अपने बजुर्गें दे रिती रवाजें ते शिखयें आसतै मता गै जशिला हा।"
"GAL","1","15","लेकन जदुं परमेसर दी इच्छा ओई, ओस मिकी मां दे गर्भ चा गै चुनी लिया ते अपनी क्रपा कन्नें बलाई लेता,"
"GAL","1","16","के मेरे उपर अपने पुत्र गी प्रकट करै, के आऊँ दुई जातीयें च ओस दा शोभ समाचार सनां, ते एस समाचार दै बारै च मैं कुसै मनुक्खे छा सलाह नेई लेती,"
"GAL","1","17","ते नां यरूशलेम शैर गी उन्दे कोल गिया जेडे मेरे थमां पैलें प्रेरित चुने गेदे हे, लेकन फोरन अरब दे देश च सनसांन जगै गी चली गिया ते पी उत्त्थुआं दा दमिश्क शैर गी बापस आई गिया।"
"GAL","1","18","पी त्रैं सालें दे बाद आऊँ प्रेरित पतरस (कैफा) कन्नें मुलाक़ात करने आसतै यरूशलेम दे शैर गी गिया, ते ओदे कोल पंद्रां देन तकर रिया।"
"GAL","1","19","लेकन प्रभु दे प्रा याकूब गी छुड़ीयै ओर प्रेरितें बिचा कुसै कन्नें बी नेई मिलया।"
"GAL","1","20","परमेसर जानदा के जेड़ीयां गल्लां आऊँ तुसेंगी लिखना ऐ, दिखो, परमेसर गी आजर समझीयै आखना ऐं, के ओ गल्लां चुठियां नेई।"
"GAL","1","21","उनें प्रेरितें कन्नें मिलीयै ते यरूशलेम शैर गी छुड़ने दे बाद आऊँ सीरिया ते किलिकिया दे लाकें च आया।"
"GAL","1","22","लेकन यहूदिया दे लाके दे विश्वासी कलीसिया लोक जेड़े मसीह च हे, मिगी ते उनें कदें दिखे दा नेई हा;"
"GAL","1","23","लेकन ओ विश्वास बार-बार ईयै सुना करदे हे, के जेड़ा असेंगी पैलें सतांदा हा, ओ ऊन उसै विश्वास दा शोभ समाचार सुनांदा ऐ, जिसी पैलें नाश करदा हा।"
"GAL","1","24","ते मसीह विश्वास मेरे बारै च आखदे हे, के सताने आला कियां यीशु दा चेला बनया, ओ एस गल्ल उपर परमेसर दी मैमा करदे रौंदे हे।"
"GAL","2","1","4 चौदां साल दे बाद आऊँ बरनबास दै कन्नें पी यरूशलेम शैर गी गिया, ते तीतुस गी बी कन्नें लेई गिया।"
"GAL","2","2","मेरा जाना परमेसर दे परकट ओनें कन्नें ओया; ते जेड़ा शोभ समाचार आऊँ दुई जातीयें च प्रचार करना ऐ, उसी मै उनेंगी सनाई दीता, लेकन कलै च उनेंगी जेडे कलीसिया दे अगबें हे, तां जे ऐसा नेई उवै, के मेरे एस बेलै दी, जां पिछली दौड़-धोप बेकार ओई जा।"
"GAL","2","3","लेकन तीतुस बी जेड़ा मेरे कन्नें हा ते जेड़ा यूनानी ऐ, ओदा खतना कराने आसतै यरूशलेम दे शैर दी कलीसिया दे अगबें मजबूर नेई कित्ता।"
"GAL","2","4","ते ए उनें चुठे प्रां दै कारन ओया, जेडे छपीयै साडे च आई गै हे, ते ओ अजादी जेड़ी साडे उद्धारकर्ता मसीह यीशु च ऐ उसी नाश करने दी कोष्ट कित्ती तां जे ओ असेंगी परतीयै यहूदीयें दे कनून दे गलाम बनांन।"
