Book, Chapter, Verse, Text
"PHM","1","1","आऊँ पौलुस जेड़ा ए चिठ्ठी लिखे करना ऐं, यीशु मसीह दे बारै च प्रचार करने दै कारन आऊँ कैदी ऐं, ते विश्वासी प्रा तीमुथियुस थमां साडे प्यारे साडे कन्नें सेवा करने आले फिलेमोन,"
"PHM","1","2","ते पैंन अफफिया, ते साडे साथी योद्धा अरखिप्पुस ते फिलेमोन दे कर दी कलीसिया दे नां;"
"PHM","1","3","मेरी प्रार्थना ए ऐ साडे पिता परमेसर ते प्रभु यीशु मसीह तुसेंगी क्रपा ते शान्ति दै।"
"PHM","1","4","जेस लै बी आऊँ प्रार्थना करना मेशा थूआड़े लेई परमेसर दा शुक्र करना ऐं,"
"PHM","1","5","किके आऊँ तेरे ओस प्रेम ते विश्वास दी चर्चा सुनना, जेड़ी सारें पवित्र लोकें कन्नें प्रभु यीशु उपर ऐ।"
"PHM","1","6","आऊँ प्रार्थना करना ऐं के वश्वासियें च तेरी पागे दारी बददी जा,सारियें अच्छी चीजें गी जानदे ओई,जेड़ीयां परमेसर ने दिती दियां; सब केछ मसीह दी मैम आसतै उवै।"
"PHM","1","7","किके ए विश्वासी प्रा, मीकी तेरे प्यार कन्नें मती खुशी ते शान्ति मिली ऐ, एस आसतै के तेरे थमां पवित्र लोकें दे मन अरे परे ओई गेदे न।"
"PHM","1","8","एस आसतै जेकर मीकी मसीह च मती इम्त ऐ, के जेड़ी गल्ल ठीक ऐ, ओस दा उक्म तुगी दियां।"
"PHM","1","9","तां बी मीकी बुड्डे पौलुस गी जेड़ा ऊन मसीह यीशु आसतै कैदी ऐ, ए ओर बी पला लगया के प्यार कन्नें अर्ज करां।"
"PHM","1","10","आऊँ अपने आत्मिक बच्चे उनेसिमुस आसतै, जेड़ा मेरे थमां मसीह च मेरा पुत्र मेरी कैद च जम्मयां ऐ, तेरे कन्नें अर्ज करना ऐं।"
"PHM","1","11","ओ ते पैलें तेरे केछ कम दा नेई हा, लेकन ऊन तेरे ते मेरे दौनी दे मते कम दा ऐ।"
"PHM","1","12","बेछक अज उनेसिमुस गी आऊँ बड़ा प्यार करना, मगर आऊँ उसी तेरे कोल बापस पेजै करना ऐं।"
"PHM","1","13","उसी आऊँ अपने गै कोल रखना चांदा हा के ओ तेरी त्र्फुं एस कैद च जेड़ा शोभ समाचार दा कारन ऐ, मेरी सेवा करै।"
"PHM","1","14","लेकन मै तेरी मरजी बगैर केछ बी करना नेई चाया, के तेरी ए कृपा दबाब कन्नें नेई लेकन नन्द कन्नें उवै।"
"PHM","1","15","किके ओई सकै ओ तेरे थमां केछ देन आसतै इसै कारन लग्ग ओया के मेशा तेरे कोल रवै।"
"PHM","1","16","लेकन ऊन थमां दास आला लेखा नेई बरना दास थमां बी बद, मतलब मसीह च विश्वासी प्रा आला लेखा रवै, जेड़ा मेरा ते ख़ास प्यारा ऐ गै, लेकन ऊन जेंद च ते प्रभु च बी, तेरा बी ख़ास प्यारा उवै।"
"PHM","1","17","एस आसतै जेकर तू मीकी अपने कन्नें शामल समझना ऐं, तां ओस कन्नें एस चाली सलूक कर जियां मेरे कन्नें।"
"PHM","1","18","जेकर ओस ने तेरा केछ पैसे दा नुक्सान किते दा ऐ, जां ओस तेरा कर्जा देनां ऐ, ता उसी मेरे नां लिखी लै।"
"PHM","1","19","आऊँ पौलुस अपने अथ्थें कन्नें लिखे करना ऐं के आऊँ अप्पुं तुगी देई देगा; ते एस दे आखने दी कोई जरूरत नेइ के मेरा कर्जा जेड़ा मै तुगी देनां ऐ जेदे कारन तो प्रभु यीशु मसीह गी ग्रेण कित्ता ओ मत्ता ऐ।"
"PHM","1","20","ए मेरे विश्वासी प्रा, ए नन्द मिगी प्रभु च तेरे थमां मिलै, ते मसीह च मेरे कन्नें विश्वास ओईयै कम करियै मेरे इम्त गी बदायाँ।"
"PHM","1","21","आऊँ तेरे उक्म मननें उपर विश्वास रखियै तुगी लिखना ऐ, ते ए जाननां ऐं के जे केछ आऊँ आखना ऐं, तू ओस थमां केछ बद करगा।"
"PHM","1","22","ते ए बी, के मेरे आसतै अपने कार रुकने दी जगा त्यार रखयाँ। के मिगी आस ए के थूआड़ी प्रार्थना दे जवाब च मैं परमेसर थमां तुसेंगी परतियै देई दिता जाग।"
"PHM","1","23","इपफ्रास, जेड़ा मसीह यीशु दे नां दा प्रचार करने दी बजा कन्नें मेरे कन्नें कैदी ऐ।"
"PHM","1","24","ते मरकुस ते अरिस्तर्खुस ते देमास ते लुका जेडे मेरे कन्नें प्रभु दा कम करदे न, इंदा तुसेंगी नमश्कार।"
"PHM","1","25","मेरी प्रार्थना ए ऐ के साडे प्रभु यीशु मसीह दी क्रपा थूआड़ी आत्मा च ओंदा रवै। अमीन।"
