Book, Chapter, Verse, Text
"GAL","1","1-2","ऐह पत्री पौलुस जैडा यीशु मसीह रा प्रेरित हा, सबी विस्वासी भाई सोगी मिलीकरी गलातिया परदेस री कलीसिया जो लिखु करदा। मिन्जो ना ता मणु रै द्धारा अतै ना ही मणु रै अधिकारा रै द्धारा नियुक्त करू, बल्‍की यीशु मसीह अतै पिता प्रमात्मां री तरफा थऊँ चुणुरा हा जिनी यीशु जो मरूरै थऊँ जिन्दा करू।"
"GAL","1","3","अऊँ प्रार्थना करदा हा कि इन्दा पिता प्रमात्मां अतै प्रभु यीशु मसीह तुसिओ अनुग्रह अतै शान्ती देय्आ।"
"GAL","1","4","यीशुऐ इन्दै प्रमात्मैं अतै पिता री इच्छा रै मुताबक अपणै आपा जो इन्दै पापा तांई बलिदान करी दिता ताकि असिओ ऐस संसार रै मणु रै बुरै असर थऊँ छुड़ाई लेय्आ।"
"GAL","1","5","अऊँ ऐह प्रार्थना करदा कि मणु प्रमात्मैं री स्तुति सदा-सदा करदै रैहन। आमीन।"
"GAL","1","6","मिन्जो हैरानगी भुन्दी हा कि प्रमात्मैं तुसिओ मसीह रै जैस अनुग्रह सितै हैदुरा तैस थऊँ तुसै इतनी जल्दी फिरी करी होरी किस्‍मां रै सुसमाचार पुर विस्वास करना लगी पै हिन।"
"GAL","1","7","अक्क ही सचा सुसमाचार हा पर कुछ मणु मसीह रै ऐस सुसमाचार जो खत्म करना चाहन्दै हिन अतै तिन्ये तुसिओ उलझन मन्ज पाई दितुरा हा।"
"GAL","1","8","पर जे असु थऊँ या स्वर्गा थऊँ भी कोई स्वर्गदूत ऐस सुसमाचारा जो छड़ी करी जैडा अहै तुसु जो हणाऊरा हा, कोई होर शिक्षा देय्आ ता प्रमात्मां तैसिओ हराप देय्आ।"
"GAL","1","9","जिआं कि अहै पैहलै बल्ली चुकुरै हिन कि, तिन्या फिरी बल्‍दा, कि ऐस सुसमाचार जो छड़ी करी जैतिओ तुसै मनुरा हा, जे कोई होर शिक्षा हुणान्दा ता प्रमात्मां तैसिओ हराप देय्आ।"
"GAL","1","10","अऊँ मणु जो खुश ना करना चाहन्दा, पर प्रमात्मैं जो खुश करना चाहन्दा। अगर अऊँ हालि तिकर मणु जो ही खुश करदा रैहन्दा ता मसीह रा दास ना भुन्दा।"
"GAL","1","11","हे विस्वासी भाईओ अऊँ तुसु जो बताई दिन्दा कि जैडा सुसमाचार मैंई हणाऊरा सो मणु रै विचारा रै अनुसार निय्आ।"
