Book, Chapter, Verse, Text
"JUD","1","1","ऐह पत्री यहूदा री तरफ थऊँ हा जैडा यीशु मसीह रा सेवक अतै याकूब रा भाई हा। अऊँ तिन्या सबी जो लिखु करदा हा जिन्या जो पिता प्रमात्मैं हैदुरा जैड़ा तुसु सोगी प्रेम रखदा हा अतै यीशु मसीह री रखवाली मन्ज तुसिओ सम्भाळी रखदा हा।"
"JUD","1","2","अऊँ प्रार्थना करदा कि प्रमात्मां तुसिओ दया, शान्ती अतै प्रेम भरपुरी सोगी देय्आ।"
"JUD","1","3","हे विस्वासी भाईओ अऊँ उत्सुकता सोगी तुसिओ लिखणा चाहन्दा थू तैस उद्धार रै बारै मन्ज जैत मन्ज अहै सहभागी हिन। पर अबै मिन्जो लगु करदा कि अऊँ कुछ होर लिखीकरी तुसु सोगी विनती करूं कि तुहै तैस विस्वास री रक्षा करन जैड़ा प्रमात्मैं अपणै पवित्र मणु जो सदा जो दितुरा हा।"
"JUD","1","4","अऊँ ऐसा ठेरैतांये बल्लू करदा हा कि कुछ अधर्मी मणु चुप-चाप तुन्दी कलीसिया मन्ज चली छुरै हिन जैड़ै ऐह सखान्दै हिन कि प्रमात्मैं रा अदभुत अनुग्रह असिओ ऐह इजाजत दिन्दा हा कि अहै पापी जिन्दगी जी सकन। ऐसै मणु रै विनाश रै बारै मन्ज पैहलै थऊँ ही पवित्रग्रन्था मन्ज लिखुरा हा क्ओकि इन्यै इन्दै इकलोतै मालक अतै प्रभु यीशु मसीह रा इन्कार करूरा हा।"
"JUD","1","5","हालांकि तुसै ईयां गल्ला जो जाणी चुकुरै हिन फिरी भी अऊँ तुसु जो ईयां गल्ला री याद दोआणा चाहन्दा कि प्रमात्मैं इस्त्राएली मणु जो मिस्र देशा री गुलामी थऊँ छुड़ानै रै बाद प्रमात्मैं पुर विस्वास ना करनै बाळै रा नाश करी दिता।"
"JUD","1","6","अऊँ तुसिओ तिन्या स्वर्गदूता रै बारै मन्ज याद दुआंदा जैड़ै तैस अधिकार री सिमा मन्ज ना रैह जैड़ा प्रमात्मैं तिन्या जो दितुरा थू अतै तैहा जगह जो छड़ी दिता जैड़ी तंयारी अपणी थी। प्रमात्मैं तिन्या जो तैस महान अन्तिम न्याय रै दिन तक पक्कै तरीकै बनी करी अंधकार री जेला मन्ज रखुरा हा।"
"JUD","1","7","सदोम, अमोरा अतै तंयारै अखै-ब्रखा रै नगर जो मत भूलदै जैड़ै हर तरह री बुराई अतै व्यभिचार सोगी भरूरै थियै। इन्या नगरा रा अगी सोगी नाश करया गो, अतै प्रमात्मैं री न्याय री अनन्त अग असु तांये ऐह चेतावनी हा।"
"JUD","1","8","ऐस तरीकै ही अधर्मी मणु ऐह भी दावा करदै हिन कि प्रमात्मैं तिन्या जो दर्शना मन्ज बलुरा हा कि सो अपणै शरीरा जो अशुद्ध करी सकदै हिन पापी जिन्दगी जिणै रै द्धारा, अतै सो बलदै हिन कि तिन्या पुर कसी जो अधिकार रखणै री जरूरत निय्आ अतै सो महिमा सोगी भरूरै स्वर्गदूता जो भी भला बुरा बलदै हिन।"
"JUD","1","9","प्रधान स्वर्गदूत मिकाएल भी ऐसा ना करू जिन्या ऐह अधर्मी मणु करू। जैहणै शैतान स्वर्गदूत मीकाएल सोगी बैहंस करू करदा थू कि कस बलै अधिकार हा भविष्‍यवक्ता मूसा रै शरीरा जो दफनाणै तांये ठेरै बावजूद की मीकाएल बलै इन्या अधर्मी मणु थऊँ ज्यादा अधिकार हा फिरी भी तिनी शैतान जो अपमान भरी गल्ला ना बली तिनी सिर्फ ऐतना बल्लू कि, “प्रमात्मां ही तिजो झिड़का।”"
"JUD","1","10","पर ऐह अधर्मी मणु बुरी भाषा रा इस्तेमाल करदै हिन जिआं गल्ला जो ना समझी पान्दै तिन्या गल्ला जो भी बुरा बलदै हिन। सो जंगली जानवरा सांईये अतै कुछ सोचै समझै बिना ऐसै कम करदै हिन तिन्या जरूर प्रमात्मैं थऊँ दण्ड़ पाणा हा।"
"JUD","1","11","हाय हा तियां पुर! कि तिन्यै आदम रै पुत्र कैन सांईयै बुरा व्यवहार करू जिनी अपणै भाई जो मारी दितुरा थू। तिन्यै बिलाम सांईये जल्दी मन्ज सो ही गलती करी अतै मणु जो पैसा कमाणै तांये पाप करनै मन्ज अगुवाई करी। जिन्या कोरह नाश भूआ क्ओकि तिनी मूसा रै विरोध मन्ज विद्रोह करू, इन्या मणु रा भी ऐस तरीकै नाश भूणा हा क्ओकि ऐह प्रभु रै विरोध मन्ज विद्रोह करू करदै हिन।"
"JUD","1","12","जैहणै अहै प्रभु रै प्रेम जो याद करदै हिन ता ऐह मणु तुन्दी सोगी तुन्दै तिथा-त्यौहारा मन्ज खान्दै–पिन्दै हिन। ऐह मणु समुंद्र री गहराई मन्ज छिपुरै पहाड़ा सांईये हिन जैड़ै तुसिओ डुबाई सकदै हिन। ऐह तिन्या वेशर्म पाहला सांईये हिन जैड़ै होरी री ना पर अपणी ही सोचदै हिन। ऐह अम्बरा मन्ज तिन्या बदळा सांईये हिन जैड़ै कोई बरखा ना दिन्दै। ऐह पतझड़ रित रै तिन्या रूखा सांईयै हिन जैड़ै दूनी तरह सितै मरूरै हिन क्ओकि सो फलदै ना हिन अतै जड़ा थऊँ भी पुटी गच्छुरै हिन।"
"JUD","1","13","ऐह समुंद्र री तिन्या डरोणी लैहरा सांईयै हिन जैड़ी गन्दै झाग जो पैदा करदी हिन तिन्या ही ऐह मणु भी शर्मनाक कमा जो करदै हिन। ऐह तिन्या तारै सांईये हिन जैड़ै सिधै रस्तै पुर ना चलदै अतै ना ही कसी जो सही रस्ता दसी पान्दै, प्रभु अंधकार भरूरी ऐसी जगह इन्या मणु तांये रैहणै जो तैयार करूरी हा जैड़ी तिन्या सदा तांये रैहणा हा।"
"JUD","1","14","हनोक जैडा कि आदम री सतवीं पीढ़ी रा थू, तिनी इन्या अधर्मी मणु रै बारै मन्ज भविष्‍यवाणी करूरी थी तिनी बल्लू, “प्रभु अक्क दिन अपणै अणगिनत पवित्र स्वर्गदूता सोगी जरूर इणा।"
"JUD","1","15","ताकि सो सबी मणु रा न्याय करा, अतै तिन्या अधर्मी मणु जो दोषी ठहरा जिन्यै सब बुरै अतै पापी कमा जो करूरा थू अतै जिन्यै प्रमात्मैं रै बारै मन्ज अपमान भरी गल्ला बलुरी थी।”"
