Book, Chapter, Verse, Text
"MAT","1","1","अब्राहम के वंशज, दाऊद के वंशज, यीशु मसीह की पीढ़ी इस तरियां सै।"
"MAT","1","2","अब्राहम का बेट्टा इसहाक था, अर इसहाक का बेट्टा याकूब था, फेर याकूब तै यहूदा अर उसके भाई का जन्म होया।"
"MAT","1","3","यहूदा के बेट्टे फिरिस अर जोरह थे। (फिरिस अर जोरह की माँ का नाम तामार था।) फिरिस का बेट्टा हिस्त्रोन था। हिस्त्रोन का बेट्टा एराम था,"
"MAT","1","4","एराम का बेट्टा अम्मीनादाब था। अम्मीनादाब तै नहशोन, अर नहशोन तै सलमोन का जन्म होया,"
"MAT","1","5","सलमोन का बेट्टा बोआज था। (बोआज की माँ का नाम राहाब था।) बोआज अर रुत तै ओबेद का जन्म होया, अर ओबेद का बेट्टा यिशै था।"
"MAT","1","6","अर यिशै का बेट्टा राजा दाऊद था। (राजा सुलैमान दाऊद का बेट्टा था।) जो उस बिरबान्नी तै जन्मा था जो पैहले उरिय्याह की घरआळी थी,"
"MAT","1","7","सुलैमान का बेट्टा रहबाम था। अर रहबाम का बेट्टा अबिय्याह था। अर अबिय्याह तै आसा का जन्म होया।"
"MAT","1","8","आसा का बेट्टा यहोशाफात था। फेर यहोशाफात तै योराम अर योराम तै उज्जियाह का जन्म होया।"
"MAT","1","9","उज्जियाह का बेट्टा योताम था अर योताम, आहाज का। फेर आहाज तै हिजकिय्याह का जन्म होया।"
"MAT","1","10","हिजकिय्याह तै मनश्शिह का जन्म होया। मनश्शिह का बेट्टा आमोन था, अर आमोन तै योशिय्याह का जन्म होया।।"
"MAT","1","11","फेर इस्राएल के माणसां नै कैदी बणाकै बेबीलोन देश ले जाण तै पैहले योशिय्याह तै यकुन्याह, अर उसके भाई का जन्म होया।"
"MAT","1","12","बेबीलोन देश म्ह जाए पाच्छै यकुन्याह का बेट्टा शालतिएल था। फेर शालतिएल तै जरुब्बाबिल का जन्म होया।"
"MAT","1","13","जरुब्बाबिल तै अबीहूद का जन्म होया, अबीहूद एलयाकीम का अर एलयाकीम का बेट्टा अजोर था।"
"MAT","1","14","अजोर का बेट्टा सदोक था। सदोक तै अखीम अर अखीम तै इलीहूद का जन्म होया।"
"MAT","1","15","इलीहूद का बेट्टा इलियाजार था। अर इलियाजार मत्तान का। मत्तान का बेट्टा याकूब था।"
"MAT","1","16","अर याकूब तै यूसुफ का जन्म होया, जो मरियम का धणी था। अर मरियम तै यीशु जो मसीह कुह्वावै सै, पैदा होया।"
"MAT","1","17","इस तरियां अब्राहम तै दाऊद तक चौदहा पीढ़ी होई, अर दाऊद तै लेकै इस्राएलियाँ नै कैदी बणाकै बेबीलोन देश भेजे जाण तक चौदहा पीढ़ी, अर इस्राएलियाँ कैदी बणाकै बेबीलोन देश म्ह भेजे जाणकै बखत तै मसीह तक चौदहा पीढ़ी और होई।"
"MAT","1","18","यीशु मसीह का जन्म इस तरियां होया, कै जिब उसकी माँ मरियम कि सगाई यूसुफ कै गैल होग्यी, तो उनका ब्याह होण तै पैहल्याए बेरा पाट्या के वा पवित्र आत्मा की शक्ति तै गर्भवती सै।"
"MAT","1","19","पर उसका धणी यूसुफ जो एक धर्मी माणस था, उसनै बदनाम न्ही करणा चाहवै था, इस खात्तर उस ताहीं चुपके तै छोड़ण का बिचार करया।"
"MAT","1","20","जिब वो इन बात्तां नै सोचै ए था तो परमेसवर का सुर्गदूत उसनै सपनै म्ह आकै कहण लाग्या, “हे यूसुफ! दाऊद के वंशज, तू अपणी घरआळी मरियम नै अपणे उरै ल्याण तै ना डरै, क्यूँके जो उसकी कोख म्ह सै, वो पवित्र आत्मा की ओड़ तै सै।"
