Book, Chapter, Verse, Text
"JAS","1","1","मै याकूब, परमेसवर अर प्रभु यीशु मसीह का दास सूं, मेरी ओड़ तै थम सारा नै मेरा नमस्कार। मै या चिट्ठी इस्राएल के उन यहूदी मसीह बिश्वासियाँ नै लिखूँ सूं, जिनके बाराह गोत्र सारी दुनिया म्ह तित्तर-बित्तर होकै रहण लागरे सै।"
"JAS","1","2","हे मेरै बिश्वासी भाईयो, जिब थम कई ढाळ की मुसीबतां का सामना करो सो, तो इसनै पुरै आनन्द की बात समझो,"
"JAS","1","3","क्यूँके थम जाणो सों, के थारै बिश्वास कै परखे जाण तै धीरज बढ़ै सै।"
"JAS","1","4","हरेक बात म्ह धीरज धरणा सीखों, ताके थम आत्मिकता म्ह पूरे सिध्द हो जाओ, अर थारै म्ह किसे बात की कमी न्ही रहवै।"
"JAS","1","5","पर थारै म्ह तै जै किसे नै बुद्धि की कमी सै, तो परमेसवर तै माँगै, जो बिना उल्हाणा दिये, सारया नै बड़ी उदारता तै देवै सै, अर उस ताहीं दी जावैगी।"
"JAS","1","6","पर वो बिना शंका के बिश्वास तै माँगै, अर कुछ शक ना करै, क्यूँके शक करण आळा माणस टिक्या न्ही रहता जो समुन्दर की उस लैहर की तरियां सै जो हवा के चाल्लण तै उच्छळै सै।"
"JAS","1","7","शक करण आळा माणस या बात बिल्कुल ना सोचै, कै उसनै प्रभु तै कुछ मिलैगा,"
"JAS","1","8","वो माणस दोगला सै अर अपणी किसे बात म्ह टिकता कोनी।"
"JAS","1","9","जो बिश्वासी भाई गरीब सै, उननै खुश होणा चाहिए, क्यूँके परमेसवर उनकी इज्जत करै सै,"
"JAS","1","10","अर धनवान अपणे ऊँच्चे पद पै घमण्ड ना करै, क्यूँके वो घास कै फूल की ढाळ सूख जावैगा।"
