Book, Chapter, Verse, Text
"1PE","1","1","या चिट्ठी पतरस की ओड़ तै सै, जो यीशु मसीह का प्रेरित सै, मै या चिट्ठी परमेसवर के चुणे होए माणसां कै खात्तर लिखण लागरया सूं, जो परदेशी होकै पुन्तुस, गलातिया, कप्पदूकिया, आसिया अर बिथुनिया परदेसां म्ह तित्तर-बित्तर होकै रहवै सै।"
"1PE","1","2","परमेसवर पिता नै थारे ताहीं आपणे माणस बनाण खात्तर, भोत पैहले चुण लिया था, ताके थमनै पवित्र आत्मा के काम के जरिये पवित्र बणावै, यो उसनै इस खात्तर करया ताके थम यीशु मसीह का कहणा मान्नो, अर उसके लहू तै शुद्ध हो जाओ। हम प्रार्थना करा सां के परमेसवर थमनै अनुग्रह अर शान्ति भोत-ए घणी दे।"
"1PE","1","3","म्हारे मसीह यीशु के पिता अर परमेसवर का धन्यवाद हो, जिसनै म्हारे पै बड़ी दया करकै म्हारे ताहीं नई जिन्दगी दी सै, क्यूँके परमेसवर नै यीशु मसीह ताहीं मुर्दां म्ह तै जिन्दा करया, उसनै म्हारे ताहीं बड़े बिश्वास कै साथ जीण कै लायक बणाया, ताके हम उन चिज्जां की आस राक्खां जिसका देण का उसनै वादा करया सै।"
"1PE","1","4","हम उस वसियत नै जो परमेसवर नै म्हारे खात्तर तैयार करी सै, उस ताहीं लेण की हम बाट देक्खां सां, उसनै म्हारे खात्तर उस ताहीं सुर्ग म्ह राख्या सै, जित्त वा कदे गळ न्ही सकदी, खराब न्ही हो सकदी, अर नाश न्ही हो सकदी।"
"1PE","1","5","परमेसवर नै आपणी महान शक्ति तै थारे ताहीं सम्भाळ कै राख्या सै, क्यूँके थम मसीह पै बिश्वास करो सों, जिस दिन मसीह बोहड़ कै आवैगा, उस दिन तक मसीह थमनै सम्भाळ कै राक्खैगा, फेर थम जाणोगे के परमेसवर नै थारे ताहीं पाप अर मौत तै बचा के राख्या सै।"
"1PE","1","6","थमनै इन सारी बात्तां तै खुश होणा चाहिए भलाए थम कुछ बखत खात्तर कई ढाळ की मुसीबतां के कारण दुखी सो।"
"1PE","1","7","ये मुसीबत इस्से खात्तर आवै सै, ताके देख्या जा सकै, के परमेसवर पै थारा पक्का बिश्वास सै के न्ही। थारा मसीह यीशु पै बिश्वास करणा सोन्ने तै भी घणा कीमती सै, जिस तरियां नाशवान सोन्ना आग म्ह परख्या अर शुध्द करया जावै सै, उस्से तरियां जै थारा बिश्वास घणी मुसीबतां म्ह भी बण्या रहवै सै, तो जिब प्रभु यीशु मसीह बोहड़ के आवैगें तो थारे ताहीं बड़ाई महिमा अर आदर मिलैगा।"
"1PE","1","8","थमनै मसीह ताहीं कदे न्ही देख्या, उसतै थम बिन देक्खे प्यार करो सो, अर इब तो उसपै बिन देक्खे भी बिश्वास करकै इसे राज्जी अर मग्न होवो सो, जिस ताहीं बताण खात्तर म्हारे धोरै शब्द कोनी।"
"1PE","1","9","थम इस खात्तर खुश सों, क्यूँके परमेसवर नै थारे ताहीं पाप की सजा तै बचा लिया सै, अर योए मसीह पै बिश्वास करण का ईनाम सै।"
"1PE","1","10","इस्से उद्धार कै बारै म्ह उन नबियाँ नै घणी खोज अर जाँच-पड़ताळ करी, जिननै उस अनुग्रह कै बारै म्ह, जो थारै पै होण आळा था, भविष्यवाणी करी थी।"
"1PE","1","11","मसीह का आत्मा जो उन म्ह था अर उन ताहीं बताण लागरया था, के मसीह किसा दुख ठावैगा अर उसकै पाच्छै उस बारे म्ह उस ताहीं महिमा मिलैगी, इस कारण उननै यो बेरा पाड़ण खात्तर उसकी खोज करी, मसीह कौण होवैगा, अर यो कद होवैगा।"
"1PE","1","12","पर परमेसवर नै इन नबियाँ ताहीं बताया था, के यो सन्देस उन खात्तर न्ही बल्के थारे खात्तर सै, यो सन्देस मसीह यीशु के बारें म्ह खुशखबरी सै, जिसके बारें म्ह थम इब सुणो सों। परमेसवर नै सुर्ग तै पवित्र आत्मा ताहीं भेज्या ताके वो माणसां नै सुसमाचार सुणाण म्ह मदद कर सकै, यो इतणा अदभुत सै, के सुर्गदूत भी इन चिज्जां नै होंदे होए देखणा चाहवै सै।"
"1PE","1","13","इस खात्तर गोर तै सोच्चों के थम के करण आळे सों, अर अपणे आप पै काब्बू राक्खों अर परमेसवर तै उद्धार पाण का भरोस्सा राक्खों जो अनुग्रह तै मिलै सै, अर वो थमनै जिब देवैगा जिब मसीह यीशु सुर्ग तै बोहड़ कै आवैगा।"
"1PE","1","14","परमेसवर के आज्ञाकारी बणो जिस तरियां अच्छे बाळक अपणे पिता का हुकम मान्नै सै, अर पुराणी जिन्दगी के मुताबिक मत जिओ, जिब थम बुरी लालसा नै पूरी करो थे।"
