Book, Chapter, Verse, Text
"JUD","1","1","मैं यहूदा जेह्ड़ा यीशु मसीह दा दास कने याकूबे दा लोक्का भाऊ ऐ, मैं एह़ चिठ्ठी तिन्हां लोकां दे नांऐ पर लिखा दा ऐ, जेह्ड़े परमात्मे दे जरिये तिस च बसुआस करणे तांई सद्देयो हन। अहां दा पिता परमात्मा तुहां नैं प्यार करदा ऐ कने यीशु मसीह दे जरिये तुहां जो बचांदा ऐ।"
"JUD","1","2","मैं प्रार्थना करदा ऐ, कि तुहां जो परमात्मे ते मती सारी दया, सांति कने प्यार मिलदा रैंह्।"
"JUD","1","3","हे मेरे प्यारे साथी बसुआसियो, हलांकि मैं परमात्मे दे उद्धारे दे बारे च बड़ी मेहनत करी नैं तुहां जो लिखा दा था, जिस च अहां सारे साझी हन, मैं तुहां जो एह़ लिखणे तांई मजबूर होएया, कि तुहां जो सच्चाईया दी लड़ाई लड़णे तांई हौंसला देई सकैं। परमात्मैं अपणे लोकां जो एह़ सच्चाई इक्क ई बरी देई दित्तियो, जेह्ड़ी कदी नीं बदलदी।"
"JUD","1","4","मैं तिज्जो एह़ लिखा दा ऐ कि कुच्छ झूठे सिक्षक अहां सौगी मिल्ली गियो हन, जिन्हां दे बारे च परमात्मे बड़ी पैहल्ले ते ई पवित्रशास्त्रे च ग्लाई दित्या था, कि सैह़ तिन्हां जो सज़ा दिंगा। तिन्हां परमात्मे दे प्यारे दे सुसमाचारे जो कने अनुग्रह जो बगाड़ी करी नाजायज रिस्तेयां दे कम्मां च बदली दित्या ऐ। सैह़ यीशु मसीह दा भी इन्कार करदे हन, जेह्ड़ा अहां दा इक्को ई मालक कने प्रभु ऐ।"
"JUD","1","5","हलांकि तुहां जो पैहल्ले ते ई पता ऐ, अपर फिरी भी मैं तुहां जो याद करवाणा चांह़दा ऐ कि प्रभुयैं इस्राएली लोकां जो मिस्र देसे दिया गुलामिया ते छड्डाया था। अपर बादे च जिन्हां तिस पर बसुआस नीं कित्ता, तिन्हां दा तिन्नी नास करी दित्ता।"
"JUD","1","6","तुहां जो तिन्हां सुअर्गदूतां दे बारे च भी सोचणा चाइदा, जेह्ड़े अपणिया पदविया ते खुस नीं थे, जेह्ड़ी परमात्मे तिन्हां जो दित्तियो थी, अपर तिसदे बजाये तिन्हां अपणिया पदविया जो छड्डी दित्ता, परमात्मे तिन्हां सुअर्गदूतां जो न्याय दे ओणे आल़े दिने तिकर संगल़ां नैं बन्नी करी नेहरे च रखेया ऐ।"
"JUD","1","7","तिंआं ई सदोम कने अमोरा कने तिन्हां दे अक्खै-बक्खे दे सैहरां जो याद करा, जित्थु दे लोक पापी कने ब्यभिचारी बणी गियो थे, सैह़ अपणियां लाड़ियां जो छड्डी करी दूईआं जणासां पचांह़ चली पैयो थे, इसतांई परमात्मैं तिन्हां जो अग्गी नैं नास करी दित्ता। एह़ जेह्ड़ा तिन्हां सौगी होएया सैह़ तिन्हां झूठे सिक्षकां तांई चतौणी बणी गेई, कि सैह़ भी सदा दी अग्गी दे जरिये नास कित्ते जांगे।"
"JUD","1","8","इन्हां उदारणा जो जाणने दे बावजूद भी झूठे सिक्षक एह़ दावा करदे हन, कि परमात्मैं तिन्हां जो सुपणे च एह़ दस्सेया कि सैह़ पाप करी नैं अपणे सरीरां जो भरष्ठ करदे हन, कने प्रभु दे अधिकारां जो नीं मनदे हन, कने सुअर्गदूतां दी निंदा करदे हन।"
"JUD","1","9","अपर प्रधान सुअर्गदूत मीकाईलें तिन्हां झूठे सिक्षकां साइआं नीं कित्ता, क्जोकि जाह़लू तिन्नी सैताने सौगी बैंह्सबाजी करी नैं मूसा भविष्यवक्ता दिया लाह्सा जो लैणे तांई तिसियो चुनौती दित्ती, तां तिन्नी सुअर्गदूतैं अपणे अधिकारे दा इस्तेमाल करी नैं सैताने दी निंदा नीं कित्ती, अपर एह़ ग्लाया, “प्रभु ई तिज्जो झिड़कैं।”"
"JUD","1","10","अपर एह़ लोक जिन्हां गल्लां जो नीं समझदे, तिन्हां दे खलाफ बुरा भला ग्लांदे हन, कने जिन्हां गल्लां जो सैह़ समझदे हन, तिन्हां जो बगैर सोचे समझे जंगली जानवरां साइआं करदे हन, परमात्मा तिन्हां जो सज़ा दिंगा।"
"JUD","1","11","तिन्हां लोकां पर हाय। क्जोकि तिन्हां दा बर्ताब आदमे दे जागते केने साइआं बुरा ऐ, धन-दौलता दे लालचे तांई तिन्हां सैई गलती कित्ती, जेह्ड़ी बिलामे कित्तियो थी। कने तिन्हां परमात्मे दे खलाफ भी बगावत कित्ती जिंआं कोरेह कित्तियो थी, इसा बज़ाह ते परमात्मा तिन्हां जो सज़ा दिंगा।"
"JUD","1","12","जाह़लू एह़ लोक तुहां दियां खास सभां च तुहां सौगी खांदे पींदे हन, तां इआं लगदा ऐ कि सैह़ समुंदरे थल्लैं नीं दुस्सणे आल़े खतरनाक सप्पड़ां साइआं हन, जेह्ड़े तुहां दे डुबणे दी बज़ाह बणी सकदे हन। सैह़ तिन्हां बेसर्म गुआले साइआं हन, जेह्ड़े सिर्फ अपणी देखभाल करदे हन। सैह़ तिन्हां बदल़ा साइआं हन, जेह्ड़े दुस्सदे तां हन, अपर बरदे नीं। कने एह़ तिन्हां रूखां साइआं हन, जेह्ड़े पतझड़े दे मौसमे च दो बरी मरी गियो हन, क्जोकि ना सैह़ फल़दे हन, कने जड़ां ते पटौई गियो हन।"
"JUD","1","13","तिन्हां दे सर्मनाक कम्म समुंदरी लैहरां दे गंदे झाग्गे साइआं हन। सैह़ भटकणे आल़े तारेयां साइआं हन, जिन्हां जो तिन्हां देयां पापां तांई हमेसा तिकर नरके दे नेहरे रखेया ऐ।"
