Book, Chapter, Verse, Text
"2PE","1","1","हुंह शमौन पतरस ज़ुंण मसीहो टैहलू और शधाणूं आसा, हुंह लिखा ऐहा च़िठी तम्हां सोभी लै ज़ुंण तेऊ किम्मती विश्वासा दी साझ़ डाहा ज़ुंण विश्वास हाम्हां लै ईशू मसीहा आसा दैनअ द, ज़ुंण म्हारअ परमेशर और उद्धार करनै आल़अ आसा और ज़ुंण हाम्हां परमेशरा संघै धर्मीं बणांआ।"
"2PE","1","2","हुंह करा परमेशरा का एही प्राथणां कि सह तम्हां लै होर बी खास्सअ जश और शांती दैए, किल्हैकि तम्हां का आसा परमेशरो और मसीहा ईशूओ ज्ञैन ज़ुंण म्हारअ प्रभू आसा।"
"2PE","1","3","परमेशरै दैनी हाम्हां लै आपणीं शगती करै तिंयां सोभै गल्ला ज़ेते हाम्हां धर्मीं ज़िन्दगी ज़िऊंणां लै ज़रुरत ती। इहअ सका हई किल्हैकि हाम्हां का आसा परमेशरो थोघ और अह आसा सह ई ज़ुंणी हाम्हैं आपणीं महिमां और भलाई दी साझ़ू हणां लै आसा शादै दै।"
"2PE","1","4","ऐहा ई महिमां और भलाई करै दैनी परमेशरै हाम्हां लै बडी महान और किम्मती च़िज़ा। ईंयां आसा तिंयां करारा ज़ेता करै तम्हैं संसारे मणछे बूरी च़ाहा का दूर रहा ज़ुंण तिंयां लोग च़ाहा करनअ और तम्हैं हआ परमेशरे भलै सभाबा दी साझ़ू।"
"2PE","1","5","किल्हैकि तम्हैं आसा परमेशरे भलै सभाबा दी साझ़ू, तै निं तम्हैं सिधै मसीहा दी विश्वास करनै आल़ै बणां, तम्हां लागा हर बगत होरी लै भलै करने खास्सी कोशिश करनी। तेखअ निं तम्हैं सिधै भलै करनै आल़ै लोल़ी रहै, तम्हां लोल़ी होरी लै बभारा करने समझ़ बी हुई।"
"2PE","1","6","इहअ निं कि तम्हैं बणैं सिधी बभारा करने समझ़ डाहणैं आल़ै, तम्हां लागा आप्पू बी काबू दी रहणअ ताकि तम्हैं तेही बूरी गल्ला नां करे ज़ेता तम्हैं करनअ च़ाहा। तम्हैं निं सिधै आप्पू काबू करनै आल़ै रही, तम्हां लागा दुखा दी सबर बी करनअ। तम्हैं सिधै सबर डाहणैं आल़ै बी निं लोल़ी रहै, तम्हां लागा तेही ज़िन्दगी बी ज़िऊंणीं ज़ेता करै परमेशर खुश हआ।"
"2PE","1","7","तम्हैं निं सिधै एऊ साबै ज़िऊई ज़ेता करै परमेशर खुश हआ, तम्हां लागा एकी दुजै संघै आपणैं टबरा ज़ेही झ़ूरी बी करनी।"
"2PE","1","8","ज़ै तम्हां दी ईंयां सोभै गल्ला होए और बझ़दी लागी रहे, इना करनी थारी कामों मणछ और तम्हां म्हारै प्रभू ईशूए ज्ञैना दी फल़णां-फूलणां लै मज़त।"
"2PE","1","9","पर ज़ै कहा मणछा दी ईंयां सोभै गल्ला नांईं होए, सह आसा इहअ मणछ ज़हा का राम्बल़ै करै शुझदअ निं आथी और सह आसा कांणअ। सह गअ बिसरूई कि परमेशरै हेरै तेऊए पाप माफ करी ज़ुंण तेऊ मसीहा ईशू दी विश्वास करनै का पैहलै किऐ तै।"
"2PE","1","10","तैहीता, भाईओ, एता का बी करा बधिया बभार डाहणें कोशिश ताकि तम्हां का और होरी लोगा का बी शुझिए कि परमेशरै आसा तम्हैं आपणैं खास लोग हणां लै शादै दै। ज़ै तम्हैं इहअ करे ता तम्हैं निं विश्वासा का कधि दूर हई सकदै,"
"2PE","1","11","और परमेशरा बी करनअ थारअ तेऊ राज़ा दी बडअ सुआगत ज़िधी ईशू मसीहा सदा-सदा लै राज़अ हणअ, ज़ुंण म्हारअ प्रभू और उद्धार करनै आल़अ आसा।"
"2PE","1","12","एही ता आसा तम्हां का इना गल्लो थोघ और ज़ुंण तम्हां का मसीहे बारै शुची शिक्षा खोज़ी दी आसा, तिंयां तम्हैं पाक्की बी आसा ढाकी डाही दी, पर तज़ी बी रहणअ मुंह एते बारै तम्हां का आद फरेऊंदै लागी।"
"2PE","1","13","हुंह समझ़ा एसा गल्ला आप्पू लै ठीक कि ज़ेभै तैणीं हुंह ज़िऊंदअ आसा, तेभै तैणीं रहणअ मुंह तम्हां का इना गल्ला आद फरेऊंदै लागी ताकि तम्हैं इना गल्ला बिसरी निं पाए।"
"2PE","1","14","किल्हैकि मुखा आसा थोघ कि मेरी मौत हणीं ऐबै छ़ेकै किल्हैकि प्रभू ईशू हेरी अह गल्ल मुखा प्रगट करी।"
"2PE","1","15","तै आसा मेरी एही कोशिश कि हुंह इना गल्ला तम्हां लै लिखूं, ताकि तम्हैं मेरै मरनै का बाद बी सदा आद करी सके।"
"2PE","1","16","किल्हैकि ज़धू हाम्हैं शधाणूं प्रभू ईशू मसीहे फिरी एछणें शगतीए बारै समाद खोज़अ, ता हाम्हैं निं तम्हां का आपणीं बाखा बणांईं दी कथैया च़ोपल़ लाई खोज़ी आथी। पर हाम्हैं भाल़अ आपणीं आछी मसीहो प्रतप।"
"2PE","1","17-18","हाम्हैं तै मसीहा संघै पबित्र धारा दी, ज़िधी तेऊ लै बाप्पू परमेशरै अदर दैनअ और परमेशरो महान झ़ामण त तेऊ फेर लागअ द। तैहा ई घल़ी शूणअ हाम्हैं स्वर्गा का इहै बोल, बडी महिमां ती तेऊ लै इहअ बोलदी लागी दी, “अह आसा मेरअ शोहरू ज़हा लै हुंह सोभी का खास्सअ झ़ूरा और हुंह आसा एऊए हर गल्ला दी खुश।” ()"
"2PE","1","19","हाम्हां का आसा इहअ बी थोघ कि ज़ुंण गल्ला परमेशरे कई गूरै मसीहे बारै आसा लिखी दी तिंयां आसा शुची, और तिंयां करा एसा गल्ला बी पाक्की ज़ुंण हाम्हैं तम्हां का तेऊए फिरी एछणें बारै खोज़अ। तम्हैं शूणैं तिन्नां बैणा राम्बल़ै करै, किल्हैकि ज़िहअ लोगा न्हैरै दी हांढणा लै लाटूए प्रैशै करै मज़त भेटा, तिहअ ई लागणअ तम्हां का इना बैणा करै थोघ कि सत्त किज़ै आसा। तम्हैं रहै इना गल्ला राम्बल़ै करै शूणैं लागी ज़ेभै तैणीं म्हारअ प्रभू ईशू फिरी निं एछे। तेभै भैणीं राच और मसीहो प्रैशअ च़मकणअ थारै दिलै। ज़िहअ भैणूं तारअ राच भैणै का पैहलै च़मका।"
"2PE","1","20","पर अह आसा ज़रूरी कि तम्हैं लआ एसा गल्ला समझ़ी कि परमेशरे गूरै बोलै दै बैण तम्हैं पबित्र शास्त्रा दी पहल़ा तिंयां गल्ला आसा तिन्नां का परमेशरै आप्पै प्रगट की दी। कोहै निं आप्पै तेतो मतलब समझ़ी सकदअ।"
"2PE","1","21","किल्हैकि परमेशरे कोही गूरै निं किछ़ै गल्ला आपणैं साबै या कसा होरीए बोलै बोली। पर पबित्र आत्मां करा ती तिन्नां आपणैं काबू और तिंयां करा तै तिन्नां ई गल्ला प्रगट ज़ुंण परमेशर च़ाहा त प्रगट करनअ।"
"2PE","2","1","ज़िहै खास्सी साला पैहलै झ़ुठै गूर निखल़ै तै, तिहै ई निखल़णैं झ़ुठी शिक्षा दैणैं आल़ै तम्हां मांझ़ै। तिन्नां पाणै लोग झ़ुठी शिक्षा करै मसीहा दी विश्वास करनै का कबाता। तिन्नां झ़ुठी शिक्षा दैणैं आल़ै निं ईशू मसीहा आपणअ मालक मंदै ज़ुंणी तिंयां पापे शगती का आज़ाद किऐ। इहअ करै हणैं तिंयां आप्पू ई नभैऊशै बरैबाद।"
"2PE","2","2","कई ज़ुंण ईशू मसीहा दी विश्वास करनैओ दखाअ करा। तिन्नां बी करनी कंज़री बाते नकल ज़िहअ तिन्नां झ़ुठी शिक्षा दैणैं आल़ैओ बभार आसा। होर लोग ज़ुंण विश्वासी निं आथी तिन्नां बोल़णअ शुचै साबै ज़िऊंणां लै बी बूरअ। ()"
"2PE","2","3","ईंयां गूरू हणैं लाल़च़ी, तिन्नां पाणै तम्हैं आपणीं बणांईं दी कथैया खोज़ी कबाता ताकि तम्हां का तिन्नां ढबै भेटे। परमेशरै आसा खास्सी साला पैहलै हेरअ द इने बारै सोठी कि तेऊ दैणीं इना लै सज़ा और सह आसा एता करना लै तैर। तेऊ करनै पाक्कै दी तिंयां बरैबाद।"
"2PE","2","4","किल्हैकि, ज़ै परमेशरै तिंयां स्वर्ग दूत निं छ़ाडै ज़ुंण तिन्नां लै दैनी दी पदबी करै खुश नांईं तै आथी, और स्वर्गो आपणअ घर छ़ाडअ; तिंयां स्वर्ग दूत आसा परमेशरै न्हैरी ज़ैगा एही शांघल़ी करै डाहै दै बान्हीं ज़ेता कोहै निं चोल़ी सकदअ। ताकि तेसा महान धैल़ी तिन्नों न्याय होए।"
"2PE","2","5","तम्हां का आसा इहअ बी थोघ कि ज़धू तिंयां लोग ज़ुंण खास्सी साला पैहलै रहा तै, तिन्नां निं परमेशरे डौर रही ती। परमेशरै निं तिन्नें बूरै काम भाल़ै नां भाल़ै किऐ ज़ुंण तिंयां करदै तै लागै दै। पर तेऊ दैनी सारी पृथूई दी पाणीं करै प्रल़या करी तिन्नां लै सज़ा और तिंयां सोभै डुबै तेथ। पर तेऊ बच़ाऊऐ आठ लोग ज़ेथ नूह बी त ज़ुंणी परमेशरा संघै धर्मीं हणैंओ प्रच़ार किअ त। ()"
"2PE","2","6","तम्हां का इहअ बी आसा थोघ कि ज़ुंण सदोम और अमोरा नगरी और तेता नेल़ होरी नगरी रहा तै। तिंयां लोग तै हर रंगे कंज़रैई करै भर्हुऐ दै। ता परमेशरै ज़ाल़ै तिंयां आगी करै पठी ज़ेभै तैणीं छ़ार निं बणअ। तिंयां बणांऐं तेऊ तिन्नां लोगा लै चतैनगी कि तिन्नां लोगा लै किज़ै हणअ ज़ुंण परमेशरो हुकम नांईं मना। ()"
"2PE","2","7","पर सदोम नगरी बरैबाद करनै का पैहलै बोलअ लूता लै ज़ुंण धर्मीं त, कि एसा नगरी का डेऊ दूर और इहअ करै बच़ाऊअ तेऊ सह। किल्हैकि सदोम नगरीए लोगै निं परमेशरे साबै ज़िन्दगी ज़िऊई और तिन्नें किऐ छ़ोतलै काम। ()"
"2PE","2","8","लूत त धर्मीं मणछ, पर सह रहा त तिन्नां बूरै लोगा जैंदरी धैल़, तेऊओ भलअ दिल हआ त तिन्नां बूरी गल्ला भाल़ी और शूणीं करै दुखी।"
"2PE","2","9","ईंयां सोभै गल्ला की परमेशरै पैहलै जुगै हाम्हां का एसा गल्ला रहैऊंणा लै कि। परमेशरा करनी पाक्कै दी तिन्नां लोगे रखबाली ज़ुंण धर्मीं ज़िन्दगी ज़िऊआ।"
"2PE","2","10","परमेशरा दैणीं सोभी बूरै लोगा लै सज़ा पर तेऊ दैणीं खासकर तिन्नां लै सज़ा ज़ुंण हर बारी तिहै कंज़रै काम करा ज़िहअ तिन्नों दिल च़ाहा, ज़ुंण इहअ निं च़ाहंदै कि प्रभू बी तिन्नां प्रैंदै हक डाहे और ज़ुंण हठू और घमंडी आसा। तिंयां बोला स्वर्गे महान स्वर्ग दूता लै बी नथोघी बूरी गल्ला।"
"2PE","2","11","एही ता आसा स्वर्ग दूत तिन्नां दखाअ करनै आल़ै झ़ुठै गूरू का खास्सै बला आल़ै पर तज़ी बी निं तिंयां परमेशरा सम्हनै तिन्नां लै बूरअ बोलदै और नां दोश लांदै।"
"2PE","2","12","ईंयां झ़ुठै गूरू करा बणें पशू ज़िहअ बभार ज़ुंण तिहअ करा ज़िहअ तिन्नें देही च़ाहा और ज़ुंण पैईदा ई आसा एते तैणीं हुऐ दै कि तिंयां लोगा ढाके और मारी पाए। ज़ुंण गल्ला इना समझ़ निं एछदी तेता लै दैआ ईंयां गाल़ी। परमेशरा करनै ईंयां तिहै बरैबाद ज़िहै लोग बणें पशू मारा।"
"2PE","2","13","ज़ुंण तिन्नैं ज़ुल्म किऐ तेता लै आसा तिन्नों बरैबाद हणअ ई तिन्नों नांम। तिंयां च़ाहा धैल़ी दपहरै कंज़रैई करनी। तिंयां आसा तम्हां मांझ़ै दोश और दाग। तिंयां रहा तम्हां संघै भोज़ खाई करै बी धोखै दैणा लै खुश।"
"2PE","2","14","तिंयां च़ाहा हर बेटल़ी संघै कंझ़रनअ ज़ुंण बी तिन्नां का शुझिआ। तिंयां हआ हर बगत इहै पाप करने मोक्कै लोल़ै लागै दै। तिंयां पाआ तेऊ मणछा कबाता ज़ुंण मसीहा दी पाक्कअ विश्वास निं करदअ और तिंयां कराऊआ तिन्नां का बी पाप। तिन्नों लाल़च़ निं कधि खतम हंदअ, परमेशरा दैणीं तिन्नां लै सज़ा।"
"2PE","2","15","तिन्नैं आसा भलअ करनअ छ़ाडी हेरअ द और तिंयां लागै तिहै ई पाप करदै ज़ुंण खास्सी साला पैहलै बोआरे शोहरू बलाम गूरै किअ त, तेऊ किअ त ढबै पिछ़ू तिहअ काम ज़ुंण गलत आसा त। ()"
"2PE","2","16","पर परमेशरै बझ़ैल़अ सह तेऊए गाधी करै तेऊए गलत कामां पिछ़ू नैरनै। एही ता निं गाधै गल्ला करी सकदै, पर ज़ांऊं बलाम तेसा प्रैंदै शुंआर हई करै राज़ै सेटा मिलदअ त च़ाल्लअ द, तैहा गाधी की बलाम गूरा संघै मणछा ज़ेही गल्ला और सह तैहा घल़ी रोक्कअ गलत काम करनै का। ()"
"2PE","2","17","ईंयां झ़ुठै गूरू आसा एही बाऐ ज़िहै बेकार ज़ुंण शुक्की दी आसा। तिंयां आसा इहै बादल़ा ज़िहै ज़ुंण बाझ़ी बरशै बागरी करै दूर डेओआ। परमेशरै आसा तिन्नां लै एक ज़ैगा डाही दी ज़िधी घोर न्हैरअ आसा।"
"2PE","2","18","ज़ांऊं तिंयां लोगा लै शिक्षा दैआ, तिंयां बोला घमंडी और बेकार बोल। तिंयां बोला लोगा लै इहअ कि तिंयां सका तिहै नबिज़तै काम करी ज़ेही तिन्नें देही च़ाहा। तिंयां पाआ तिन्नां लोगा का पाप कराऊई भी कबाता ज़ुंण अज़ी एभै एही बूरी ज़िन्दगी छ़ाडी विश्वासी आसा बणैं दै।"
"2PE","2","19","तिंयां झ़ुठै गूरू बोला लोगा लै इहअ कि ज़िहअ तम्हैं च़ाहा तिहअ करना लै आसा तम्हैं आज़ाद। तिंयां आसा आप्पू ई गुलामा ज़िहै किल्हैकि तिन्नों पापी सभाब करा तिन्नां पापी कामां करना लै मज़बूर। तम्हैं हआ तेते गुलाम ज़ुंण च़ीज़ तम्हां काबू करा।"
"2PE","2","20","लोग हआ संसारे बूरी गल्ला का दूर ज़ेभै तिंयां ईशू मसीहा आपणअ प्रभू और उद्धार करनै आल़अ मना। पर ऐबै पल़ै तिंयां भी इना बूरै कामां दी और ईंयां बूरै काम करा तिन्नां काबू। ऐबै हुई खिरी तिन्नें एही हालत कि तिन्नैं हेरअ मसीहा छ़ाडी और ज़िहै तिंयां विश्वास करनै का पैहलै तै, तिन्नें हुई तेता का बी बूरी दशा।"
"2PE","2","21","तिन्नां लै हणीं ती अह गल्ल भली कि तिन्नां का एसा गल्लो थोघ ई निं हंदअ कि धर्में बाता केही ज़िन्दगी लागा ज़िऊंणीं। पर परमेशरा दैणीं तिन्नां लै होर बी खास्सी सज़ा किल्हैकि तिन्नैं निं परमेशरे तिंयां पबित्र गल्ला मनी ज़ुंण हाम्हैं तिन्नां सेटा पजैल़ी।"
"2PE","2","22","ज़ेऊ साबै तिंयां बभार करा तेऊ साबै आसा अह गल्ल ठीक ज़िहअ लोग बोला, “तिंयां आसा कुत्तै ज़िहै ज़ुंण आपणीं उल्टी च़ाटदअ फिरी डेओआ” और “तिंयां आसा सुंगरा ज़िहै ज़ुंण न्हैऊई धोई करै बी च़िकरै ई जैंदरा लै डेओआ।” ()"
"2PE","3","1","मेरै पैरै साथीओ, ऐबै लिखा हुंह तम्हां लै एसा दुजी च़िठी। ईंयां दुहै च़िठी आसा मंऐं तम्हां का तिन्नां गल्ले बारै आद फरेऊंणा लै लिखी दी ज़ेतो तम्हां का पैहलै ई आसा थोघ। मंऐं की सिधी थारै मनें शुचै बच़ारा ज़गेरने कोशिश।"
"2PE","3","2","हुंह च़ाहा इहअ कि तम्हैं डाहा तिन्नां गल्ला आद ज़ुंण म्हारै परमेशरे गूरै खास्सी साला पैहलै आसा बोली मुक्कै दै, और म्हारै उद्धार करनै आल़ै प्रभू ईशू मसीहे शिक्षा बी डाहा आद ज़ुंण शधाणूं तम्हां सेटा एछी करै आसा खोज़ी दी।"
"2PE","3","3","सोभी का ज़रूरी गल्ल आसा अह कि तम्हां का लोल़ी थोघ लागअ कि खिरीए धैल़ी मसीहा एछणैं का पैहलै हणैं इहै लोग; तिन्नां बणांणअ थारअ एसा गल्ला पिछ़ू मखौल कि तम्हैं करा इहअ विश्वास कि मसीहा एछणअ भी फिरी। तिन्नां हणअ एही बूरी गल्ला करनैओ भैस्स पल़अ द ज़ेता करै तिंयां खुश हआ।"
"2PE","3","4","तिन्नां बोल़णअ इहअ कि तेऊए फिरी एछणें करार निं शुची आथी! सह निं कधि एछणैं आल़अ आथी! किल्हैकि ज़ुंण शुरू दी म्हारै पित्तर तै तिंयां मूंऐं सोभ, पर आझ़ तैणीं निं किछ़ै बदल़अ। सोभै गल्ला आसा कबल्ली ज़ेही कै तेही हंदी, ज़ेही तधू ती ज़धू परमेशरै संसार बणांअ।"
"2PE","3","5","तिंयां सका इहअ बोली किल्हैकि तिंयां च़ाहा बिसरनअ कि खास्सी साला पैहलै आसा सरग और पृथूई परमेशरै हुकम करी करै बणांऐं दै। तेऊ बोलअ ज़िम्मीं लै पाणीं का उझै निखल़णां लै और पाणीं का ज़ुदै हणां लै। ()"
"2PE","3","6","तेऊ ई पाणीं करै किअ परमेशरै तेऊ जुगो संसार पाणीं दी डबेऊई करै खतम। ()"
"2PE","3","7","पर एऊ जुगे सरग और पृथूई आसा तेऊ ई बैणा करै एते तैणीं डाहै दै कि एकी धैल़ै पाणै ईंयां दहई। तेऊ आसा तिंयां तैहा धैल़ी तैणीं डाहै दै ज़ेभै तेऊ न्याय करनअ और तिंयां लोग खतम करनै ज़ुंण तेऊओ अदर निं करदै।"
"2PE","3","8","मेरै पैरै साथीओ, एसा गल्ला डाहै सदा आद कि परमेशरे एक धैल़ी हआ हज़ार साला ज़ेही और हज़ार साला हआ एकी धैल़ी ज़ेही। तेऊ लै आसा एक धैल़ी और हज़ार साला दुहै एक बराबर। ()"
