Book, Chapter, Verse, Text
"GAL","1","1-2","हांऊँ पौलुस एक प्रेरित सा, होर हांऊँ ऐ चिट्ठी गलातिया प्रदेशा न रौहणु आल़ै तुसा यीशु न बशाह केरनु आल़ै बै लिखदा लागा सा । सैभ विश्वासी ज़ो मूँ सैंघै औखै सी, तै बी तुसाबै नमस्कार केरा सी। हांऊँ न ता कोई मांहणु री तरफा न होर न ता कोई मांहणु रै अधिकारा न प्रेरित बणु। पर हांऊँ आसरै यीशु मसीह होर परमेश्वरा रै ज़रियै एक प्रेरित बणु सा, ज़ुणियै यीशु मूँऐंदै न ज़िन्दा केरु।"
"GAL","1","3","हांऊँ प्रार्थना केरा सा कि आसरै परमेश्वर पिता होर प्रभु यीशु मसीह तुसाबै अनुग्रह होर शान्ति दै।"
"GAL","1","4","आसरै परमेश्वर होर पिता री इच्छा रै मुताबक मसीह यीशुऐ आपणै-आपा बै आसरी पापा री तैंईंयैं धिना, ताकि आसै ऐई बर्तमान बुरी दुनिया रै लोका रै बुरै असरा न बच़लै।"
"GAL","1","5","हांऊँ प्रार्थना केरा सा कि लोक परमेश्वरा री ज़ुगा-ज़ुगा तक स्तुति केरलै।"
"GAL","1","6","हांऊँ हैरान होआ सा, कि परमेश्वरै तुसै मसीह रै अनुग्रह न शाधे तेईन तुसै ऐतरी छ़ेकै फिरिया एक नोंऊँई शिक्षा बै मैनणा शुरू केरू।"
"GAL","1","7","तौखै सिर्फ़ एकै सच़ा खुशी रा समाद सा, पर गैल ऐ सा, किछ़ लोका ऐण्ढै सी ज़ुण मसीह रै खुशी रै समादा बै बिगाड़ना चाहा सी होर तिन्हैं तुसाबै धोखा धिना सा।"
"GAL","1","8","पर अगर आसै या स्वर्गा न एज़िया कोई स्वर्गदूत भी तेई खुशी रै समादा बै छ़ौड़िया ज़ुण आसै तुसाबै शणाऊ सा, कोई होर नोंऊँई शिक्षा बै खुशी रा समाद समझ़िया प्रचार केरा सा, ता परमेश्वरा तिन्हां बै सज़ा दै।"
"GAL","1","9","ज़ैण्ढा आसै पैहलै बोलू सा, तैण्ढाऐ हांऊँ ऐबै फिरी बोला सा, कि तेई खुशी रै समादा बै छ़ौड़िआ ज़ुण तुसै ग्रहण केरू सा, अगर कोई होर नोंऊँई शिक्षा दैआ सा, ता परमेश्वर तेइबै सज़ा दै।"
"GAL","1","10","ऐबै हांऊँ कि मांहणु बै मना सा या परमेश्वरा बै? कि हांऊँ मांहणु बै खुश केरना चाहा सा? अगर हांऊँ ऐबै तैंईंयैं मांहणु बै खुश केरदा रौंहदा, ता मसीह रा दास नी होंदा।"
"GAL","1","11","हे विश्वासीयौ, हांऊँ तुसाबै दसिया देआ सा, कि ज़ुण खुशी रा समाद मैं शणाऊ सा सौ मांहणु री तरफा न नी ऑथि।"
