Book, Chapter, Verse, Text
"2TH","1","1","ऐ चिट्ठी पौलुस होर सीलास होर तीमुथियुसै री तरफा न, थिस्सलुनीकियै शैहरा री मण्डली रै नाँ न ज़ो परमेश्वर पिता होर प्रभु यीशु मसीह न सी, तिन्हरी तैंईंयैं लिखी सा"
"2TH","1","2","आसरै परमेश्वर पिता होर प्रभु यीशु मसीह न तुसाबै अनुग्रह होर शान्ति मिलदी लोड़ी रौही।"
"2TH","1","3","हे भाइयो बैहणियो, तुसरै बारै न आसाबै हमेशा परमेश्वरा रा धन्यवाद केरना चेहिऐ होर ऐ सही भी सा कि, तुसरा बशाह यीशु मसीह न बढ़दा ज़ा सा होर आपु न तुसा सैभी न झ़ुरी बढ़दी ज़ा सा।"
"2TH","1","4","तैबै आसै परमेश्वरा री मण्डली न तुसरै बारै न घमण्ड केरा सी कि भलै ही तुसै परीक्षा होर दु:ख कष्ट सौहा सी फिरी भी तुसै धीरजा सैंघै सौहा सी होर ऐबै भी तुसै यीशु मसीह पैंधै बशाह केरा सी।"
"2TH","1","5","ऐ परमेश्वरै रै सच़ै न्याय रा स्पष्ट सबूत सा कि, तुसै परमेश्वरै रै राज्य रै लायक ठहरलै, ज़ुणी री तैंईंयैं तुसै दु:ख भी सौहा सी।"
"2TH","1","6","किबैकि परमेश्वर हमेशा धर्मा सैंघै न्याय केरा सा तैबै तेई तिन्हां लोका बै दुःख देणा ज़ो तुसाबै दुःख देआ सी ।"
"2TH","1","7","पर तेई तुसाबै तुसरी परेशानी न राहत देणी । परमेश्वरा आसा री तैंईंयैं भी ऐण्ढा केरना ज़ैबै प्रभु यीशु आपणै शक्तिशाली स्वर्गदूता सैंघै भौकदी औगी न स्वर्गा न एज़ा सा ।"
"2TH","1","8","होर ज़ो परमेश्वरा बै नी पछ़ियाणदै होर ज़ो आसरै प्रभु यीशु रै बारै न खुशी रै समादा बै ग्रहण नैंई केरदै, तेई तिन्हां बै सज़ा देणी।"
"2TH","1","9","तिन्हां प्रभु रै सामनै तेइरी महिमा रै शक्ति न दूर होईया हमेशा विनाशा री सज़ा पाणी।"
"2TH","1","10","ऐ तेई ध्याड़ै न होंणा, ज़ैबै परमेश्वरा री तिन्हां सैभी रै ज़रियै आदर होर महिमा होंणी। ज़ो तेइन बशाह केरा सी होर ज़ो तेइरै सी। एथा न तुसै शामिल सी, किबैकि तुसै तेई सन्देशा पैंधै बशाह केरू ज़ो आसै तुसाबै तेइरै बारै न दसू।"
"2TH","1","11","तैबै आसै हमेशा तुसरी तैंईंयैं प्रार्थना भी केरा सी कि आसरा परमेश्वर तुसाबै तेसा ज़िन्दगी रै लायक बणाऐ ज़ो तेइयै तुसै जीणै री तैंईंयैं शाधै सी, होर तेई तुसरी हर भली इच्छा पूरी तैरहा न पूरी केरनी, होर तेई हर कोम सफल केरनै ज़ो तुसरै बशाह रा नतीज़ा सा।"
"2TH","1","12","आसरै परमेश्वर होर प्रभु यीशु मसीह रै अनुग्रह रै मुताबक आसरै प्रभु यीशु मसीह रा नाँ तुसा मौंझ़ै महिमा पाला होर तुसै तेईन।"
"2TH","2","1","हे भाइयो बैहणियो, ऐबै आसै प्रभु यीशु मसीह रै वापस ऐणै रै बारै न किछ़ बोलणा सा होर तेई बौगता ज़ैबै आसा तेई सैंघै मिलणा।"
"2TH","2","2","तिन्हां लोका रै ज़रियै आसानी सैंघै परेशान या मता घबराँदै ज़ो ऐ दावा केरा सी कि प्रभु पैहलै न ही आऊ सा। ते बोली सका सी कि तिन्हैं सीधै पवित्र आत्मा न या कौसी होरा न या औखै तक कि तिन्हैं ऐ आसरी एक चिट्ठी न पौढ़ू सा।"
"2TH","2","3","तिन्हां सैभी बुरी गैला पैंधै बशाह मता केरदै ज़ो लोका तुसाबै एथा रै बारै न बोलदै लागै सी, किबैकि प्रभु यीशु मसीह वापस ऐणै न पैहलै, ऐण्ढा बौगत होंणा ज़ैबै कई लोका परमेश्वरा रै बरोधा न विद्रोह केरना होर दुष्ट मांहणु, ज़ुणिबै परमेश्वरा पक्का नरका न नाश केरना, प्रगट होंणा।"
"2TH","2","4","तेई परमेश्वर होर सैभी झ़ूठै देऊआ रा होर ज़ो किछ़ भी लोका पूजा सी बरोध केरना, होर आपु बै तिन्हां सैभी न बड़ै कहलाइणा, औखै तक कि तेई परमेश्वरा रै मन्दिरा न बेशणा होर आपु बै परमेश्वर होंणै रा दावा केरना।"
"2TH","2","5","कि तुसाबै याद नी, कि ज़ैबै हांऊँ तुसरै औखै ती, ता तुसा सैंघै इन्हां गैला बै बोला केरा ती?"
"2TH","2","6","ऐबै सौ दुष्ट मांहणु ऐबै तक प्रगट नैंई हुआ, किबैकि ऐण्ढा किछ़ सा सौ तेइबै रोका सा। पक्का तुसाबै याद सा कि सौ कि सा ज़ो तेइबै रोका सा। तैबै, ज़ैबै परमेश्वरा रा ठहराऊ होंदा बौगत एज़ा सा तेई दुष्ट मांहणु हेरिणा ।"
"2TH","2","7","किबैकि दुष्टा रा भेद ऐबै भी गुप्त रूपा न दुनिया न कोम केरा सा, पर हाज़ी भी एक रोकणु आल़ा सा होर ज़ैबै तैंईंयैं सौ दूर नी होला तेई रोकिया रौहणा।"
"2TH","2","8","तेथा न बाद दुष्ट मांहणु हेरिणा, पर ज़ैबै प्रभु यीशु ऐला, ता सौ दुष्ट मांहणु बै आपणै हुक्मा न ज़ो तेइरै मुँहा न निकल़ा सा होर तेइरी ऐणै री महिमा सैंघै नाश केरना।"
"2TH","2","9","दुष्ट मांहणु हागै शैताना री शक्ति होंणी। तेई सैभी किस्मै रै झ़ूठै चमत्कार नशाण होर नौखै कोम केरनै ज़ो लोका बै ऐ सोच़णै री तैंईंयैं मजबूर केरला कि ऐ परमेश्वर सा ज़ो तिन्हां बै केरदा लागा सा।"
"2TH","2","10","तेई सैभी किस्मा री दुष्ट गैला केरनी होर तिन्हां बै धोखा देणा ज़ो परमेश्वरा रै ज़रियै नाश होंणै। किबैकि तिन्हैं यीशु मसीह रै बारै न सच़ा सन्देश शुणनै होर परमेश्वरा न बच़ाइणै न नाँह केरू।"
"2TH","2","11","होर एसा बजहा न परमेश्वरा तिन्हां बै एक भटकाणु आल़ी सामर्थ भेज़णी ज़ो तिन्हां बै सच़ाई न दूर नेआ सा ताकि ते झ़ूठा पैंधै बशाह केरलै ज़ो दुष्ट मांहणु तिन्हां बै दसला ।"
"2TH","2","12","होर ज़ेतरै लोका यीशु मसीह रै बारै न सच़ै सन्देशा पैंधै बशाह नैंई केरदै, पर पाप केरनै पसन्द केरा सी तिन्हां सैभियै सज़ा पाणी।"
"2TH","2","13","औखै तुसरी तैंईंयैं परमेश्वरा रै सामनै आसरा हमेशा धन्यवाद देणा सही सा । तुसै प्रभु रै प्यारे सी किबैकि परमेश्वरै शुरु न ही पवित्र आत्मा रै ज़रियै पापा न आँगी केरिया होर सच़िऐ तुसरै बशाह री बजहा न उद्धारा री तैंईंयैं तुसै चुनै सी।"
"2TH","2","14","आसरै खुशी रै समादा रा प्रचार केरनै रै ज़रियै तेइयै तुसै बच़ाणै री तैंईंयैं शाधै सी ताकि तुसै तेसा महिमा न हिस्सा लेई सकै ज़ो परमेश्वरै आसरै प्रभु यीशु मसीह बै धिना सा ।"
"2TH","2","15","तैबै हे भाइयो बैहणियो मजबूत रौहा, ज़ो शिक्षा तुसै आसरै वचन होर चिट्ठी रै द्वारा प्राप्त केरी सा, तिन्हां बै ढोकिया रखा।"
"2TH","2","16","आसै आपणै प्रभु यीशु मसीह सैंघै होर आसरै परमेश्वर पिता ज़ुणियै आसा सैंघै झ़ुरी केरी होर ज़ुणियै आपणी अनुग्रह न आसाबै हमेशा उत्साह होर मजबूत आशा धिनी सा प्रार्थना केरा सी,"
"2TH","2","17","कि तुसरै मना बै शान्ति देला होर तुसाबै हर एक शोभलै कोमा न होर वचना न मजबूत केरला।"
"2TH","3","1","हे भाइयो बैहणियो, आखरी न आसरी तैंईंयैं प्रार्थना केरदै रौहा कि, प्रभु यीशु रै बारै न सन्देश कई होर ज़ैगा न छ़ेकै फैलै होर महिमा पाऐ, ज़ैण्ढा तुसा न हुआ।"
