Book, Chapter, Verse, Text
"JUD","1","1","हुंह आसा ईशू मसीहो टैहलू और याकूबो भाऊ। हुंह लिखा एसा च़िठी तम्हां लै ज़ुंण परमेशरै आसा शादै दै। बाप्पू परमेशर करा तम्हां लै झींण और सह करा मसीहा ईशू दी थारी हेर-सभाल़।"
"JUD","1","2","मेरी आसा परमेशरा का एही अरज़ कि सह तम्हां सोभी लै खास्सी झींण करे, खास्सी शांती दैए और सह तम्हां संघै खास्सी झ़ूरी करे।"
"JUD","1","3","मेरै पैरै साथीओ, हुंह आसा तम्हां लै तेसा नऊंईं ज़िन्दगीए बारै लिखणे कोशिश करदअ लागअ द ज़ेथ हाम्हैं सोभै साझ़ू आसा और ज़ुंण मसीहा ईशू बाती एछा। पर एभै च़ेतअ मंऐं इहअ कि हुंह दैंऊं तम्हां लै ऐहा च़िठी करै हौंसल़अ। हुंह करा तम्हां का अरज़ कि तम्हैं करा आपणैं विश्वासे रखबाली। परमेशरै आसा अह विश्वास एकी ई बारी और आपणैं सोभी लोगा लै दैनअ द ज़ुंण कधि निं बदल़दअ।"
"JUD","1","4","किल्हैकि कई लोग आसा तम्हां संघै मंडल़ी दी ज़ुल़ै दै ज़ुंण ईशू मसीहा दी विश्वास करनैओ दखाअ करा। तिंयां निं परमेशरो अदर करदै और तिंयां दैआ एही झ़ुठी शिक्षा कि परमेशरै हेरै म्हारै पाप माफ करी और हाम्हैं सका कंज़रैई दी ज़िन्दगी ज़िऊई। तिंयां निं ईशू मंदै ज़ुंण म्हारअ एक्कै गूरू आसा और प्रभू आसा। खास्सी साला पैहलै आसा पबित्र शास्त्रा दी इहअ लिखअ द, “परमेशरा दैणीं इना इहै लोगा लै सज़ा।”"
"JUD","1","5","एही ता आसा गअ द तम्हां का इना सोभी गल्लो थोघ लागी, पर तज़ी बी फरेऊआ हुंह तम्हां का आद कि प्रभू किऐ इस्राएली लोग मिसर देशे गुलामीं का आज़ाद। पर बादा का पाऐ तेऊ तिंयां सोभ मारी ज़ुंणी बणैं उज़ल़ ज़ैगा ज़ुंणी तेऊ दी विश्वास निं किअ। ()"
"JUD","1","6","एसा गल्ला बी करा आद कि ज़ुंण स्वर्ग दूत तिन्नां लै दैनी दी पदबी करै खुश नांईं तै आथी, और स्वर्गो आपणअ घर छ़ाडअ; तिंयां स्वर्ग दूत आसा परमेशरै सदा लै न्हैरी ज़ैगा एही शांघल़ी करै डाहै दै बान्हीं ज़ेता कोहै निं चोल़ी सकदअ। ताकि तेसा महान धैल़ी तिन्नों न्याय होए।"
"JUD","1","7","इस्राएली और स्वर्ग दूता ज़ेही करा एसा गल्ला बी आद कि तिन्नां लोगा संघै किज़ै हुअ ज़ुंण सदोम और अमोरा नगरी और तेता नेल़ होरी नगरी रहा तै। तिंयां लोग हुऐ तै कंज़रै और तिंयां तै हर रंगे कंज़रैई करै भर्हुऐ दै। ता परमेशरै किऐ तिंयां आगी करै दहई खतम। इना लै इहअ हणअ आसा झ़ुठी शिक्षा दैणैं आल़ै लै चतैनगी कि तिन्नां बी भेटणीं सदा रहणैं आल़ी आगी दी सज़ा। ()"
"JUD","1","8","ठीक इहै ई तम्हां मांझ़ै तिंयां दखाअ करनै आल़ै मणछ करा इहै ई पाप, तिंयां बोला इहअ कि तिन्नां का खोज़ी परमेशरै सुपनै गल्ला प्रगट कि तिंयां सका आपणीं देही कंज़रैई करै भ्रष्ट करी, तिंयां निं च़ाहंदै कि प्रभू बी तिन्नां प्रैंदै हक डाहे और तिंयां बोला स्वर्गे महान स्वर्ग दूता नथोघी बूरी गल्ला।"
"JUD","1","9","मिकाईल ज़ुंण परमेशरो एक प्रधान स्वर्ग दूत आसा, तेऊ बी निं इहअ किअ ज़ुंण इनै दखाअ करनै आल़ै लोगै किअ। ज़ांऊं शैतानै मिकाईल स्वर्ग दूता संघै एसा गल्ले बारै हठ की कि तिन्नां मांझ़ै मुसा गूरे ल्हासा दाबी डाहणेंओ हक कसा आसा, एही ता आसा मिकाईल स्वर्ग दूता इना लोगा का खास्सअ हक, तेऊ निं शैताना लै बी नकदरी गल्ल बोली और नां तेऊ लै दोश लाअ। पर तेऊ बोलअ सिधअ इहअ, “परमेशरा नैरनअ तूह आप्पै।”"
"JUD","1","10","पर इना दखाअ करनै आल़ै लोगा का ज़ुंण गल्ला समझ़ निं एछदी तेता लै दैआ ईंयां गाल़ी। ज़ुंण गल्ला इना समझ़ एछा और तिन्नां करा ईंयां सभाबा ई का बणें पशू ज़ेही, और तिन्नें इना पापी कामां करदी हआ तिंयां खिरी आप्पू बरैबाद।"
