Book, Chapter, Verse, Text
"3JN","1","1","हांऊँ यहून्ना एस्सा चिठ्ठी जो लिख्दा लगिरा। हांऊँ कलीसिया रा अगुवा आ। होर हांऊँ ये चिठ्ठी आपणे लाडले दोस्त गयुसा रे कठे लिखी करहा, जेस जो हांऊँ सच्चा प्यार करहा।"
"3JN","1","2","हे लाडले दोस्त, मेरी ये प्रार्थना ई कि जिहां तू आपणे विस्वास मन्झ मजबूत हूँआ करहा, तिहां ईं सभ गल्ला मन्झ तेरे साउगी खरा हो, होर तेरा सरीर भला चंगा रहे।"
"3JN","1","3","क्यूंकि जेबे कुछ विस्वासी भाई बैहणे आई किन्हें आस्सा जो ये दसेया कि, तू आपणे सच्चाई रे मताबक भरोसे रे लायक जिन्दगी जिया, ता हांऊँ बौह्त खुस हुएया।"
"3JN","1","4","मुंजो एता ले बढ़ी किन्हें होर कोई खुसी नी ई कि, हांऊँ ये सुणुं कि, स्यों लोक जो मेरे बच्चे साहीं ऐें सच्चाई रे मताबक चल्या करहा ऐें जो परमेसरे आस्सा जो दसीरी।"
"3JN","1","5","हे लाडले दोस्त, तैं बड़े दिला ले तिन्हा विस्वासी भाईया बैहणा मददा रे कठे बड़ा कुछ कितिरा, जो ओरले परले जगहा मन्झ सफर करी किन्हें खुसी री खबरा रा प्रचार करहे। होर तुस्से अनजाण लोका री भी बड़ी मदद कितिरी।"
"3JN","1","6","इन्हा मन्झ ले कुछ लोके जिन्हारी तुस्से मदद कितिरी आई किन्हें एथी कलीसिया रे लोका जो दसेया कि, तुस्से आपणे विस्वासी भाई बैहणा किन्हें कितना प्यार करहा ऐें। ऐबे हांऊँ तुस्सा किन्हें बोल्हा की एह्ड़े लोका री मदद करदे रैहया, जेबे स्यों तुस्सा जो छाडी किन्हें दूजी जगहा मन्झ सफर करहे, क्यूंकि एह्ड़ा करणा परमेसरा जो खरा लगा।"
"3JN","1","7","क्यूंकि ये लोक प्रभु यीसू मसीह रे नांऊँआं जो फैलाणे रे कठे ओरे परे जगहा मन्झ सफर करहे, होर अविस्वासी लोका ले कुछ नी लैंदे।"
"3JN","1","8","इधी कठे एह्ड़े लोका रा घरा मन्झ स्वागत करणा चहिए, ताकि आस्से भी तिन्हा साउगी सच्चाई रा प्रचारा रे कामा मन्झ सहकर्मी हो।"
"3JN","1","9","मैं तुस्सा री कलीसिया रे लोका रे कठे एक चिठ्ठी लिखिरी थी; पर दियुत्रिफेस मेरी गल्ला जो मनणे ले नांह करहा, क्यूंकि से हमेसा ले चाहां की से कलीसिया रा अगुवा बणे।"
"3JN","1","10","इधी कठे जेबे मां आऊंणा ता मां कलीसिया रे लोका किन्हें सीधे गल करणी कि से क्या करी करहा। से आस्सा पर झूठा दोस लगा कि आस्से बुरे काम करहा ऐें। इतना ही नी से सफर करी किन्हें खुसी री खबरा रा प्रचार करणे वाले विस्वासी लोका रा स्वागत भी नी करदा, होर से तिन्हा लोका जो कलीसिया री सभा ले बाहर काढी देआ।"
"3JN","1","11","हे लाडले दोस्त, बुरे काम करणे वाले साहीं नी जिया, पर भले काम करणे वाले साहीं जिया। जो भले काम करहा, से परमेसरा रा बच्चा; होर जो बुरे काम करहा, से एस गल्ला जो जाहिर करहा की से परमेसरा जो नी जाणदा।"
"3JN","1","12","कलीसिया रे सभ लोक बोल्हे कि दिमेत्रियुस एक खरा आदमी आ क्यूंकि से सच्चाई रे मताबक जिया होर आस्से भी बोल्हे की से एक खरा माह्णुं आ; होर तू जाणहां कि आस्से जो बोल्या करहे से सच्च आ।"
"3JN","1","13","मैं तुस्सा किन्हें होर गल्ला करणा चाहां, पर हांऊँ तिन्हा गल्ला जो एक एह्ड़ी चिठ्ठी मन्झ लिखणा नी चाह्न्दा।"
"3JN","1","14","पर मुंजो आस ई कि मां बौह्त जल्दी तुस्सा किन्हें मिलणा होर तेबे आस्सा आम्हणें साम्हणें गलबात करणी।"
"3JN","1","15","हांऊँ प्रार्थना करहा कि परमेसर तुस्सा जो सांति देंदा रैहे। एथी रे सभ मसीही दोस्त तुजो नमस्कार बोल्हा ऐें। एक-एक करी किन्हें तेथी रे सभी दोस्ता जो आस्सा रा नमस्कार बोली देआ।"
