Book, Chapter, Verse, Text
"2CO","1","1","इऐ चिट्ठी पौलुस ज़ुण परमेश्‍वरा री मौरज़ी कु यीशु मसीह रौ प्रेरित आ और आमारौ भाई तीमुथियुसा री तौरफा कु तुमुलै लिखदै लागै औन्दै। और इऐ चिट्ठी परमेश्‍वरा री तिऐं कलिसिया रै नावां दी, ज़ो कुरिन्थुसा दी आ, और परमेश्‍वरा रै सारै पवित्र लोगु रै नावां दी ज़ुण अखाया परदेशा दी रौआ ई।"
"2CO","1","2","आमारै बाब परमेश्‍वर और प्रभु यीशु मसीहा री तौरफा कु तुमुलै बौड़ी दया और शान्ति मिलदै थाकाली लागी।"
"2CO","1","3","आमारै प्रभु यीशु मसीहा रै बाब और परमेश्‍वरा रौ धन्यबाद, ज़ुण दया रौ बाब और सारै रौंगा री सुख-शान्ति रौ परमेश्‍वर आ।"
"2CO","1","4","सेऊ आमारै सारै दु:खा दी सुख-शान्ति दिआ सा ताकी आमै तिऐं शान्ति री वज़ाह कु ज़ो परमेश्‍वर आमुलै दिआ सा, तिंउलै भी शान्ति देई बौल़ा ज़ो केज़ै भी रौंगा रै क्लेशा दी ई पौड़ै औन्दै।"
"2CO","1","5","कैलैकि ज़िणौ मसीहा रै दुखा दी आमै ज़ादौ शामिल हुई आ, तिणौ ई आमै सुख-शान्ति दी भी मसीहा रै ज़ौरिऐ ज़ादै शामिल हुई आ।"
"2CO","1","6","अगर आमै दुःख सौई ई, ता सेऊ दु:ख तुमारी शान्ति और छ़ुटकारै लै आ। और अगर आमुकै शान्ति मिला सा, ता तुमारी शान्ति लै आ। ज़ेथरी शक्ति कौरी तुमैं सौबरा आइलै तेस दु:ख सहन कौरा ई, और ज़ो आमै भी सहन कौरी ई।"
"2CO","1","7","आमारी आश तुमारै बारै दी मज़बूत आ। कैलैकि आमै ज़ाणी ई कि ज़िणौ तुमैं आमारै दुःखा दी, तिणौ ई सुखा दी भी शामिल हुऔ।"
"2CO","1","8","ओ मैरै प्यारै साथी विश्वासिउओ, आमै नाईं च़ाहांदै कि तुमैं आमारै तेस दु:खा रै बारै दी अणज़ाण रौऔ ज़ो आसिया परदेशा दी आमु माथै पौड़ौ। आमै इणै गौरकै बोझ़ा थाली दौबी गोऐ थै, ज़ो आमारी सौइणै कु बाइरै थौ, इदरा झ़ांऊ कि आमुऐ आपणी ज़िउणै री सारी आश छ़ाड़ी गोई थी।"
"2CO","1","9","यानी कि आमुऐ आपणै मौना दी सौमझ़ी ऐरौ थौ कि आमै मौरणै वाल़ै थै, ताकी आमै आपणौ भोरोसौ ना छ़ाड़ी, पर परमेश्‍वरा माथै भोरोसौ छ़ाड़ी ज़ुण मौरै औन्देऊ ज़िउंदै कौरा सा।"
"2CO","1","10","तिणिऐ आमै मौउता री इणी बौड़ी फाई कु बौच़ाऐ ई, और बौच़ावा सा। और तेस माथै आमारौ एज़ौ भरोसौ आ कि सेऊ औगांऊ लै भी आमु बौच़ाउंदै थाका लागी।"
"2CO","1","11","तुमैं भी मिलियौ प्राथना रै ज़ौरिऐ आमारी सहायता कौरालै कि ज़ो आशीषै सारेउ रै ज़ौरिऐ आमुलै मिली आ, तेथारी वज़ाह कु भौरी लोग आमारी तौरफा कु धन्यबाद कौरा।"
"2CO","1","12","कैलैकि आमै आपणै मौना री इऐं गवाही माथै गर्व कौरी ई कि धौतरी दी और खास कौरीऐ तुमु मांझ़िऐ, आमारौ च़ाल-च़लण परमेश्‍वरा रै ज़ौरिऐ इणौ पवित्र और सौच़्च़ाई आइलै थौ, ज़ो शरीरा रै ज्ञाना कु नाईं पर परमेश्‍वरा री बौड़ी दया आइलै थौ।"
"2CO","1","13","आमै तुमुलै तेसी लिखी ई, ज़ो तुमैं पौढ़ीयौ सौमझ़ा ई और माना भी ई, मुकै आश आ कि तुमै एस आच़्छ़ा कौरीऐ सौमझ़ौ।"
"2CO","1","14","ज़िणौ कि तुमु मांझ़िऐ कईएउऐ मानी भी ऐरौ आ कि आमै तुमारै गर्वा री वज़ाह ई, तिणौ ई तुमैं भी प्रभु यीशु रै वापिस आशणै रै दिना दी आमुलै गर्वा री वज़ाह बौणा ई।"
"2CO","1","15","एज़ै भरोसै कु हाऊं च़ाहा थौ कि पैहलै तुमु काऐ आशु कि तुमुलै दुगुणी आशीष मिला।"
"2CO","1","16","मुइंऐ सुंच़ौ थौ कि तुमु बाटीऐ कु आशीयौ मकिदुनीया परदेशा लै डेऊ, और तैबै मकिदुनीया कु तुमु काऐ आशु। और तुमैं मेरी यहुदिया रै सफरा दी मज़द कौरा।"
"2CO","1","17","एथीलै ज़ो मुंइऐ एऊ सुंच़ौ औन्दौ थौ ता, का मुइंऐ तेथदी लापरवाई की आ? या ज़ो हाऊं कौरणौ च़ाहा ऊ, का सण्सारा रै लोगु रै ज़ौरिऐ कौरणौ च़ाहा ऊ कि ज़ुण इबी ता ओ, ओ बोलाई और बासीऐ मुकरा ई पोरु।"
"2CO","1","18","ज़िणौ परमेश्‍वर विश्वास वाल़ौ आ, तिणी ई आमारी बुशु दी भी “ओ” रौ मतलब “ओ” और “नाईं” रौ मतलब “नाईं” हुआ आ।"
"2CO","1","19","कैलैकि परमेश्‍वरा रौ छ़ोहरु यीशु मसीह ज़ासरौ परचार आमारै ज़ौरिऐ मतलब की मैरै और सिलवानुस और तीमुथियुसा रै ज़ौरिऐ तुमु मांझ़िऐ दी हुऔ आ, तेथदी “ओ” और “नाईं” दुइया नाईं थै, पर तेथादी “ओ री ओ” हुई।"
"2CO","1","20","कैलैकि परमेश्‍वरा रै ज़ेती भी वायदै ई, सै सब मसीह दी “ओ” आइलै ई। एथीलै तेथरै ज़ौरिऐ आमीन भी हुई कि आमारै ज़ौरिऐ परमेश्‍वरा री महिमा हुआ।"
"2CO","1","21-22","परमेश्‍वर ई आ, ज़ुण तुमु आइलै आमु मसीह दी मज़बूत कौरा आ। परमेश्‍वरै आमु माथै आपणी छ़ाप लाइयौ बयानै रै रुपा दी आपणी आत्मा आमारै मौना दी देइयौ आमारौ अभिषेक कियौ आ।"
