Book, Chapter, Verse, Text
"GAL","1","1","हाऊं पौलुस तुमुलै इऐं चिट्ठी लिखाऊ और हाऊं एक प्रेरित ऊ, हाऊं कास लोगु रै ज़ौरिऐ नाईं ऊ च़ुनौ औन्दौ। पर यीशु मसीह और बाबा परमेश्‍वरा रै ज़ौरिऐ ऊ च़ुनौ औन्दौ ज़ुणिऐ यीशु मौरै औन्दै मांझिया कु ज़िउंदौ कियौ आ।"
"GAL","1","2","हाऊं इऐं चिट्ठी गलातिया परदेशा री सारी कलिसिया लै सारै भाईऊ री तौरफा कु लिखाऊ ज़ुण मुं आइलै ई।"
"GAL","1","3","परमेश्‍वर और आमारै प्रभु यीशु मसीह री तौरफा कु तुमुलै बौड़ी दया और शान्ति मिलदै थाकाली लागी।"
"GAL","1","4","यीशु मसीह ऐ आपणी ज़िन्दगी आमारै पापा री ताईं आमुलै देई ताकी आमारै परमेश्‍वर और बाबा री मौरज़ी रै मुताबिक आमु आज़ काला री इऐं बुरी दुनिया कु छ़ुड़ावा।"
"GAL","1","5","हाऊं प्राथना कौराऊ कि लोग परमेश्‍वरा री स्तूती और बड़ाई जुगा-जुगा दी कौरा। आमीन।"
"GAL","1","6","हाऊं हैरान ऊ कि परमेश्‍वरै तुमै मसीहा री बौड़ी दया रै ज़ौरिऐ आपणै लोग हुणा लै औटाऐ ई। तेसकु तुमुऐ एती शिगरी पिछ़ाऊं बौदल़ियौ दुजैऐ रौंगा री शिक्षा मानदै लागी गोऐ"
"GAL","1","7","सिरफ एका सौच़्च़ी खुशी री खौबर आ पर बूश इणी आ कि कुण इणै भी ई कि ज़ुण तुमारौ ज़िऊ घौबरावा ई, और मसीह यीशु री खुशी री खौबरी बिगाड़णै च़ाहा ई।"
"GAL","1","8","पर अगर आमै, या सौरगा कु केज़ौ दूत भी तिऐं खुशी री खौबरी छ़ाड़ियौ ज़ो आमुऐ तुमुकै शुणाई आ, और केज़ी दुजी शिक्षा तुमुकै शुणाऊ लौ ता परमेश्‍वर तेसलै श्राप दिया।"
"GAL","1","9","ज़िणौ आमुऐ पैहलै ई बोली ऐरौ आ, तिणी ई हाऊं आबै दुजी बारै बोलाऊ कि तिंऐ खुशी री खौबरी छ़ाड़ियौ ज़ो तुमुऐ मानी आ, अगर कुण दुजी शिक्षा शुणाउवा सा ता परमेश्‍वर तेसलै श्राप दिया।"
"GAL","1","10","आबै का हाऊं आदमी मानाऊं या परमेश्‍वर? का हाऊं लोगु खुश कौरणौ च़ाहा ऊ? अगर हाऊं इबी झ़ांऊ लोगु खुश कौरा थौ ता हाऊं मसीह रौ सेवक नाईं हुआ थौ।"
"GAL","1","11","ओ मैरै प्यारै साथी विश्वासिउओ, हाऊं तुमुकै बोली छ़ाड़ाऊ कि ज़ो खुशी री खौबरी मुंइऐ शुणाई आ सै लोगु रै चाणी ऐन्दी नाईं आ।"
"GAL","1","12","कैलैकि सै मुकै स्याणै री तौरफा कु नाईं मिली, और ना मुकै शास्त्रिउऐ शिखाई, पर यीशु मसीह ऐ मुं माथै पौगड़ी की आ।"
"GAL","1","13","यहुदी रै मुताबिक ज़ो पैहलै मैरौ च़ाल च़लन थौ तेथरै बारै दी ता तुमुऐ शुणी ऐरौ आ कि हाऊं परमेश्‍वरा री कलिसिया भौरी परेशान कौरा थौ और नाष कौरणै री कोशिष कौरा थौ।"
"GAL","1","14","हाऊं यहुदी धौर्मा दी आपणी उमरी रै यहुदिऊ कु भौरी आगै थौ और आपणै बाब-दादा री रीती रिवाज़ा लै भौरी ई खुश रौआ थौ।"
"GAL","1","15","पर परमेश्‍वरा री, ज़ुणिऐ हाऊं मेरी मां रै गौरबा दी च़ुनौ, और आपणी बौड़ी दया कौरी औटाई ऐरौ ऊ,"
"GAL","1","16","ज़ेबी इच़्छ़ा हुई कि मुकै आपणौ छ़ोहरु पौगड़ौ कौरा कि हाऊं दुजी ज़ातीऊ दी तेसरी खुशी री खौबरी शुणाऊं, तैबै ना ता मुंइऐ लोगु कु सलाह नी ई,"
"GAL","1","17","और ना यरुशलेमा लै तिऊंकु मिलदै डैऔ ज़ुण मुकु पैहलै प्रेरित थै चुनै औन्दै, पर एकदम अरब देशा लै डैऔ और तेथ बासिऐ तिदरु दमिश्का शैहर लै वापिस आशौ।"
"GAL","1","18","तैबै चिया बौरशा बासिऐ पतरसा (कैफा) कु मिलदै यरुशलेमा लै डैऔ, और तेस काऐ पौन्दरा दिना झ़ांऊ रौऔ।"
"GAL","1","19","पर प्रभु रै भाई याकुबा छ़ाड़ियौ कासी प्रेरिता कु नाईं मिलौ।"
"GAL","1","20","देखौ, परमेश्‍वर एज़ी बुशा रौ शाजत आ कि ज़ो बुशै हाऊं तुमुलै लिखाऊ सै झ़ुठी नाईं आसती।"
"GAL","1","21","तेथ बासिऐ हाऊं यरुशलेम शैहरा छ़ाड़ीयौ सिरिया और किलकिया रै इलाकेउ दी आशौ।"
"GAL","1","22","पर यहुदिया री कलिसिया रै लोगुऐ ज़ो मसीह दी थै, सै मुकु केबी नाईं मिलै थै।"
"GAL","1","23","पर तिंउऐ इणौ बार-बार थौ शुणौ औन्दौ कि ज़ो आमु पैहलै सतावा थौ, सेऊ आबै सेज़ैऐ विश्वासा री खौबर शुणावा सा ज़ास पैहलै नाश कौरणै री कोशिष कौरा थौ।"
"GAL","1","24","ता सै परमेश्‍वरा री बड़ाई कौरा थै कैलैकि परमेश्‍वरै हाऊं सौताउणै वाल़ै कु बौदलियौ मसीह रौ च़ेलौ चाणी गौ आ।"
"GAL","2","1","चौदह बौरशा बासिऐ हाऊं पौलुस बरनबासा आइलै तौंइऐ यरुशलेम शैहरा लै डैऔ, और आपु आइलै तितुस भी निंऔ।"
"GAL","2","2","हाऊं तिऐ एथीलै डैऔ कैलैकि परमेश्‍वरै मुलै तिऐ डेउणा लै बोलौ थौ। ज़ेबी हाऊं तिऐ थौ, ता हाऊं एखुलै दी मुख्येऊ कु मिलौ और तिउंकै खुशी री खौबर सौमझ़ाई ज़ो हाऊं दुजी ज़ातीऊ मांझ़िऐ परचार कौरा थौ। ताकि इणौ ना च़ांई हुऔ कि मेरी पिछ़ली मैहनत कौरणी बेकार हुआ।"
"GAL","2","3","मैरौ साथी तितुस, ज़ो युनानी आ, ज़ासरौ केबी भी खतनौ नाईं हुऔ। पर यरुशलेमा री कलिसिया रै तिऊं मुख्येउऐ सेऊ अपणाऔ। तिंउऐ सेऊ खतना कौरना लै मज़बूर नाईं कियौ।"
