Book, Chapter, Verse, Text
"EPH","1","1","हाऊं पौलुस ज़ुण परमेश्‍वरा री मौरज़ी कौरी यीशु मसीह रौ प्रेरित ऊ। तुमुलै इऐं चिट्ठी लिखाऊ ज़ुण इफिसुसा री कलिसिया दी परमेश्‍वरा रै लोग और यीशु मसीह दी विश्वासी ई।"
"EPH","1","2","आमारै बाब परमेश्‍वर और प्रभु यीशु मसीहा री तौरफा कु तुमुलै बौड़ी दया और शान्ति थाकाली मिलदै लागी।"
"EPH","1","3","आमारै प्रभु यीशु मसीहा रै बाब और परमेश्‍वरा रौ धन्यबाद च़ांई हुऔ। कि ज़िणौ आमै मसीह आइलै एक ई, ता परमेश्‍वरै आमुलै सारी आत्मिक आशीषै देइयौ ज़ो सौरगा दी ई आशीषित किऐ ई।"
"EPH","1","4","ज़िणौ परमेश्‍वरै आमै धौतरी चाणनै कु पैहलै मसीह दी छ़ाँटी ऐरै, कि आमै तेसरै नौज़री दी पवित्र और बेदाग औलै।"
"EPH","1","5","कैलैकि परमेश्‍वरै आमु आइलै प्यार कियौ और आपणी इच़्छ़ा रै भौलै मकसदा रै मुताबिक, आमै आपुलै यीशु मसीह रै ज़ौरिऐ पैहला कु आपणी सन्तान हुणा लै छ़ांटी गौऐ।"
"EPH","1","6","कि परमेश्‍वरा री तिऐं नोखी बौड़ी दया री बौड़ाई च़ांई हुई, ज़ो तिणीऐ आमुलै तेसरै प्यारै छ़ोहरु रै ज़ौरिऐ मुफ्त देई।"
"EPH","1","7","आमुलै मसीह दी तेसरै लोऊ रै ज़ौरिऐ छ़ुटकारौ, मतलब कि बुरै कामा री माफी, तेसरी तिऐं भौरी बौड़ी दया रै मुताबिक मिलौ आ"
"EPH","1","8","परमेश्‍वरै सारै ज्ञान और सौमझ़ा आइलै आमु माथै ज़रुरता कु ज़ादौ कियौ आ।"
"EPH","1","9","कि परमेश्‍वरै आपणी इच़्छ़ा रौ भेद भौलै इरादै रै मुताबिक आमु माथै पौगड़ौ कियौ आ ज़ो तिणिऐ मसीह दी ठाणी ऐरौ थौ।"
"EPH","1","10","और परमेश्‍वरै इणौ विच़ार कियौ कि बौगत पुरै हुणै माथै दी ज़ो सौरगा दी और ज़ो कुछ़ धौतरी माथै आ, तेस सारौ कुछ़ कौठै कौरीयौ मसीह कै राज़ कौरना लै देऊ।"
"EPH","1","11","तेथी दी ज़ेथदी आमै भी परमेश्‍वरा री मौरज़ी कौरी पैहला कु च़ुनै औन्दै री वज़ाह कु वारीस बौणै, ज़ुण आपणी मौरज़ी रै चुनाव रै मुताबिक सब कुछ़ कौरा आ।"
"EPH","1","12","कि आमु ज़ुणिऐ मसीह माथै पैहला ओउलै आश छ़ाड़ी आ, तेसरी महिमा री बौड़ाई हुआ।"
"EPH","1","13","मसीही दी परमेश्‍वरै तुमु माथै वायदै किऐ औन्दै पवित्र आत्मा री छ़ाप लाई आ। ज़ेबी तुमुऐ सौच़्च़ाई रौ वचन शुणौ आ, ज़ो तुमारै छ़ुटकारै री खुश-खौबरी आ, और ज़ेथ माथै तुमुऐ विश्वास भी कियौ आ।"
"EPH","1","14","कैलैकि परमेश्‍वरै आमुकै पवित्र आत्मा देई आ, ताकी आमै पाक्कौ कौरुलै कि परमेश्‍वर आमुलै औज़ौ भी आच़्छ़ी च़िज़ै दिया आ ज़ो तिणीऐ वायदौ आ कियौ औन्दौ। एऊ तेबी हुणौ आ ज़ेबी परमेश्‍वर पुरै तरिकै कौरी आमु आज़ाद कौरा ज़ो तेसरै लोग ई। कि तेसरी महिमा री बौड़ाई हुआ।"
"EPH","1","15","एज़ै कारणै, ज़ेबी कु मुंइऐ प्रभु यीशु माथै तुमारै विश्वास और सारै परमेश्‍वरा रै लोगु लै तुमारै प्यारा रै बारै दी शुणौ,"
"EPH","1","16","ता हाऊं सौदा तुमुलै परमेश्‍वरा रौ धन्यबाद, और आपणी प्राथना दी तुमु याद थाकाऊ कौरदै लागी।"
"EPH","1","17","हाऊं प्राथना कौराऊ कि परमेश्‍वर ज़ुण आमारै प्रभु यीशु मसीह रौ बाब आ और बौड़ाई जोगी आ, सेऊ तुमुकै आत्मा दिया ज़ो तुमु औकली वाल़ै चाणा आ और परमेश्‍वर तुमु माथै पौगड़ौ कौरा ताकी तुमै तेस ज़ाणा।"
"EPH","1","18","और हाऊं इणी भी प्राथना कौराऊ कि परमेश्‍वर तुमु सौच़्च़ाई सौमझ़णा लै मज़द कौरा ताकी तुमै ज़ाणा कि तिणीऐ आपणै औटाऐ औन्देऊ लै पाक्की आश देई आ, और तुमुकै पौतौ लागणौ आ कि सै केती महान और महिमावाल़ी आशीषै ई ज़ेथरौ परमेश्‍वरै आपणै लोगु कु वायदौ आ कियौ औन्दौ।"
"EPH","1","19","और आमु विश्वासिऊ लै तेसरी तागत नोखै रुपा दी केती महान आ। इऐ सेज़ी महान शक्ति आ"
"EPH","1","20","ज़ुणिऐ मसीह मौरै औन्दै मांझ़िया कु ज़िउंदौ कियौ और इज़्ज़त वाल़ी ज़ागाह दी ज़ो सौरगा दी परमेश्‍वरा री सुल़टी भिलै आ बोशाल़ौ आ।"
"EPH","1","21","सेज़ी ज़ागाह दी सारै रौंगा रै राज़ और हक्क्क, और तागत, और प्रभुता रै, और हर नावां माथै, ज़ो ना सिरफ एज़ै जुगा दी, पर आशणै वाल़ै जुगा दी भी निआं आ।"
"EPH","1","22","परमेश्‍वरै सब कुछ़ मसीह रै वशा दी कौरी ऐरौ आ और सेऊ कलिसिया रै फाइदै लै सारी च़िज़ु माथै मुख्यौ चाणी ऐरौ आ।"
"EPH","1","23","कलिसिया मसीह रौ शरीर आ, और मसीह आपणी पुरी शक्ति आमु मांझ़िऐ ला सा ज़िणौ सेऊ पुरै ब्रमांडा दी कौरा सा।"
"EPH","2","1","तिणिऐ तुमै भी ज़िउंदै कियै, ज़ुण आपणै बुरै काम और पापा कौरी मौरै औन्दै थै"
"EPH","2","2","ज़ासदी तुमै पैहलै इऐं धौतरी री रीती माथै, और आसमाना रै हक्क्का रै आफसर मतलब सेज़ी बुरी आत्मा रै मुताबिक च़ाला थै, ज़ुण आबै भी हुकम नाईं मानणै वाल़ेऊ मांझ़िऐ काम कौरा ई।"
"EPH","2","3","एक बौगत इणौ थौ ज़ेबी आमै भी तिऊं मांझ़िऐ थै और बुरै कामा दी मगन रौआ थै, शरीर और मौना री इच़्छ़ा पुरी कौरणै दी लागै औन्दै दुजेऊ बाशीऐ रोशा री सन्तान थै।"
"EPH","2","4-5","पर परमेश्‍वर भौरी दया वाल़ौ आ! आमै सौभी आपणै पापा री वज़ाह कु मौरी गौऐ थै, पर परमेश्‍वरै आमु आइलै भौरी प्यार कियौ कि तिणीऐ आमै मसीह आइलै ज़िउंदै किऐ, और परमेश्‍वरै आमै तिऐं बौड़ी दया कौरी बौच़ाऐ ज़ेथरै आमै लायक नाईं थै।"
"EPH","2","6","परमेश्‍वरै आमै यीशु मसीह दी ज़िउंदै किऐ और सौरगा री ज़ागाह दी तेस आइलै बोशाल़ै;"
"EPH","2","7","परमेश्‍वरै इणौ एथीलै कियौ कि सेऊ आशणै वाल़ै बौगता दी, दुनिया रै लोगु कै देखा ई सौका कि तेसरी बौड़ी दया केती महान आ। आमै यीशु दी एक ई ज़ो कुछ़ तिणीऐ आमुलै कियौ आ तेथदी तिणीऐ बौड़ी दया देखाल़ी आ।"
"EPH","2","8","कैलैकि ज़ेबी तुमुऐ विश्वास कियौ ता परमेश्‍वरै तुमै आपणी बौड़ी दया कौरी बौच़ाऐ ई। तुमारी तौरफी कु नाईं, बल्कि परमेश्‍वरा रौ दैऔ औन्दौ दाण आ।"
"EPH","2","9","इणौ तुमारै आच़्छ़ै काम कौरणै री वज़ाह कु नाईं हुऔ एथीलै तुमै घमण्ड नाईं कौरौ।"
"EPH","2","10","कैलैकि आमै तेसरै चाणै औन्दै ई, और मसीह यीशु दी तिऊं भौलै कामा लै, ज़ेज़ै परमेश्‍वरै पैहलै कु आमुलै कौरना लै ई चाणै औन्दै।"
"EPH","2","11","एज़ी वज़ाह कु इणौ याद छ़ाड़ौ कि तुमै ज़नमा कु दुजी ज़ाती रै ई, और यहुदी तुमारौ मज़ाक कौरा ई कैलैकि तुमारौ खतनौ नाईं हुऔ और सै ई खतनै वाल़ै। पर तिउंरौ सेऊ रिवाज़ सिरफ तिउंरै शरीरा दी लागु हुआ आ।"
"EPH","2","12","तुमै सेज़ै बौगता दी यीशु मसीह नाईं ज़ाणा थै और तुमै परमेश्‍वरा रै चुनै औन्दै लोगु इस्राइली लोग नाईं थै, और परमेश्‍वरै यहुदी लोगु लै ज़ो आशीषै दैणै रौ वायदौ थौ कियौ औन्दौ तुमै तेथरै भागी नाईं थै। तुमै इऐं दुनिया दी बिण आशा रै और बिणा परमेश्‍वरा रै थै ज़िउंदै लागै औन्दै।"
"EPH","2","13","पर आबै यीशु मसीह दी तुमै ज़ुण पैहलै दूर थै, मसीह रै लोऊ कौरी नज़दीक हुई गौऐ ई।"
"EPH","2","14","कैलैकि सेऊ आमारौ मिलाउणै वाल़ौ आ, ज़ुणिऐ दुइया एक किऐ ई और अलग कौरणै वाल़ी द्वाल ज़ेज़ी यहुदी और दुजी ज़ाती रै बीच़ाई थी ढाल़ी गोई आ,"
"EPH","2","15","और आपणै शरीरा रै दुश्मन मतलब सेज़ै नियम ज़ासरौ हुकम नियमा री रीती माथै थौ, मिटाई गौऐ कि दुइया कु आपु दी एक नौंवौ चाणिऔ मिलावा,"
"EPH","2","16","और क्रुसा माथै दुश्मनी नाश कौरीयौ एथ कौरीऐ दुइया दी एक शरीर चाणिऔ परमेश्‍वरा कु मिलावा।"
"EPH","2","17","मसीहीऐ आशीयौ तुमु दुजी ज़ातीऊ रै लोगु कै ज़ुण परमेश्‍वरा कु दूर थै, और यहुदी लोग ज़ुण नज़दीक थै, दुइया लै मेल-मिलाप और शान्ति री खौबर शुणाई आ।"
"EPH","2","18","कैलैकि मसीह री वज़ाह कु आमै सारै सेज़ी पवित्र आत्मा रै ज़ौरिऐ बाबा काऐ आशी बौल़ा ई।"
"EPH","2","19","एथीलै तुमै दुज़ी ज़ाती वाल़ै आबै परदेशी और बौटैणु नाईं रौऐ, पर पवित्र लोगु रै साथी वासी और परमेश्‍वरा रै टौबर हुई गौऐ।"
"EPH","2","20","तुमै प्रेरितु और भविष्यवक्ताऔं री पौई माथै चाणी ऐन्दी द्वाल ई, ज़ेथरै कुणै रौ पात्थर यीशु आपु आ।"
"EPH","2","21","मसीह दी सारै चाणै औन्दै कौठै मिलियौ प्रभु दी एक पवित्र परमेश्‍वरा रौ घौर बौणा आ,"
"EPH","2","22","ज़ेथदी तुमै भी पवित्र आत्मा कौरी परमेश्‍वरा री रौइणै री ज़ागाह हुणा लै कौठै चाणियाई।"
"EPH","3","1","एथीलै हाऊं पौलुस तुमुलै प्राथना कौराऊ। हाऊं एज़ी वज़ाह कु ज़ेला दी ऊ कैलैकि हाऊं तुमु दुज़ी ज़ाती रै लोगु कै मसीह री खुशी-खौबरी शुणावा ऊ।"
"EPH","3","2","तुमुऐ इणौ पाक्कौ शुणौ औलौ कि एऊ काम परमेश्‍वरै मुकै आपणी तिऐं बौड़ी दया रै ज़ौरिऐ तुमारी मज़द कौरना लै दैऔ आ।"
"EPH","3","3","ज़िणौ मुंइऐ पैहलै तुमुलै थोड़ौ लिखौ थौ, कि परमेश्‍वरै आपु मुं माथै आपणै भेद वाल़ी बुशै पौगड़ी की ई।"
"EPH","3","4","और ज़िणौ तुमै तिऐं चिट्ठी पौड़ालै ता इणौ भी ज़ाणी सौका ई कि हाऊं केती आच़्छ़ै कौरीऐ मसीह रै भेदा रै बारै दी सौमझ़ा ऊ।"
"EPH","3","5","पिछ़लै बौगता दी परमेश्‍वरै एऊ भेद लोगु माथै पौगड़ौ नाईं कियौ थौ, पर आबै पवित्र आत्मै सेऊ भेद आपणै पवित्र प्रेरितु और भविष्यवक्तु माथै पौगड़ौ कौरी गौ आ।"
"EPH","3","6","एऊ परमेश्‍वरा रौ भेद आ कि यीशु मसीह दी खुशी री खौबरा रै ज़ौरिऐ दुजी ज़ाती रै लोग विरासता दी भागी, एक ई शरीरा रै और वायदै रै भागी ई।"
"EPH","3","7","हाऊं परमेश्‍वरा री बौड़ी दया रै तेस दाणा रै मुताबिक, ज़ो तेसरी शक्ति रै असरा रै मुताबिक मुकै दैऔ औन्दौ, तेस खुशी री खौबरा रौ सेवक बौणौ।"
"EPH","3","8","हाऊं ज़ुण परमेश्‍वरा रै सारै लोगु मांझ़िऐ सारेऊ कु छ़ोटौ ऊ, मुं माथै इऐ बौड़ी दया हुई कि हाऊं दुजी ज़ातिऊ लै खुशी री खौबर शुणाई सौकु, कि मसीह केभी ना खातम हुणै वाल़ी आशीषा रौ ज़ौरियौ आ,"
"EPH","3","9","और हाऊं सारै लोगु कै एस भेद सौमझ़ाऊ कि परमेश्‍वर ज़ुण सारी च़िज़ु चाणनै वाल़ौ आ तिणिऐ शुरुवाता कु एऊ भेद च़ोरौ औन्दौ थौ।"
"EPH","3","10","आबै कलिसिया रै ज़ौरिऐ परमेश्‍वरा रौ अलग-अलग रौंगा रौ ज्ञान आसमाना रै परधान और हाकीमु माथै पौगड़ौ कौरीया लौ।"
"EPH","3","11","परमेश्‍वरै एऊ आपणी सौदा री योजना रै मुताबिक कियौ आ, ज़ो तिणीऐ आमारै प्रभु यीशु मसीह रै ज़ौरिऐ पुरौ कियौ आ।"
"EPH","3","12","ज़ासदी आमुलै तेस माथै विश्वास कौरणै कु हिम्मत और भरोसै आइलै परमेश्‍वरा रै नौज़दीक आशणै रौ हक्क्क आ।"
"EPH","3","13","हाऊं औरज़ कौराऊ कि ज़ेज़ै दु:ख तुमुलै मुकै हुआई, सेज़ी वज़ाह कु हिम्मत ना छ़ाड़ौ, कैलैकि इयौ सारौ तुमारै फाइदै लै आ।"
"EPH","3","14","हाऊं एज़ै वज़ाह कु परमेश्‍वर बाबा काऐ घुंडै टेकाइयौ प्राथना कौराऊ,"
"EPH","3","15","सेऊ एका सा ज़ुण सौरगा रौ और धौतरी माथै रौइणै वाल़ै सारै विश्वासिऊ रौ बाब आ।"
"EPH","3","16","हाऊं प्राथना कौराऊ कि सेऊ आपणी महिमा री धन-ज़ायदादा रै मुताबिक तुमुलै इणौ दाण दिया कि तेसरी आत्मा कौरी शक्ति मिला ताकि तुमारै ज़िऊ मज़बूत बौणा,"
"EPH","3","17","और विश्वासा रै ज़ौरिऐ मसीह तुमारै ज़िवा दी बौसा। कि प्यारा दी मज़बूत और अटल रौइयौ,"
"EPH","3","18","तुमै सारै परमेश्‍वरा रै लोग, मसीह रै प्यारा री लम्बाई, च़ौड़ाई, उंच़ाई, और गहराई सौमझ़ी सौका।"
"EPH","3","19","हाऊं प्राथना कौराऊ कि तुमै मसीह रौ सेज़ौ प्यार ज़ाणी सौका ज़ो ज्ञाना कु बौड़ौ आ ताकी परमेश्‍वर तुमु आपणै सवभाव कौरी भौरा।"
