Book, Chapter, Verse, Text
"JUD","1","1","हाऊं यहुदा ज़ुण यीशु मसीह रौ सेवक और याकुबा रौ भाई ऊ, तुमुलै इऐं चिट्ठी लिखाऊ। हाऊं तिऊं लोगु लै लिखाऊ ज़ुण परमेश्‍वरा रै ज़ौरिऐ तेस माथै विश्वास कौरना लै ई औटाऐ औन्दै। और ज़ुण परमेश्‍वर बाबा रै प्यारै और यीशु मसीह कालै ई बौच़ै औन्दै ई।"
"JUD","1","2","हाऊं प्राथना कौराऊ कि परमेश्‍वर तुमुलै दया, शान्ति और प्यार भौरी का दिया।"
"JUD","1","3","ओ मैरै प्यारै साथी विश्वासिउओ, ज़ेबी हाऊं तुमुकै तेस छ़ुटकारै रै बारै दी लिखणै दी भौरी मैहनता कौरदै थौ लागौ औन्दौ ज़ेथदी आमै सारै शामिल ई, ता मुंइऐ तुमुकै इणौ सौमझ़ाउणौ ज़ुरुरी सौमझ़ौ कि तेस विश्वासा लै पुरी कोशिष कौरौ ज़ो पवित्र लोगु कै एकी बारै आ सांबौ औन्दौ।"
"JUD","1","4","हाऊं तुमुलै एथीलै लिखाऊ कैलैकि कुछ़ लोग च़ुटुकच़ार आमु आइलै ज़ुड़ी गौऐ ज़ुण यीशु मसीह माथै विश्वास कौरणै रौ नाटक कौरा ई। सै परमेश्‍वरा री इज़्ज़त नाईं कौरदै और सै गलत शिखावा ई कि ज़ेबी कु परमेश्‍वरै आफणी बौड़ी दया कौरी आमारै पाप माफ किऐ ई आमै खराब ज़िन्दगी ज़ी सौकी ई। सै यीशु मसीह रौ इनकार कौरा ई ज़ुण आमारौ सिरफ एका मालिक और आमारौ प्रभु आ। पवित्रशास्त्रा दी भौरी पैहला कु आ बोलौ औन्दौ कि, परमेश्‍वर इणै लोगु लै सौज़ा दिया आ।"
"JUD","1","5","हालांकी तुमुकै सारी बुशै एकी बारै पौतौ लागी गोई आ, तैबै भी हाऊं तुमुकै एक बूश याद कौराउणै च़ाहा ऊ कि, प्रभुऐ इस्राइली लोग गुलामी कु छ़ुड़ाइयौ मिस्र देशा कु बाइरै आणै, पर बासिऐ तिणीऐ सै सारै शुनशान ज़ागाहा दी झ़ांगी गौऐ ज़ुणीऐ तेस माथै विश्वास नाईं कियौ।"
"JUD","1","6","याद कौरौ ज़ेज़ै सौरगदूत आपणी ज़ागाह दी टेकी नाईं थाकै पर आपणी ज़ागाह छ़ाड़ी गोई, प्रभुऐ सै भी सेज़ै फैसलै रै दिना झ़ाऊं सौदा लै न्यारै दी ई, बानियौ छ़ाड़ै औन्दै।"
"JUD","1","7","सदोम और अमोरा और तेथरै नज़दीका रै इलाकै रै बारै दी नाईं बिसरौ, ज़ो शरीरा रै हर रौंगा रै गान्दै काम और बुराई कौरी थै भौरुऐ औन्दै। सै शैहर आगी कौरी खातम कौरी गौऐ थै और सै आमुलै परमेश्‍वरा रै फैसलै री सौदा ज़ौल़नै वाल़ी आगी रै बारै दी च़ितल़ाउंदै ई लागै औन्दै।"
"JUD","1","8","इणी ई परमेश्‍वर नाईं मानणै वाल़ै लोग इणौ दावौ कौरा ई कि परमेश्‍वरै तिउंकै दर्शण देइयौ देखाऔ आ कि सै गान्दै काम कौरीयौ आपणै शरीरा अशुद्ध कौरा, और सै आपु माथै कासी भी हक्क नाईं दैंदै छ़ाड़णै और महिमा वाल़ै परमेश्‍वरा रै दुतुलै बुरौ-भौलौ बोलाई।"
"JUD","1","9","पर परधान सौरगदूत मिकाइलै ज़ेबी शैताना कु मुसा री लाशा रै बारै दी पूछ़-ताछ़ की ई ता तेसलै बुरौ-भौलौ बोलीयौ आरोप लाइणै री हिम्मत नाईं की, पर इणौ बोलौ, “प्रभु ताऊं धौमकावा।”"
"JUD","1","10","पर इऐ लोग ज़ेज़ी बुशै नाईं ज़ाणदै तेथीलै बुरौ-भौलौ बोलाई, इऐ बिण दिमागा रै गूंडु बाशीऐ इऊं बुशु ज़िणी सौमझ़ा ई और तेथी कौरी नाष औआ ई।"
